golden_team_id,src_a_id,src_b_id,src_c_id
GT0000077,SRA0000064,SRB0000064,SRC0000037
GT0000078,SRA0000065,SRB0000065,
GT0000079,SRA0000066,SRB0000066,SRC0000038
GT0000080,SRA0000067,,
GT0000081,SRA0000068,SRB0000067,
GT0000082,SRA0000069,SRB0000068,SRC0000039
GT0000083,SRA0000070,,SRC0000040
GT0000084,SRA0000071,SRB0000069,SRC0000041
GT0000085,,SRB0000070,SRC0000042
GT0000086,SRA0000072,SRB0000071,SRC0000043
GT0000087,SRA0000073,,
GT0000088,SRA0000074,,SRC0000044
GT0000089,SRA0000075,SRB0000072,
GT0000090,SRA0000076,SRB0000073,
GT0000091,SRA0000077,SRB0000074,SRC0000045
GT0000092,SRA0000078,SRB0000075,SRC0000046
GT0000093,SRA0000079,SRB0000076,SRC0000047
GT0000094,SRA0000080,SRB0000077,SRC0000048
GT0000095,SRA0000081,,
GT0000096,SRA0000082,,SRC0000049
GT0000097,SRA0000083,SRB0000078,
GT0000098,SRA0000084,,
GT0000099,,SRB0000079,
GT0000100,SRA0000085,SRB0000080,SRC0000050
GT0000101,SRA0000086,SRB0000081,SRC0000051
GT0000102,SRA0000087,SRB0000082,
GT0000103,SRA0000088,SRB0000083,
GT0000104,SRA0000089,SRB0000084,
GT0000105,SRA0000090,,
GT0000106,SRA0000091,SRB0000085,
GT0000107,,SRB0000086,
GT0000108,SRA0000092,SRB0000087,SRC0000052
GT0000109,SRA0000093,SRB0000088,SRC0000053
GT0000110,SRA0000094,SRB0000089,
GT0000111,SRA0000095,SRB0000090,
GT0000112,SRA0000096,,SRC0000054
GT0000113,,SRB0000091,SRC0000055
GT0000114,SRA0000097,SRB0000092,SRC0000056
GT0000115,SRA0000098,SRB0000093,SRC0000057
GT0000116,SRA0000099,SRB0000094,
GT0000117,SRA0000100,SRB0000095,SRC0000058
GT0000118,SRA0000101,SRB0000096,
GT0000119,,SRB0000097,SRC0000059
GT0000120,SRA0000102,SRB0000098,
GT0000121,SRA0000103,SRB0000099,SRC0000060
GT0000122,SRA0000104,SRB0000100,SRC0000061
GT0000123,SRA0000105,SRB0000101,
GT0000124,SRA0000106,SRB0000102,
GT0000125,SRA0000107,,
GT0000126,SRA0000108,SRB0000103,SRC0000062
GT0000127,SRA0000109,SRB0000104,
GT0000128,SRA0000110,,SRC0000063
GT0000129,SRA0000111,SRB0000105,SRC0000064
GT0000130,SRA0000112,SRB0000106,SRC0000065
GT0000131,SRA0000113,SRB0000107,SRC0000066
GT0000132,SRA0000114,SRB0000108,SRC0000067
GT0000133,SRA0000115,SRB0000109,
GT0000134,SRA0000116,SRB0000110,SRC0000068
GT0000135,SRA0000117,SRB0000111,SRC0000069
GT0000136,SRA0000118,SRB0000112,SRC0000070
GT0000137,SRA0000119,SRB0000113,
GT0000138,SRA0000120,SRB0000114,SRC0000071
GT0000139,SRA0000121,SRB0000115,SRC0000072
GT0000140,SRA0000122,,
GT0000141,SRA0000123,SRB0000116,
GT0000142,SRA0000124,SRB0000117,SRC0000073
GT0000143,SRA0000125,,SRC0000074
GT0000144,SRA0000126,SRB0000118,SRC0000075
GT0000145,,SRB0000119,SRC0000076
GT0000146,SRA0000127,SRB0000120,SRC0000077
GT0000147,,SRB0000121,SRC0000078
GT0000148,SRA0000128,,SRC0000079
GT0000149,SRA0000129,,SRC0000080
GT0000150,SRA0000130,,SRC0000081
GT0000151,,SRB0000122,
GT0000152,SRA0000131,,SRC0000082
GT0000153,SRA0000132,SRB0000123,SRC0000083
GT0000154,SRA0000133,SRB0000124,SRC0000084
GT0000155,SRA0000134,SRB0000125,
GT0000156,,,
GT0000157,SRA0000135,SRB0000126,SRC0000085
GT0000158,SRA0000136,,SRC0000086
GT0000159,SRA0000137,SRB0000127,SRC0000087
GT0000160,SRA0000138,,SRC0000088
GT0000161,,SRB0000128,SRC0000089
GT0000162,SRA0000139,SRB0000129,
GT0000163,SRA0000140,SRB0000130,SRC0000090
GT0000164,SRA0000141,SRB0000131,SRC0000091
GT0000165,SRA0000142,SRB0000132,SRC0000092
GT0000166,SRA0000143,SRB0000133,
GT0000167,SRA0000144,,SRC0000093
GT0000168,SRA0000145,,
GT0000169,SRA0000146,SRB0000134,SRC0000094
GT0000170,SRA0000147,SRB0000135,SRC0000095
GT0000171,SRA0000148,,
GT0000172,SRA0000149,,
GT0000173,SRA0000150,,SRC0000096
GT0000174,SRA0000151,SRB0000136,
GT0000175,SRA0000152,SRB0000137,
GT0000176,SRA0000153,SRB0000138,
GT0000177,SRA0000154,SRB0000139,SRC0000097
GT0000178,SRA0000155,SRB0000140,SRC0000098
GT0000179,SRA0000156,SRB0000141,SRC0000099
GT0000180,SRA0000157,,
GT0000181,SRA0000158,SRB0000142,
GT0000182,SRA0000159,,
GT0000183,SRA0000160,SRB0000143,
GT0000184,SRA0000161,SRB0000144,SRC0000100
GT0000185,SRA0000162,SRB0000145,
GT0000186,SRA0000163,SRB0000146,SRC0000101
GT0000187,,SRB0000147,
GT0000188,,SRB0000148,SRC0000102
GT0000189,SRA0000164,SRB0000149,SRC0000103
GT0000190,SRA0000165,SRB0000150,
GT0000191,SRA0000166,SRB0000151,SRC0000104
GT0000192,,SRB0000152,
GT0000193,SRA0000167,SRB0000153,
GT0000194,SRA0000168,,SRC0000105
GT0000195,SRA0000169,SRB0000154,SRC0000106
GT0000196,SRA0000170,SRB0000155,SRC0000107
GT0000197,SRA0000171,SRB0000156,SRC0000108
GT0000198,SRA0000172,SRB0000157,
GT0000199,SRA0000173,SRB0000158,SRC0000109
GT0000200,SRA0000174,,
GT0000201,SRA0000175,SRB0000159,SRC0000110
GT0000202,SRA0000176,SRB0000160,
GT0000203,SRA0000177,SRB0000161,SRC0000111
GT0000204,SRA0000178,SRB0000162,SRC0000112
GT0000205,SRA0000179,,
GT0000206,,SRB0000163,
GT0000207,SRA0000180,SRB0000164,
GT0000208,SRA0000181,SRB0000165,
GT0000209,SRA0000182,SRB0000166,SRC0000113
GT0000210,SRA0000183,SRB0000167,SRC0000114
GT0000211,SRA0000184,SRB0000168,SRC0000115
GT0000212,SRA0000185,SRB0000169,SRC0000116
GT0000213,SRA0000186,SRB0000170,
GT0000214,SRA0000187,SRB0000171,
GT0000215,SRA0000188,SRB0000172,SRC0000117
GT0000216,,SRB0000173,
GT0000217,SRA0000189,SRB0000174,
GT0000218,SRA0000190,SRB0000175,
GT0000219,SRA0000191,,SRC0000118
GT0000220,SRA0000192,SRB0000176,SRC0000119
GT0000221,SRA0000193,SRB0000177,SRC0000120
GT0000222,SRA0000194,SRB0000178,
GT0000223,SRA0000195,SRB0000179,
GT0000224,SRA0000196,SRB0000180,SRC0000121
GT0000225,SRA0000197,SRB0000181,
GT0000226,SRA0000198,SRB0000182,
GT0000227,SRA0000199,SRB0000183,
GT0000228,SRA0000200,SRB0000184,
GT0000229,SRA0000201,SRB0000185,
GT0000230,SRA0000202,SRB0000186,
GT0000231,SRA0000203,SRB0000187,
GT0000232,SRA0000204,,SRC0000122
GT0000233,SRA0000205,SRB0000188,SRC0000123
GT0000234,SRA0000206,SRB0000189,
GT0000235,SRA0000207,SRB0000190,
GT0000236,SRA0000208,,
GT0000237,SRA0000209,SRB0000191,
GT0000238,SRA0000210,SRB0000192,
GT0000239,SRA0000211,SRB0000193,SRC0000124
GT0000240,SRA0000212,SRB0000194,SRC0000125
GT0000241,SRA0000213,SRB0000195,
GT0000242,SRA0000214,SRB0000196,SRC0000126
GT0000243,SRA0000215,,
GT0000244,SRA0000216,,
GT0000245,,,
GT0000246,SRA0000217,SRB0000197,
GT0000247,SRA0000218,SRB0000198,SRC0000127
GT0000248,,SRB0000199,
GT0000249,SRA0000219,SRB0000200,SRC0000128
GT0000250,SRA0000220,SRB0000201,SRC0000129
GT0000251,SRA0000221,SRB0000202,SRC0000130
GT0000252,SRA0000222,SRB0000203,SRC0000131
GT0000253,SRA0000223,,
GT0000254,SRA0000224,,SRC0000132
GT0000255,SRA0000225,SRB0000204,SRC0000133
GT0000256,SRA0000226,,
GT0000257,SRA0000227,,SRC0000134
GT0000258,SRA0000228,SRB0000205,
GT0000259,SRA0000229,,SRC0000135
GT0000260,SRA0000230,SRB0000206,SRC0000136
GT0000261,SRA0000231,,
GT0000262,,SRB0000207,
GT0000263,SRA0000232,SRB0000208,SRC0000137
GT0000264,SRA0000233,SRB0000209,
GT0000265,SRA0000234,SRB0000210,
GT0000266,SRA0000235,SRB0000211,SRC0000138
GT0000267,SRA0000236,SRB0000212,
GT0000268,SRA0000237,SRB0000213,
GT0000269,SRA0000238,SRB0000214,SRC0000139
GT0000270,SRA0000239,SRB0000215,SRC0000140
GT0000271,SRA0000240,SRB0000216,SRC0000141
GT0000272,SRA0000241,SRB0000217,
GT0000273,SRA0000242,,SRC0000142
GT0000274,SRA0000243,SRB0000218,SRC0000143
GT0000275,SRA0000244,,SRC0000144
GT0000276,,SRB0000219,SRC0000145
GT0000277,SRA0000245,SRB0000220,
GT0000278,SRA0000246,SRB0000221,SRC0000146
GT0000279,SRA0000247,SRB0000222,SRC0000147
GT0000280,SRA0000248,SRB0000223,SRC0000148
GT0000281,SRA0000249,SRB0000224,SRC0000149
GT0000282,,SRB0000225,SRC0000150
GT0000283,SRA0000250,SRB0000226,
GT0000284,SRA0000251,,
GT0000285,SRA0000252,SRB0000227,
GT0000286,SRA0000253,SRB0000228,SRC0000151
GT0000287,SRA0000254,,SRC0000152
GT0000288,SRA0000255,SRB0000229,
GT0000289,SRA0000256,SRB0000230,SRC0000153
GT0000290,SRA0000257,SRB0000231,SRC0000154
GT0000291,SRA0000258,SRB0000232,SRC0000155
GT0000292,SRA0000259,,SRC0000156
GT0000293,SRA0000260,SRB0000233,
GT0000294,SRA0000261,SRB0000234,
GT0000295,SRA0000262,SRB0000235,SRC0000157
GT0000296,,SRB0000236,SRC0000158
GT0000297,SRA0000263,SRB0000237,
GT0000298,SRA0000264,,
GT0000299,,SRB0000238,
GT0000300,SRA0000265,SRB0000239,SRC0000159
GT0000301,SRA0000266,SRB0000240,SRC0000160
GT0000302,SRA0000267,SRB0000241,SRC0000161
GT0000303,SRA0000268,SRB0000242,
GT0000304,,SRB0000243,
GT0000305,SRA0000269,SRB0000244,
GT0000306,SRA0000270,SRB0000245,SRC0000162
GT0000307,SRA0000271,SRB0000246,
GT0000308,SRA0000272,SRB0000247,
GT0000309,SRA0000273,SRB0000248,
GT0000310,,SRB0000249,SRC0000163
GT0000311,SRA0000274,SRB0000250,SRC0000164
GT0000312,SRA0000275,SRB0000251,SRC0000165
GT0000313,SRA0000276,,SRC0000166
GT0000314,SRA0000277,SRB0000252,SRC0000167
GT0000315,SRA0000278,SRB0000253,SRC0000168
GT0000316,SRA0000279,,
GT0000317,SRA0000280,SRB0000254,SRC0000169
GT0000318,SRA0000281,SRB0000255,
GT0000319,SRA0000282,,
GT0000320,SRA0000283,SRB0000256,
GT0000321,SRA0000284,SRB0000257,
GT0000322,,SRB0000258,SRC0000170
GT0000323,SRA0000285,SRB0000259,SRC0000171
GT0000324,SRA0000286,SRB0000260,SRC0000172
GT0000325,,SRB0000261,SRC0000173
GT0000326,SRA0000287,SRB0000262,SRC0000174
GT0000327,SRA0000288,,SRC0000175
GT0000328,SRA0000289,SRB0000263,SRC0000176
GT0000329,SRA0000290,,
GT0000330,,SRB0000264,
GT0000331,,,
GT0000332,SRA0000291,,
GT0000333,SRA0000292,SRB0000265,SRC0000177
GT0000334,SRA0000293,,
GT0000335,SRA0000294,SRB0000266,
GT0000336,SRA0000295,SRB0000267,SRC0000178
GT0000337,SRA0000296,SRB0000268,SRC0000179
GT0000338,SRA0000297,SRB0000269,SRC0000180
GT0000339,,SRB0000270,SRC0000181
GT0000340,SRA0000298,SRB0000271,SRC0000182
GT0000341,SRA0000299,,
GT0000342,SRA0000300,,SRC0000183
GT0000343,,SRB0000272,
GT0000344,SRA0000301,SRB0000273,SRC0000184
GT0000345,,SRB0000274,SRC0000185
GT0000346,SRA0000302,SRB0000275,
GT0000347,SRA0000303,SRB0000276,
GT0000348,,SRB0000277,SRC0000186
GT0000349,SRA0000304,SRB0000278,
GT0000350,SRA0000305,SRB0000279,
GT0000351,SRA0000306,,
GT0000352,SRA0000307,SRB0000280,SRC0000187
GT0000353,SRA0000308,,SRC0000188
GT0000354,SRA0000309,SRB0000281,SRC0000189
GT0000355,,SRB0000282,SRC0000190
GT0000356,SRA0000310,,
GT0000357,,SRB0000283,SRC0000191
GT0000358,SRA0000311,SRB0000284,SRC0000192
GT0000359,SRA0000312,SRB0000285,SRC0000193
GT0000360,SRA0000313,SRB0000286,SRC0000194
GT0000361,SRA0000314,,SRC0000195
GT0000362,SRA0000315,SRB0000287,
GT0000363,SRA0000316,,SRC0000196
GT0000364,SRA0000317,SRB0000288,
GT0000365,SRA0000318,SRB0000289,SRC0000197
GT0000366,,SRB0000290,SRC0000198
GT0000367,SRA0000319,SRB0000291,
GT0000368,SRA0000320,,
GT0000369,SRA0000321,SRB0000292,
GT0000370,,SRB0000293,SRC0000199
GT0000371,SRA0000322,SRB0000294,
GT0000372,SRA0000323,SRB0000295,
GT0000373,SRA0000324,SRB0000296,SRC0000200
GT0000374,SRA0000325,SRB0000297,SRC0000201
GT0000375,SRA0000326,,SRC0000202
GT0000376,SRA0000327,,
GT0000377,SRA0000328,SRB0000298,SRC0000203
GT0000378,,SRB0000299,
GT0000379,SRA0000329,SRB0000300,
GT0000380,SRA0000330,SRB0000301,SRC0000204
GT0000381,SRA0000331,SRB0000302,SRC0000205
GT0000382,SRA0000332,SRB0000303,SRC0000206
GT0000383,SRA0000333,SRB0000304,SRC0000207
GT0000384,SRA0000334,SRB0000305,SRC0000208
GT0000385,SRA0000335,SRB0000306,
GT0000386,SRA0000336,SRB0000307,SRC0000209
GT0000387,,,
GT0000388,SRA0000337,,SRC0000210
GT0000389,SRA0000338,SRB0000308,SRC0000211
GT0000390,SRA0000339,SRB0000309,SRC0000212
GT0000391,SRA0000340,,SRC0000213
GT0000392,SRA0000341,SRB0000310,
GT0000393,SRA0000342,SRB0000311,SRC0000214
GT0000394,SRA0000343,SRB0000312,SRC0000215
GT0000395,SRA0000344,SRB0000313,SRC0000216
GT0000396,SRA0000345,SRB0000314,SRC0000217
GT0000397,SRA0000346,SRB0000315,SRC0000218
GT0000398,SRA0000347,SRB0000316,SRC0000219
GT0000399,SRA0000348,,SRC0000220
GT0000400,SRA0000349,SRB0000317,
GT0000401,SRA0000350,,
GT0000402,SRA0000351,SRB0000318,
GT0000403,SRA0000352,SRB0000319,SRC0000221
GT0000404,SRA0000353,SRB0000320,SRC0000222
GT0000405,SRA0000354,,
GT0000406,SRA0000355,SRB0000321,
GT0000407,SRA0000356,SRB0000322,
GT0000408,SRA0000357,SRB0000323,SRC0000223
GT0000409,SRA0000358,SRB0000324,
GT0000410,SRA0000359,,
GT0000411,SRA0000360,,SRC0000224
GT0000412,SRA0000361,SRB0000325,
GT0000413,SRA0000362,SRB0000326,
GT0000414,SRA0000363,SRB0000327,
GT0000415,SRA0000364,SRB0000328,SRC0000225
GT0000416,SRA0000365,,SRC0000226
GT0000417,SRA0000366,,
GT0000418,SRA0000367,SRB0000329,
GT0000419,SRA0000368,SRB0000330,SRC0000227
GT0000420,SRA0000369,SRB0000331,SRC0000228
GT0000421,SRA0000370,,SRC0000229
GT0000422,SRA0000371,SRB0000332,
GT0000423,SRA0000372,SRB0000333,
GT0000424,SRA0000373,SRB0000334,SRC0000230
GT0000425,SRA0000374,SRB0000335,SRC0000231
GT0000426,SRA0000375,SRB0000336,
GT0000427,SRA0000376,,SRC0000232
GT0000428,SRA0000377,,
GT0000429,SRA0000378,SRB0000337,SRC0000233
GT0000430,SRA0000379,SRB0000338,
GT0000431,SRA0000380,SRB0000339,SRC0000234
GT0000432,SRA0000381,,SRC0000235
GT0000433,SRA0000382,SRB0000340,SRC0000236
GT0000434,SRA0000383,SRB0000341,
GT0000435,SRA0000384,SRB0000342,
GT0000436,SRA0000385,,
GT0000437,,,
GT0000438,SRA0000386,SRB0000343,
GT0000439,SRA0000387,SRB0000344,
GT0000440,SRA0000388,SRB0000345,SRC0000237
GT0000441,SRA0000389,SRB0000346,
GT0000442,SRA0000390,SRB0000347,SRC0000238
GT0000443,,SRB0000348,
GT0000444,SRA0000391,SRB0000349,
GT0000445,SRA0000392,SRB0000350,
GT0000446,SRA0000393,,SRC0000239
GT0000447,SRA0000394,,
GT0000448,SRA0000395,,SRC0000240
GT0000449,,SRB0000351,
GT0000450,SRA0000396,,SRC0000241
GT0000451,SRA0000397,SRB0000352,SRC0000242
GT0000452,SRA0000398,,SRC0000243
GT0000453,SRA0000399,SRB0000353,SRC0000244
GT0000454,SRA0000400,SRB0000354,SRC0000245
GT0000455,,SRB0000355,SRC0000246
GT0000456,SRA0000401,SRB0000356,SRC0000247
GT0000457,SRA0000402,SRB0000357,SRC0000248
GT0000458,SRA0000403,,
GT0000459,SRA0000404,,SRC0000249
GT0000460,SRA0000405,,SRC0000250
GT0000461,SRA0000406,SRB0000358,
GT0000462,SRA0000407,SRB0000359,SRC0000251
GT0000463,SRA0000408,SRB0000360,
GT0000464,SRA0000409,SRB0000361,SRC0000252
GT0000465,SRA0000410,,SRC0000253
GT0000466,SRA0000411,SRB0000362,
GT0000467,SRA0000412,SRB0000363,
GT0000468,SRA0000413,SRB0000364,
GT0000469,SRA0000414,SRB0000365,
GT0000470,SRA0000415,SRB0000366,
GT0000471,SRA0000416,SRB0000367,SRC0000254
GT0000472,SRA0000417,SRB0000368,
GT0000473,SRA0000418,SRB0000369,
GT0000474,SRA0000419,SRB0000370,
GT0000475,SRA0000420,SRB0000371,
GT0000476,SRA0000421,SRB0000372,SRC0000255
GT0000477,SRA0000422,SRB0000373,SRC0000256
GT0000478,,SRB0000374,SRC0000257
GT0000479,SRA0000423,SRB0000375,SRC0000258
GT0000480,SRA0000424,SRB0000376,SRC0000259
GT0000481,SRA0000425,,
GT0000482,SRA0000426,SRB0000377,SRC0000260
GT0000483,SRA0000427,SRB0000378,
GT0000484,SRA0000428,SRB0000379,
GT0000485,SRA0000429,SRB0000380,SRC0000261
GT0000486,SRA0000430,,SRC0000262
GT0000487,SRA0000431,SRB0000381,SRC0000263
GT0000488,SRA0000432,SRB0000382,
GT0000489,SRA0000433,SRB0000383,SRC0000264
GT0000490,SRA0000434,SRB0000384,SRC0000265
GT0000491,SRA0000435,,
GT0000492,SRA0000436,SRB0000385,SRC0000266
GT0000493,SRA0000437,,SRC0000267
GT0000494,SRA0000438,SRB0000386,
GT0000495,SRA0000439,SRB0000387,SRC0000268
GT0000496,SRA0000440,SRB0000388,SRC0000269
GT0000497,SRA0000441,SRB0000389,
GT0000498,SRA0000442,SRB0000390,
GT0000499,SRA0000443,SRB0000391,SRC0000270
GT0000500,SRA0000444,SRB0000392,SRC0000271
GT0000501,SRA0000445,SRB0000393,SRC0000272
GT0000502,SRA0000446,,
GT0000503,SRA0000447,SRB0000394,SRC0000273
GT0000504,SRA0000448,SRB0000395,SRC0000274
GT0000505,SRA0000449,SRB0000396,SRC0000275
GT0000506,SRA0000450,,SRC0000276
GT0000507,SRA0000451,SRB0000397,
GT0000508,SRA0000452,SRB0000398,SRC0000277
GT0000509,,SRB0000399,
GT0000510,SRA0000453,,SRC0000278
GT0000511,SRA0000454,SRB0000400,
GT0000512,SRA0000455,SRB0000401,
GT0000513,SRA0000456,SRB0000402,SRC0000279
GT0000514,SRA0000457,SRB0000403,SRC0000280
GT0000515,SRA0000458,SRB0000404,SRC0000281
GT0000516,SRA0000459,,SRC0000282
GT0000517,SRA0000460,SRB0000405,SRC0000283
GT0000518,SRA0000461,SRB0000406,
GT0000519,SRA0000462,SRB0000407,SRC0000284
GT0000520,SRA0000463,SRB0000408,SRC0000285
GT0000521,SRA0000464,,
GT0000522,SRA0000465,SRB0000409,
GT0000523,SRA0000466,SRB0000410,SRC0000286
GT0000524,SRA0000467,SRB0000411,
GT0000525,SRA0000468,SRB0000412,SRC0000287
GT0000526,SRA0000469,SRB0000413,
GT0000527,SRA0000470,SRB0000414,
GT0000528,SRA0000471,SRB0000415,SRC0000288
GT0000529,SRA0000472,SRB0000416,
GT0000530,SRA0000473,SRB0000417,SRC0000289
GT0000531,SRA0000474,SRB0000418,SRC0000290
GT0000532,SRA0000475,,
GT0000533,SRA0000476,SRB0000419,
GT0000534,SRA0000477,SRB0000420,SRC0000291
GT0000535,SRA0000478,SRB0000421,
GT0000536,SRA0000479,SRB0000422,SRC0000292
GT0000537,SRA0000480,SRB0000423,
GT0000538,SRA0000481,,SRC0000293
GT0000539,SRA0000482,,
GT0000540,SRA0000483,,SRC0000294
GT0000541,SRA0000484,SRB0000424,
GT0000542,,SRB0000425,
GT0000543,SRA0000485,SRB0000426,
GT0000544,SRA0000486,SRB0000427,SRC0000295
GT0000545,SRA0000487,,
GT0000546,SRA0000488,SRB0000428,
GT0000547,SRA0000489,SRB0000429,SRC0000296
GT0000548,SRA0000490,SRB0000430,
GT0000549,SRA0000491,SRB0000431,
GT0000550,SRA0000492,SRB0000432,
GT0000551,SRA0000493,,SRC0000297
GT0000552,SRA0000494,SRB0000433,
GT0000553,SRA0000495,SRB0000434,
GT0000554,SRA0000496,SRB0000435,SRC0000298
GT0000555,SRA0000497,SRB0000436,SRC0000299
GT0000556,SRA0000498,SRB0000437,
GT0000557,SRA0000499,SRB0000438,SRC0000300
GT0000558,SRA0000500,,SRC0000301
GT0000559,SRA0000501,SRB0000439,
GT0000560,SRA0000502,SRB0000440,SRC0000302
GT0000561,SRA0000503,SRB0000441,SRC0000303
GT0000562,SRA0000504,,SRC0000304
GT0000563,,SRB0000442,
GT0000564,SRA0000505,SRB0000443,
GT0000565,,SRB0000444,
GT0000566,SRA0000506,SRB0000445,
GT0000567,SRA0000507,SRB0000446,SRC0000305
GT0000568,SRA0000508,SRB0000447,
GT0000569,SRA0000509,,SRC0000306
GT0000570,SRA0000510,SRB0000448,
GT0000571,SRA0000511,SRB0000449,SRC0000307
GT0000572,SRA0000512,SRB0000450,SRC0000308
GT0000573,SRA0000513,,SRC0000309
GT0000574,SRA0000514,SRB0000451,SRC0000310
GT0000575,SRA0000515,SRB0000452,SRC0000311
GT0000576,SRA0000516,SRB0000453,
GT0000577,,,
GT0000578,SRA0000517,SRB0000454,
GT0000579,SRA0000518,SRB0000455,
GT0000580,SRA0000519,SRB0000456,SRC0000312
GT0000581,SRA0000520,SRB0000457,SRC0000313
GT0000582,SRA0000521,SRB0000458,SRC0000314
GT0000583,SRA0000522,,SRC0000315
GT0000584,SRA0000523,,SRC0000316
GT0000585,SRA0000524,SRB0000459,
GT0000586,,SRB0000460,SRC0000317
GT0000587,SRA0000525,,SRC0000318
GT0000588,SRA0000526,SRB0000461,
GT0000589,SRA0000527,SRB0000462,SRC0000319
GT0000590,SRA0000528,SRB0000463,
GT0000591,,SRB0000464,
GT0000592,SRA0000529,SRB0000465,
GT0000593,SRA0000530,SRB0000466,
GT0000594,,SRB0000467,
GT0000595,,SRB0000468,
GT0000596,SRA0000531,,
GT0000597,SRA0000532,SRB0000469,
GT0000598,SRA0000533,SRB0000470,
GT0000599,SRA0000534,SRB0000471,SRC0000320
GT0000600,SRA0000535,,SRC0000321
GT0000601,SRA0000536,,SRC0000322
GT0000602,,SRB0000472,SRC0000323
GT0000603,SRA0000537,SRB0000473,SRC0000324
GT0000604,SRA0000538,,SRC0000325
GT0000605,,SRB0000474,SRC0000326
GT0000606,SRA0000539,SRB0000475,SRC0000327
GT0000607,SRA0000540,SRB0000476,SRC0000328
GT0000608,SRA0000541,,
GT0000609,SRA0000542,SRB0000477,SRC0000329
GT0000610,SRA0000543,SRB0000478,SRC0000330
GT0000611,SRA0000544,SRB0000479,SRC0000331
GT0000612,SRA0000545,SRB0000480,SRC0000332
GT0000613,SRA0000546,,
GT0000614,SRA0000547,SRB0000481,
GT0000615,SRA0000548,SRB0000482,SRC0000333
GT0000616,SRA0000549,SRB0000483,SRC0000334
GT0000617,SRA0000550,SRB0000484,
GT0000618,SRA0000551,SRB0000485,
GT0000619,SRA0000552,SRB0000486,
GT0000620,SRA0000553,SRB0000487,SRC0000335
GT0000621,SRA0000554,SRB0000488,SRC0000336
GT0000622,SRA0000555,SRB0000489,
GT0000623,SRA0000556,,
GT0000624,,SRB0000490,SRC0000337
GT0000625,SRA0000557,SRB0000491,SRC0000338
