transaction_id,notice_id,capital_call_id,fund_id,feeder_id,investor_id,commitment_id,transaction_type,entity_level,posting_date,effective_date,account_debit,account_credit,amount_usd,currency,description,reference,created_by,approved_by,gl_status,ta_unit_adjustment
TXN-0000011,CCN-00003,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0074,COMM-0036,CapitalCallReceivable,Feeder,2021-09-15,2021-09-15,Capital Call Receivable — LP,Capital Contributions Payable,80852849.69,USD,Book capital call receivable from Hartford Inc. Retirement Trust re CC1,WIRE-000003,Fund Admin — State Street,Controller,Posted,No
TXN-0000012,CCN-00003,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0074,COMM-0036,CashReceipt,Feeder,2021-09-25,2021-09-25,Cash and Cash Equivalents,Capital Call Receivable — LP,80852849.69,USD,Receive wire from Hartford Inc. Retirement Trust re CC1 due 2021-09-25,WIRE-000003,Fund Admin — State Street,Controller,Posted,Yes
TXN-0000013,CCN-00003,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0074,COMM-0036,InvestmentInMainFund,Feeder,2021-09-26,2021-09-26,Investment in Main Fund,Cash and Cash Equivalents,77743124.7,USD,Feeder remittance to Main Fund — CC1 proceeds,WIRE-000003,Fund Admin — State Street,Controller,Posted,No
TXN-0000014,CCN-00003,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0074,COMM-0036,CapitalFromFeeder,Main Fund,2021-09-26,2021-09-26,Cash and Cash Equivalents,LP Capital Account — Feeder Contribution,77743124.7,USD,Receive feeder remittance CC1 from FUND-ABF-IX-DOM,WIRE-000003,Fund Admin — State Street,Controller,Posted,No
TXN-0000015,CCN-00003,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0074,COMM-0036,PortfolioDeployment,Main Fund,2021-09-30,2021-09-30,Portfolio Investment — Cost,Cash and Cash Equivalents,77743124.7,USD,Deploy capital into portfolio company — CC1,WIRE-000003,Fund Admin — State Street,Controller,Posted,No
TXN-0000016,CCN-00004,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0085,COMM-0040,CapitalCallReceivable,Feeder,2021-09-15,2021-09-15,Capital Call Receivable — LP,Capital Contributions Payable,76421013.6,USD,Book capital call receivable from Chicago College Investment Office re CC1,WIRE-000004,Fund Admin — State Street,Controller,Posted,No
TXN-0000017,CCN-00004,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0085,COMM-0040,CashReceipt,Feeder,2021-09-25,2021-09-25,Cash and Cash Equivalents,Capital Call Receivable — LP,76421013.6,USD,Receive wire from Chicago College Investment Office re CC1 due 2021-09-25,WIRE-000004,Fund Admin — State Street,Controller,Posted,Yes
TXN-0000018,CCN-00004,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0085,COMM-0040,InvestmentInMainFund,Feeder,2021-09-26,2021-09-26,Investment in Main Fund,Cash and Cash Equivalents,76421013.6,USD,Feeder remittance to Main Fund — CC1 proceeds,WIRE-000004,Fund Admin — State Street,Controller,Posted,No
TXN-0000019,CCN-00004,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0085,COMM-0040,CapitalFromFeeder,Main Fund,2021-09-26,2021-09-26,Cash and Cash Equivalents,LP Capital Account — Feeder Contribution,76421013.6,USD,Receive feeder remittance CC1 from FUND-ABF-IX-DOM,WIRE-000004,Fund Admin — State Street,Controller,Posted,No
TXN-0000020,CCN-00004,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0085,COMM-0040,PortfolioDeployment,Main Fund,2021-09-30,2021-09-30,Portfolio Investment — Cost,Cash and Cash Equivalents,76421013.6,USD,Deploy capital into portfolio company — CC1,WIRE-000004,Fund Admin — State Street,Controller,Posted,No
TXN-0000021,CCN-00005,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0098,COMM-0047,CapitalCallReceivable,Feeder,2021-09-15,2021-09-15,Capital Call Receivable — LP,Capital Contributions Payable,96840597.36,USD,Book capital call receivable from Wisconsin State Teachers' Retirement Sys re CC1,WIRE-000005,Fund Admin — State Street,Controller,Posted,No
TXN-0000022,CCN-00005,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0098,COMM-0047,CashReceipt,Feeder,2021-09-25,2021-09-25,Cash and Cash Equivalents,Capital Call Receivable — LP,96840597.36,USD,Receive wire from Wisconsin State Teachers' Retirement Sys re CC1 due 2021-09-25,WIRE-000005,Fund Admin — State Street,Controller,Posted,Yes
TXN-0000023,CCN-00005,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0098,COMM-0047,InvestmentInMainFund,Feeder,2021-09-26,2021-09-26,Investment in Main Fund,Cash and Cash Equivalents,93115959.0,USD,Feeder remittance to Main Fund — CC1 proceeds,WIRE-000005,Fund Admin — State Street,Controller,Posted,No
TXN-0000024,CCN-00005,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0098,COMM-0047,CapitalFromFeeder,Main Fund,2021-09-26,2021-09-26,Cash and Cash Equivalents,LP Capital Account — Feeder Contribution,93115959.0,USD,Receive feeder remittance CC1 from FUND-ABF-IX-DOM,WIRE-000005,Fund Admin — State Street,Controller,Posted,No
TXN-0000025,CCN-00005,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0098,COMM-0047,PortfolioDeployment,Main Fund,2021-09-30,2021-09-30,Portfolio Investment — Cost,Cash and Cash Equivalents,93115959.0,USD,Deploy capital into portfolio company — CC1,WIRE-000005,Fund Admin — State Street,Controller,Posted,No
TXN-0000026,CCN-00006,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0108,COMM-0054,CapitalCallReceivable,Feeder,2021-09-15,2021-09-15,Capital Call Receivable — LP,Capital Contributions Payable,26940745.1,USD,Book capital call receivable from Carnegie Philanthropic Trust re CC1,WIRE-000006,Fund Admin — State Street,Controller,Posted,No
TXN-0000027,CCN-00006,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0108,COMM-0054,CashReceipt,Feeder,2021-09-25,2021-09-25,Cash and Cash Equivalents,Capital Call Receivable — LP,26940745.1,USD,Receive wire from Carnegie Philanthropic Trust re CC1 due 2021-09-25,WIRE-000006,Fund Admin — State Street,Controller,Posted,Yes
TXN-0000028,CCN-00006,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0108,COMM-0054,InvestmentInMainFund,Feeder,2021-09-26,2021-09-26,Investment in Main Fund,Cash and Cash Equivalents,25904562.6,USD,Feeder remittance to Main Fund — CC1 proceeds,WIRE-000006,Fund Admin — State Street,Controller,Posted,No
TXN-0000029,CCN-00006,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0108,COMM-0054,CapitalFromFeeder,Main Fund,2021-09-26,2021-09-26,Cash and Cash Equivalents,LP Capital Account — Feeder Contribution,25904562.6,USD,Receive feeder remittance CC1 from FUND-ABF-IX-DOM,WIRE-000006,Fund Admin — State Street,Controller,Posted,No
TXN-0000030,CCN-00006,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0108,COMM-0054,PortfolioDeployment,Main Fund,2021-09-30,2021-09-30,Portfolio Investment — Cost,Cash and Cash Equivalents,25904562.6,USD,Deploy capital into portfolio company — CC1,WIRE-000006,Fund Admin — State Street,Controller,Posted,No
TXN-0000031,CCN-00007,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0143,COMM-0069,CapitalCallReceivable,Feeder,2021-09-15,2021-09-15,Capital Call Receivable — LP,Capital Contributions Payable,66548082.6,USD,Book capital call receivable from Gates Capital Partners re CC1,WIRE-000007,Fund Admin — State Street,Controller,Posted,No
TXN-0000032,CCN-00007,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0143,COMM-0069,CashReceipt,Feeder,2021-09-25,2021-09-25,Cash and Cash Equivalents,Capital Call Receivable — LP,66548082.6,USD,Receive wire from Gates Capital Partners re CC1 due 2021-09-25,WIRE-000007,Fund Admin — State Street,Controller,Posted,Yes
TXN-0000033,CCN-00007,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0143,COMM-0069,InvestmentInMainFund,Feeder,2021-09-26,2021-09-26,Investment in Main Fund,Cash and Cash Equivalents,66548082.6,USD,Feeder remittance to Main Fund — CC1 proceeds,WIRE-000007,Fund Admin — State Street,Controller,Posted,No
TXN-0000034,CCN-00007,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0143,COMM-0069,CapitalFromFeeder,Main Fund,2021-09-26,2021-09-26,Cash and Cash Equivalents,LP Capital Account — Feeder Contribution,66548082.6,USD,Receive feeder remittance CC1 from FUND-ABF-IX-DOM,WIRE-000007,Fund Admin — State Street,Controller,Posted,No
TXN-0000035,CCN-00007,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0143,COMM-0069,PortfolioDeployment,Main Fund,2021-09-30,2021-09-30,Portfolio Investment — Cost,Cash and Cash Equivalents,66548082.6,USD,Deploy capital into portfolio company — CC1,WIRE-000007,Fund Admin — State Street,Controller,Posted,No
TXN-0000036,CCN-00008,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0147,COMM-0072,CapitalCallReceivable,Feeder,2021-09-15,2021-09-15,Capital Call Receivable — LP,Capital Contributions Payable,61553364.3,USD,Book capital call receivable from Goldman Multi-Strategy Fund re CC1,WIRE-000008,Fund Admin — State Street,Controller,Posted,No
TXN-0000037,CCN-00008,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0147,COMM-0072,CashReceipt,Feeder,2021-09-25,2021-09-25,Cash and Cash Equivalents,Capital Call Receivable — LP,61553364.3,USD,Receive wire from Goldman Multi-Strategy Fund re CC1 due 2021-09-25,WIRE-000008,Fund Admin — State Street,Controller,Posted,Yes
TXN-0000038,CCN-00008,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0147,COMM-0072,InvestmentInMainFund,Feeder,2021-09-26,2021-09-26,Investment in Main Fund,Cash and Cash Equivalents,61553364.3,USD,Feeder remittance to Main Fund — CC1 proceeds,WIRE-000008,Fund Admin — State Street,Controller,Posted,No
TXN-0000039,CCN-00008,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0147,COMM-0072,CapitalFromFeeder,Main Fund,2021-09-26,2021-09-26,Cash and Cash Equivalents,LP Capital Account — Feeder Contribution,61553364.3,USD,Receive feeder remittance CC1 from FUND-ABF-IX-OFF,WIRE-000008,Fund Admin — State Street,Controller,Posted,No
TXN-0000040,CCN-00008,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0147,COMM-0072,PortfolioDeployment,Main Fund,2021-09-30,2021-09-30,Portfolio Investment — Cost,Cash and Cash Equivalents,61553364.3,USD,Deploy capital into portfolio company — CC1,WIRE-000008,Fund Admin — State Street,Controller,Posted,No
TXN-0000041,CCN-00009,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0198,COMM-0090,CapitalCallReceivable,Feeder,2021-09-15,2021-09-15,Capital Call Receivable — LP,Capital Contributions Payable,17452846.2,USD,Book capital call receivable from Yale Foundation Investment Fund re CC1,WIRE-000009,Fund Admin — State Street,Controller,Posted,No
TXN-0000042,CCN-00009,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0198,COMM-0090,CashReceipt,Feeder,2021-09-25,2021-09-25,Cash and Cash Equivalents,Capital Call Receivable — LP,17452846.2,USD,Receive wire from Yale Foundation Investment Fund re CC1 due 2021-09-25,WIRE-000009,Fund Admin — State Street,Controller,Posted,Yes
TXN-0000043,CCN-00009,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0198,COMM-0090,InvestmentInMainFund,Feeder,2021-09-26,2021-09-26,Investment in Main Fund,Cash and Cash Equivalents,17452846.2,USD,Feeder remittance to Main Fund — CC1 proceeds,WIRE-000009,Fund Admin — State Street,Controller,Posted,No
TXN-0000044,CCN-00009,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0198,COMM-0090,CapitalFromFeeder,Main Fund,2021-09-26,2021-09-26,Cash and Cash Equivalents,LP Capital Account — Feeder Contribution,17452846.2,USD,Receive feeder remittance CC1 from FUND-ABF-IX-DOM,WIRE-000009,Fund Admin — State Street,Controller,Posted,No
TXN-0000045,CCN-00009,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0198,COMM-0090,PortfolioDeployment,Main Fund,2021-09-30,2021-09-30,Portfolio Investment — Cost,Cash and Cash Equivalents,17452846.2,USD,Deploy capital into portfolio company — CC1,WIRE-000009,Fund Admin — State Street,Controller,Posted,No
TXN-0000046,CCN-00010,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0144,COMM-0108,CapitalCallReceivable,Feeder,2021-09-15,2021-09-15,Capital Call Receivable — LP,Capital Contributions Payable,60701054.4,USD,Book capital call receivable from Walton Investments Ltd re CC1,WIRE-000010,Fund Admin — State Street,Controller,Posted,No
TXN-0000047,CCN-00010,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0144,COMM-0108,CashReceipt,Feeder,2021-09-25,2021-09-25,Cash and Cash Equivalents,Capital Call Receivable — LP,60701054.4,USD,Receive wire from Walton Investments Ltd re CC1 due 2021-09-25,WIRE-000010,Fund Admin — State Street,Controller,Posted,Yes
TXN-0000048,CCN-00010,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0144,COMM-0108,InvestmentInMainFund,Feeder,2021-09-26,2021-09-26,Investment in Main Fund,Cash and Cash Equivalents,60701054.4,USD,Feeder remittance to Main Fund — CC1 proceeds,WIRE-000010,Fund Admin — State Street,Controller,Posted,No
TXN-0000049,CCN-00010,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0144,COMM-0108,CapitalFromFeeder,Main Fund,2021-09-26,2021-09-26,Cash and Cash Equivalents,LP Capital Account — Feeder Contribution,60701054.4,USD,Receive feeder remittance CC1 from FUND-ABF-IX-DOM,WIRE-000010,Fund Admin — State Street,Controller,Posted,No
TXN-0000050,CCN-00010,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0144,COMM-0108,PortfolioDeployment,Main Fund,2021-09-30,2021-09-30,Portfolio Investment — Cost,Cash and Cash Equivalents,60701054.4,USD,Deploy capital into portfolio company — CC1,WIRE-000010,Fund Admin — State Street,Controller,Posted,No
TXN-0000051,CCN-00011,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0125,COMM-0112,CapitalCallReceivable,Feeder,2021-09-15,2021-09-15,Capital Call Receivable — LP,Capital Contributions Payable,84237839.4,USD,Book capital call receivable from Hartford Employee Benefit Fund re CC1,WIRE-000011,Fund Admin — State Street,Controller,Posted,No
TXN-0000052,CCN-00011,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0125,COMM-0112,CashReceipt,Feeder,2021-09-25,2021-09-25,Cash and Cash Equivalents,Capital Call Receivable — LP,84237839.4,USD,Receive wire from Hartford Employee Benefit Fund re CC1 due 2021-09-25,WIRE-000011,Fund Admin — State Street,Controller,Posted,Yes
TXN-0000053,CCN-00011,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0125,COMM-0112,InvestmentInMainFund,Feeder,2021-09-26,2021-09-26,Investment in Main Fund,Cash and Cash Equivalents,80997922.5,USD,Feeder remittance to Main Fund — CC1 proceeds,WIRE-000011,Fund Admin — State Street,Controller,Posted,No
TXN-0000054,CCN-00011,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0125,COMM-0112,CapitalFromFeeder,Main Fund,2021-09-26,2021-09-26,Cash and Cash Equivalents,LP Capital Account — Feeder Contribution,80997922.5,USD,Receive feeder remittance CC1 from FUND-ABF-IX-DOM,WIRE-000011,Fund Admin — State Street,Controller,Posted,No
TXN-0000055,CCN-00011,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-DOM,INV-0125,COMM-0112,PortfolioDeployment,Main Fund,2021-09-30,2021-09-30,Portfolio Investment — Cost,Cash and Cash Equivalents,80997922.5,USD,Deploy capital into portfolio company — CC1,WIRE-000011,Fund Admin — State Street,Controller,Posted,No
TXN-0000056,CCN-00012,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0137,COMM-0120,CapitalCallReceivable,Feeder,2021-09-15,2021-09-15,Capital Call Receivable — LP,Capital Contributions Payable,68402512.8,USD,Book capital call receivable from AIG Investments re CC1,WIRE-000012,Fund Admin — State Street,Controller,Posted,No
TXN-0000057,CCN-00012,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0137,COMM-0120,CashReceipt,Feeder,2021-09-25,2021-09-25,Cash and Cash Equivalents,Capital Call Receivable — LP,68402512.8,USD,Receive wire from AIG Investments re CC1 due 2021-09-25,WIRE-000012,Fund Admin — State Street,Controller,Posted,Yes
TXN-0000058,CCN-00012,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0137,COMM-0120,InvestmentInMainFund,Feeder,2021-09-26,2021-09-26,Investment in Main Fund,Cash and Cash Equivalents,68402512.8,USD,Feeder remittance to Main Fund — CC1 proceeds,WIRE-000012,Fund Admin — State Street,Controller,Posted,No
TXN-0000059,CCN-00012,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0137,COMM-0120,CapitalFromFeeder,Main Fund,2021-09-26,2021-09-26,Cash and Cash Equivalents,LP Capital Account — Feeder Contribution,68402512.8,USD,Receive feeder remittance CC1 from FUND-ABF-IX-OFF,WIRE-000012,Fund Admin — State Street,Controller,Posted,No
TXN-0000060,CCN-00012,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0137,COMM-0120,PortfolioDeployment,Main Fund,2021-09-30,2021-09-30,Portfolio Investment — Cost,Cash and Cash Equivalents,68402512.8,USD,Deploy capital into portfolio company — CC1,WIRE-000012,Fund Admin — State Street,Controller,Posted,No
TXN-0000061,CCN-00013,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0032,COMM-0126,CapitalCallReceivable,Feeder,2021-09-15,2021-09-15,Capital Call Receivable — LP,Capital Contributions Payable,52185595.8,USD,Book capital call receivable from Fidelity Assurance plc re CC1,WIRE-000013,Fund Admin — State Street,Controller,Posted,No
TXN-0000062,CCN-00013,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0032,COMM-0126,CashReceipt,Feeder,2021-09-25,2021-09-25,Cash and Cash Equivalents,Capital Call Receivable — LP,52185595.8,USD,Receive wire from Fidelity Assurance plc re CC1 due 2021-09-25,WIRE-000013,Fund Admin — State Street,Controller,Posted,Yes
TXN-0000063,CCN-00013,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0032,COMM-0126,InvestmentInMainFund,Feeder,2021-09-26,2021-09-26,Investment in Main Fund,Cash and Cash Equivalents,52185595.8,USD,Feeder remittance to Main Fund — CC1 proceeds,WIRE-000013,Fund Admin — State Street,Controller,Posted,No
TXN-0000064,CCN-00013,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0032,COMM-0126,CapitalFromFeeder,Main Fund,2021-09-26,2021-09-26,Cash and Cash Equivalents,LP Capital Account — Feeder Contribution,52185595.8,USD,Receive feeder remittance CC1 from FUND-ABF-IX-OFF,WIRE-000013,Fund Admin — State Street,Controller,Posted,No
TXN-0000065,CCN-00013,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0032,COMM-0126,PortfolioDeployment,Main Fund,2021-09-30,2021-09-30,Portfolio Investment — Cost,Cash and Cash Equivalents,52185595.8,USD,Deploy capital into portfolio company — CC1,WIRE-000013,Fund Admin — State Street,Controller,Posted,No
TXN-0000066,CCN-00014,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0028,COMM-0165,CapitalCallReceivable,Feeder,2021-09-15,2021-09-15,Capital Call Receivable — LP,Capital Contributions Payable,47759953.8,USD,Book capital call receivable from Temasek National Wealth Fund re CC1,WIRE-000014,Fund Admin — State Street,Controller,Posted,No
TXN-0000067,CCN-00014,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0028,COMM-0165,CashReceipt,Feeder,2021-09-25,2021-09-25,Cash and Cash Equivalents,Capital Call Receivable — LP,47759953.8,USD,Receive wire from Temasek National Wealth Fund re CC1 due 2021-09-25,WIRE-000014,Fund Admin — State Street,Controller,Posted,Yes
TXN-0000068,CCN-00014,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0028,COMM-0165,InvestmentInMainFund,Feeder,2021-09-26,2021-09-26,Investment in Main Fund,Cash and Cash Equivalents,47759953.8,USD,Feeder remittance to Main Fund — CC1 proceeds,WIRE-000014,Fund Admin — State Street,Controller,Posted,No
TXN-0000069,CCN-00014,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0028,COMM-0165,CapitalFromFeeder,Main Fund,2021-09-26,2021-09-26,Cash and Cash Equivalents,LP Capital Account — Feeder Contribution,47759953.8,USD,Receive feeder remittance CC1 from FUND-ABF-IX-OFF,WIRE-000014,Fund Admin — State Street,Controller,Posted,No
TXN-0000070,CCN-00014,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0028,COMM-0165,PortfolioDeployment,Main Fund,2021-09-30,2021-09-30,Portfolio Investment — Cost,Cash and Cash Equivalents,47759953.8,USD,Deploy capital into portfolio company — CC1,WIRE-000014,Fund Admin — State Street,Controller,Posted,No
TXN-0000071,CCN-00015,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0050,COMM-0186,CapitalCallReceivable,Feeder,2021-09-15,2021-09-15,Capital Call Receivable — LP,Capital Contributions Payable,55944313.8,USD,Book capital call receivable from Walton Family Office re CC1,WIRE-000015,Fund Admin — State Street,Controller,Posted,No
TXN-0000072,CCN-00015,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0050,COMM-0186,CashReceipt,Feeder,2021-09-25,2021-09-25,Cash and Cash Equivalents,Capital Call Receivable — LP,55944313.8,USD,Receive wire from Walton Family Office re CC1 due 2021-09-25,WIRE-000015,Fund Admin — State Street,Controller,Posted,Yes
TXN-0000073,CCN-00015,FUND-ABF-IX-CC1,FUND-ABF-IX,FUND-ABF-IX-OFF,INV-0050,COMM-0186,InvestmentInMainFund,Feeder,2021-09-26,2021-09-26,Investment in Main Fund,Cash and Cash Equivalents,55944313.8,USD,Feeder remittance to Main Fund — CC1 proceeds,WIRE-000015,Fund Admin — State Street,Controller,Posted,No
