vehicle_id,vehicle_name,fund_id,vehicle_type,domicile,legal_form,currency,nav_reporting_frequency,auditor,administrator,transfer_agent,inception_date
FUND-AIP-II-MAIN,Apollo Infra Partners II — Master Fund,FUND-AIP-II,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2021-01-01
FUND-AIP-II-DOM,Apollo Infra Partners II — Domestic Feeder,FUND-AIP-II,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2021-01-01
FUND-AIP-II-OFF,Apollo Infra Partners II — Offshore Feeder,FUND-AIP-II,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2021-01-01
FUND-AIP-III-MAIN,Apollo Infra Partners III — Master Fund,FUND-AIP-III,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2023-01-01
FUND-AIP-III-DOM,Apollo Infra Partners III — Domestic Feeder,FUND-AIP-III,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2023-01-01
FUND-AIP-III-OFF,Apollo Infra Partners III — Offshore Feeder,FUND-AIP-III,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2023-01-01
FUND-AGE-II-MAIN,Apollo Growth Equity II — Master Fund,FUND-AGE-II,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2022-01-01
FUND-AGE-II-DOM,Apollo Growth Equity II — Domestic Feeder,FUND-AGE-II,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2022-01-01
FUND-AGE-II-OFF,Apollo Growth Equity II — Offshore Feeder,FUND-AGE-II,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2022-01-01
FUND-AGE-III-MAIN,Apollo Growth Equity III — Master Fund,FUND-AGE-III,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2024-01-01
FUND-AGE-III-DOM,Apollo Growth Equity III — Domestic Feeder,FUND-AGE-III,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2024-01-01
FUND-AGE-III-OFF,Apollo Growth Equity III — Offshore Feeder,FUND-AGE-III,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2024-01-01
