opportunity_id,investor_id,investor_name,target_product_id,target_fund_id,target_fund_name,target_offering_id,target_close_id,indicative_amount_usd,opportunity_status,conversion_route,raised_date,raised_by,lost_reason,notes
OPP-0046,INV-0037,Koch Charitable Foundation,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-DOM-A,FUND-AIP-III-FC2,180187572.0,SoftCircle,RouteA,2023-01-03,M. Patel,,
OPP-0047,INV-0037,Koch Charitable Foundation,PROD-001,FUND-ABF-X,Apollo Buyout Fund X,FUND-ABF-X-DOM-A,FUND-ABF-X-FC2,209835985.0,Won,RouteA,2023-01-10,M. Patel,,
OPP-0048,INV-0038,Temasek Investment Authority,PROD-005,FUND-AGE-II,Apollo Growth Equity II,FUND-AGE-II-OFF-A,FUND-AGE-II-FC1,344231416.0,Withdrawn,RouteA,2022-09-06,M. Patel,Timing,
OPP-0049,INV-0039,Minnesota Municipal Employees Pension Fund,PROD-003,FUND-ARA-III,Apollo Real Assets III,FUND-ARA-III-DOM-A,FUND-ARA-III-FC2,87767663.0,Won,RouteA,2020-03-03,T. Osei,,
OPP-0050,INV-0039,Minnesota Municipal Employees Pension Fund,PROD-003,FUND-ARA-III,Apollo Real Assets III,FUND-ARA-III-DOM-A,FUND-ARA-III-FC2,43076074.0,Signed,RouteA,2020-08-26,T. Osei,,
OPP-0051,INV-0040,Austin Teachers' Pension Fund (40),PROD-002,FUND-ACO-V,Apollo Credit Opps V,FUND-ACO-V-DOM-A,FUND-ACO-V-FC2,231641508.0,Withdrawn,RouteA,2023-10-07,J. Williams,Timing,
OPP-0052,INV-0041,Boston Teachers' Pension Fund,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-DOM-A,FUND-AIP-II-FC2,431788164.0,Withdrawn,RouteA,2021-07-26,A. Mensah,,
OPP-0053,INV-0042,Wisconsin Municipal Employees Pension Fund,PROD-005,FUND-AGE-III,Apollo Growth Equity III,FUND-AGE-III-DOM-A,FUND-AGE-III-FC1,473903066.0,Signed,RouteA,2024-06-20,R. Chen,,
OPP-0054,INV-0043,Colorado State Teachers' Retirement System,PROD-003,FUND-ARA-IV,Apollo Real Assets IV,FUND-ARA-IV-DOM-A,FUND-ARA-IV-FC1,368762811.0,Won,RouteA,2022-06-10,M. Patel,,
OPP-0055,INV-0044,Michigan State Teachers' Retirement System,PROD-005,FUND-AGE-III,Apollo Growth Equity III,FUND-AGE-III-DOM-A,FUND-AGE-III-FC1,409164785.0,Won,RouteA,2024-07-09,S. Park,,
OPP-0056,INV-0045,Allstate Annuity and Life,PROD-001,FUND-ABF-X,Apollo Buyout Fund X,FUND-ABF-X-OFF-A,FUND-ABF-X-FC1,342447753.0,Withdrawn,RouteA,2023-09-06,A. Mensah,Pricing,
OPP-0057,INV-0046,AIG Assurance plc,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-OFF-A,FUND-AIP-III-FC1,347953463.0,Won,RouteA,2023-05-27,J. Williams,,
OPP-0058,INV-0047,Florida Municipal Employees Pension Fund,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-DOM-A,FUND-AIP-II-FC2,124800478.0,Indicated,RouteA,2021-11-10,M. Patel,,
OPP-0059,INV-0048,Saudi Arabia Investment Authority,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-OFF-A,FUND-AIP-II-FC2,242221176.0,SoftCircle,RouteA,2021-08-20,R. Chen,,
OPP-0060,INV-0049,Boston Fire & Police Pension Fund,PROD-005,FUND-AGE-II,Apollo Growth Equity II,FUND-AGE-II-DOM-A,FUND-AGE-II-FC2,484371880.0,Won,RouteA,2022-01-26,M. Patel,,
OPP-0061,INV-0050,Walton Family Office,PROD-005,FUND-AGE-II,Apollo Growth Equity II,FUND-AGE-II-OFF-A,FUND-AGE-II-FC1,334023474.0,SoftCircle,RouteA,2022-04-22,S. Park,,
OPP-0062,INV-0051,Johns Hopkins College Investment Office,PROD-005,FUND-AGE-III,Apollo Growth Equity III,FUND-AGE-III-DOM-A,FUND-AGE-III-FC1,325138085.0,Withdrawn,RouteA,2024-11-22,T. Osei,Competitor,
OPP-0063,INV-0051,Johns Hopkins College Investment Office,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-DOM-A,FUND-AIP-II-FC1,114890534.0,Prospect,RouteA,2021-02-09,T. Osei,,
OPP-0064,INV-0052,Colorado State Teachers' Retirement System,PROD-005,FUND-AGE-II,Apollo Growth Equity II,FUND-AGE-II-DOM-A,FUND-AGE-II-FC1,234216288.0,Won,RouteA,2022-06-13,S. Park,,
OPP-0065,INV-0053,Cornell University Endowment,PROD-005,FUND-AGE-II,Apollo Growth Equity II,FUND-AGE-II-DOM-A,FUND-AGE-II-FC1,56751932.0,Won,RouteA,2022-01-16,S. Park,,
OPP-0066,INV-0054,Aflac Corporation Pension Plan,PROD-001,FUND-ABF-X,Apollo Buyout Fund X,FUND-ABF-X-DOM-A,FUND-ABF-X-FC1,174818007.0,Indicated,RouteA,2023-06-10,J. Williams,,
OPP-0067,INV-0055,Aflac Asset Management,PROD-005,FUND-AGE-II,Apollo Growth Equity II,FUND-AGE-II-DOM-A,FUND-AGE-II-FC2,221892139.0,Won,RouteA,2022-08-04,A. Mensah,,
OPP-0068,INV-0056,BlackRock Multi-Strategy Fund,PROD-003,FUND-ARA-IV,Apollo Real Assets IV,FUND-ARA-IV-OFF-A,FUND-ARA-IV-FC1,356835600.0,Signed,RouteA,2022-01-26,M. Patel,,
OPP-0069,INV-0057,Allstate Multi-Strategy Fund,PROD-003,FUND-ARA-IV,Apollo Real Assets IV,FUND-ARA-IV-DOM-A,FUND-ARA-IV-FC1,125736909.0,Declined,RouteA,2022-03-24,T. Osei,Timing,
OPP-0070,INV-0057,Allstate Multi-Strategy Fund,PROD-005,FUND-AGE-II,Apollo Growth Equity II,FUND-AGE-II-DOM-A,FUND-AGE-II-FC1,479438998.0,Won,RouteA,2022-09-14,T. Osei,,
OPP-0071,INV-0058,Soros Charitable Foundation,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-DOM-A,FUND-AIP-II-FC1,218906554.0,Indicated,RouteA,2021-11-22,S. Park,,
OPP-0072,INV-0059,Johns Hopkins College Investment Office,PROD-005,FUND-AGE-III,Apollo Growth Equity III,FUND-AGE-III-DOM-A,FUND-AGE-III-FC1,197473711.0,Won,RouteA,2024-10-14,S. Park,,
OPP-0073,INV-0059,Johns Hopkins College Investment Office,PROD-002,FUND-ACO-V,Apollo Credit Opps V,FUND-ACO-V-DOM-A,FUND-ACO-V-FC1,399023985.0,Signed,RouteA,2023-12-26,S. Park,,
OPP-0074,INV-0060,Unum Annuity and Life (60),PROD-005,FUND-AGE-II,Apollo Growth Equity II,FUND-AGE-II-OFF-A,FUND-AGE-II-FC1,231487459.0,Won,RouteA,2022-06-07,T. Osei,,
OPP-0075,INV-0061,Pennsylvania Public Employees' Retirement System,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-DOM-A,FUND-AIP-III-FC2,199309283.0,Withdrawn,RouteA,2023-07-20,J. Williams,Pricing,
OPP-0076,INV-0062,MIT College Investment Office,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-DOM-A,FUND-AIP-III-FC1,152235193.0,Declined,RouteA,2023-12-26,S. Park,Pricing,
OPP-0077,INV-0063,Pennsylvania Municipal Employees Pension Fund,PROD-003,FUND-ARA-IV,Apollo Real Assets IV,FUND-ARA-IV-DOM-A,FUND-ARA-IV-FC1,95607037.0,DocsOut,RouteA,2022-05-04,T. Osei,,
OPP-0078,INV-0064,Chicago Teachers' Pension Fund,PROD-005,FUND-AGE-II,Apollo Growth Equity II,FUND-AGE-II-DOM-A,FUND-AGE-II-FC2,289528992.0,Won,RouteA,2022-10-05,A. Mensah,,
OPP-0079,INV-0065,Rockefeller Private Wealth Management,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-DOM-A,FUND-AIP-III-FC1,147973213.0,Won,RouteA,2023-03-16,R. Chen,,
OPP-0080,INV-0066,Penn Foundation Investment Fund,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-DOM-A,FUND-AIP-III-FC1,72584684.0,Won,RouteA,2023-01-16,M. Patel,,
OPP-0081,INV-0066,Penn Foundation Investment Fund,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-DOM-A,FUND-AIP-II-FC2,210737065.0,Won,RouteA,2021-11-16,M. Patel,,
OPP-0082,INV-0067,Cigna Assurance plc,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-OFF-A,FUND-AIP-III-FC1,398961040.0,SoftCircle,RouteA,2023-10-01,M. Patel,,
OPP-0083,INV-0068,Prudential Corporation Pension Plan,PROD-001,FUND-ABF-IX,Apollo Buyout Fund IX,FUND-ABF-IX-DOM-A,FUND-ABF-IX-FC2,88263444.0,DocsOut,RouteA,2021-09-10,A. Mensah,,
OPP-0084,INV-0069,Cornell Foundation Investment Fund,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-DOM-A,FUND-AIP-III-FC1,388680949.0,Withdrawn,RouteA,2023-02-09,A. Mensah,Competitor,
OPP-0085,INV-0070,Aflac Re Investment Portfolio,PROD-001,FUND-ABF-IX,Apollo Buyout Fund IX,FUND-ABF-IX-DOM-A,FUND-ABF-IX-FC2,55696137.0,Won,RouteA,2021-04-14,T. Osei,,
OPP-0086,INV-0071,Goldman Asset Management,PROD-002,FUND-ACO-V,Apollo Credit Opps V,FUND-ACO-V-DOM-A,FUND-ACO-V-FC2,177545604.0,Prospect,RouteA,2023-08-09,J. Williams,,
OPP-0087,INV-0072,Dartmouth College Investment Office,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-DOM-A,FUND-AIP-III-FC1,370118426.0,DocsOut,RouteA,2023-04-26,A. Mensah,,
OPP-0088,INV-0073,Austin Teachers' Pension Fund,PROD-005,FUND-AGE-III,Apollo Growth Equity III,FUND-AGE-III-DOM-A,FUND-AGE-III-FC2,393500408.0,Indicated,RouteA,2024-10-05,S. Park,,
OPP-0089,INV-0074,Hartford Inc. Retirement Trust,PROD-001,FUND-ABF-IX,Apollo Buyout Fund IX,FUND-ABF-IX-DOM-A,FUND-ABF-IX-FC2,271690430.0,Won,RouteA,2021-05-20,T. Osei,,
OPP-0090,INV-0075,MIT College Investment Office,PROD-003,FUND-ARA-III,Apollo Real Assets III,FUND-ARA-III-DOM-A,FUND-ARA-III-FC2,259635419.0,Withdrawn,RouteA,2020-05-28,A. Mensah,Pricing,
OPP-0091,INV-0076,Cigna Inc. Retirement Trust,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-DOM-A,FUND-AIP-II-FC1,352206131.0,Signed,RouteA,2021-11-05,J. Williams,,
OPP-0092,INV-0076,Cigna Inc. Retirement Trust,PROD-002,FUND-ACO-IV,Apollo Credit Opps IV,FUND-ACO-IV-DOM-A,FUND-ACO-IV-FC1,415098492.0,Indicated,RouteA,2021-12-11,J. Williams,,
OPP-0093,INV-0077,Stanford University Endowment,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-DOM-A,FUND-AIP-II-FC2,138014990.0,Indicated,RouteA,2021-10-21,J. Williams,,
OPP-0094,INV-0078,Gates Capital Partners,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-DOM-A,FUND-AIP-III-FC1,260228669.0,Declined,RouteA,2023-02-13,R. Chen,Competitor,
OPP-0095,INV-0079,Griffin Endowed Foundation,PROD-003,FUND-ARA-IV,Apollo Real Assets IV,FUND-ARA-IV-DOM-A,FUND-ARA-IV-FC2,6224177.0,Won,RouteA,2022-06-19,S. Park,,
OPP-0096,INV-0080,Columbia University Endowment (80),PROD-001,FUND-ABF-X,Apollo Buyout Fund X,FUND-ABF-X-DOM-A,FUND-ABF-X-FC2,182320251.0,Declined,RouteA,2023-11-23,T. Osei,Pricing,
OPP-0097,INV-0081,Koch Endowed Foundation,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-DOM-A,FUND-AIP-II-FC1,137925735.0,Won,RouteA,2021-04-16,T. Osei,,
OPP-0098,INV-0082,Brunei Reserve Investment Corporation,PROD-003,FUND-ARA-IV,Apollo Real Assets IV,FUND-ARA-IV-OFF-A,FUND-ARA-IV-FC1,175151112.0,Withdrawn,RouteA,2022-08-26,A. Mensah,Pricing,
OPP-0099,INV-0083,Government Pension Fund — Temasek,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-OFF-A,FUND-AIP-III-FC1,230976477.0,SoftCircle,RouteA,2023-03-15,M. Patel,,
OPP-0100,INV-0083,Government Pension Fund — Temasek,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-OFF-A,FUND-AIP-II-FC1,83693844.0,Indicated,RouteA,2021-11-10,M. Patel,,
OPP-0101,INV-0084,BlackRock Inc. Retirement Trust,PROD-003,FUND-ARA-III,Apollo Real Assets III,FUND-ARA-III-DOM-A,FUND-ARA-III-FC1,45798163.0,Declined,RouteA,2020-06-09,A. Mensah,Timing,
OPP-0102,INV-0085,Chicago College Investment Office,PROD-003,FUND-ARA-III,Apollo Real Assets III,FUND-ARA-III-DOM-A,FUND-ARA-III-FC1,353330530.0,Won,RouteA,2020-11-03,T. Osei,,
OPP-0103,INV-0085,Chicago College Investment Office,PROD-001,FUND-ABF-IX,Apollo Buyout Fund IX,FUND-ABF-IX-DOM-A,FUND-ABF-IX-FC1,298871351.0,Won,RouteA,2021-02-05,T. Osei,,
OPP-0104,INV-0086,Griffin Private Wealth Management,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-DOM-A,FUND-AIP-III-FC1,409468968.0,Prospect,RouteA,2023-12-11,S. Park,,
OPP-0105,INV-0087,BlackRock Annuity and Life,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-OFF-A,FUND-AIP-II-FC1,194619613.0,Won,RouteA,2021-02-08,A. Mensah,,
OPP-0106,INV-0088,Singapore Investment Authority,PROD-001,FUND-ABF-X,Apollo Buyout Fund X,FUND-ABF-X-OFF-A,FUND-ABF-X-FC1,72879001.0,Won,RouteA,2023-06-10,S. Park,,
OPP-0107,INV-0089,Atlanta Teachers' Pension Fund,PROD-002,FUND-ACO-IV,Apollo Credit Opps IV,FUND-ACO-IV-DOM-A,FUND-ACO-IV-FC1,9194997.0,SoftCircle,RouteA,2021-09-19,R. Chen,,
OPP-0108,INV-0090,South Korea Investment Authority,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-OFF-A,FUND-AIP-III-FC2,79930195.0,DocsOut,RouteA,2023-11-24,J. Williams,,
OPP-0109,INV-0091,AIG Employee Benefit Fund,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-DOM-A,FUND-AIP-III-FC1,377460595.0,SoftCircle,RouteA,2023-02-05,M. Patel,,
OPP-0110,INV-0092,Abu Dhabi Future Generations Fund,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-OFF-A,FUND-AIP-II-FC2,74215943.0,Won,RouteA,2021-06-26,M. Patel,,
OPP-0111,INV-0093,MetLife Re Investment Portfolio,PROD-001,FUND-ABF-X,Apollo Buyout Fund X,FUND-ABF-X-OFF-A,FUND-ABF-X-FC1,361983921.0,Won,RouteA,2023-10-20,J. Williams,,
OPP-0112,INV-0094,Pennsylvania State Teachers' Retirement System,PROD-001,FUND-ABF-IX,Apollo Buyout Fund IX,FUND-ABF-IX-DOM-A,FUND-ABF-IX-FC2,257213670.0,DocsOut,RouteA,2021-09-20,S. Park,,
OPP-0113,INV-0095,Phoenix Teachers' Pension Fund,PROD-003,FUND-ARA-III,Apollo Real Assets III,FUND-ARA-III-DOM-A,FUND-ARA-III-FC1,60808113.0,DocsOut,RouteA,2020-08-13,A. Mensah,,
OPP-0114,INV-0096,Princeton University Endowment,PROD-005,FUND-AGE-III,Apollo Growth Equity III,FUND-AGE-III-DOM-A,FUND-AGE-III-FC1,467292579.0,Won,RouteA,2024-01-12,T. Osei,,
OPP-0115,INV-0097,Pritzker Private Wealth Management,PROD-005,FUND-AGE-III,Apollo Growth Equity III,FUND-AGE-III-OFF-A,FUND-AGE-III-FC2,90521305.0,Won,RouteA,2024-09-22,J. Williams,,
OPP-0116,INV-0097,Pritzker Private Wealth Management,PROD-004,FUND-AIP-III,Apollo Infra Partners III,FUND-AIP-III-OFF-A,FUND-AIP-III-FC1,11827746.0,Prospect,RouteA,2023-10-03,J. Williams,,
OPP-0117,INV-0098,Wisconsin State Teachers' Retirement System,PROD-001,FUND-ABF-IX,Apollo Buyout Fund IX,FUND-ABF-IX-DOM-A,FUND-ABF-IX-FC2,357751393.0,Won,RouteA,2021-05-21,J. Williams,,
OPP-0118,INV-0099,Harvard University Endowment,PROD-004,FUND-AIP-II,Apollo Infra Partners II,FUND-AIP-II-DOM-A,FUND-AIP-II-FC2,271139402.0,SoftCircle,RouteA,2021-11-18,R. Chen,,
