commitment_id,opportunity_id,investor_id,offering_id,fund_id,close_id,committed_amount_usd,commitment_date,subscription_date,currency,equalization_amount_usd,status,side_letter,erisa_bucketing
COMM-0013,OPP-0013,INV-0032,FUND-ACO-V-OFF-A,FUND-ACO-V,FUND-ACO-V-FC2,453140000.0,2023-10-30,2023-09-18,USD,0.0,Active,Yes,No
COMM-0014,OPP-0014,INV-0028,FUND-ARA-III-MAIN-B,FUND-ARA-III,FUND-ARA-III-FC2,26820000.0,2020-10-22,2020-09-28,USD,0.0,Active,No,No
COMM-0015,OPP-0015,INV-0017,FUND-ARA-III-DOM-A,FUND-ARA-III,FUND-ARA-III-FC1,371910000.0,2020-04-25,2020-04-15,USD,0.0,Active,No,No
COMM-0016,OPP-0016,INV-0001,FUND-AIP-III-OFF-A,FUND-AIP-III,FUND-AIP-III-FC1,42250000.0,2023-04-25,2023-04-24,USD,0.0,Active,No,No
COMM-0017,OPP-0017,INV-0003,FUND-ABF-IX-DOM-A,FUND-ABF-IX,FUND-ABF-IX-FC2,293340000.0,2021-11-17,2021-10-12,USD,0.0,Active,No,Yes
COMM-0018,OPP-0018,INV-0003,FUND-ABF-IX-MAIN-B,FUND-ABF-IX,FUND-ABF-IX-FC2,185500000.0,2021-11-17,2021-10-05,USD,0.0,Active,No,Yes
COMM-0019,OPP-0019,INV-0016,FUND-ARA-IV-DOM-A,FUND-ARA-IV,FUND-ARA-IV-FC1,180070000.0,2022-05-27,2022-05-17,USD,0.0,Active,No,No
COMM-0020,OPP-0020,INV-0010,FUND-ABF-X-DOM-A,FUND-ABF-X,FUND-ABF-X-FC1,432980000.0,2023-04-13,2023-03-10,USD,0.0,Active,No,Yes
COMM-0021,OPP-0021,INV-0012,FUND-ACO-IV-OFF-A,FUND-ACO-IV,FUND-ACO-IV-FC2,392280000.0,2021-09-10,2021-08-22,USD,0.0,Active,No,No
COMM-0022,OPP-0022,INV-0011,FUND-AIP-II-DOM-A,FUND-AIP-II,FUND-AIP-II-FC1,194360000.0,2021-04-14,2021-03-02,USD,0.0,Active,No,Yes
COMM-0023,OPP-0023,INV-0013,FUND-ARA-IV-MAIN-B,FUND-ARA-IV,FUND-ARA-IV-FC2,178080000.0,2023-02-08,2023-01-08,USD,0.0,Active,No,Yes
COMM-0024,OPP-0024,INV-0013,FUND-ARA-IV-OFF-A,FUND-ARA-IV,FUND-ARA-IV-FC2,167490000.0,2023-02-08,2022-12-29,USD,0.0,Active,No,No
COMM-0025,OPP-0025,INV-0033,FUND-ACO-V-DOM-A,FUND-ACO-V,FUND-ACO-V-FC2,341360000.0,2023-10-30,2023-10-19,USD,0.0,Active,No,Yes
COMM-0026,OPP-0026,INV-0008,FUND-ABF-IX-OFF-A,FUND-ABF-IX,FUND-ABF-IX-FC2,93390000.0,2021-11-17,2021-10-19,USD,0.0,Active,Yes,Yes
COMM-0027,OPP-0027,INV-0039,FUND-AIP-II-OFF-A,FUND-AIP-II,FUND-AIP-II-FC2,176120000.0,2021-08-09,2021-07-15,USD,0.0,Active,No,No
COMM-0028,OPP-0028,INV-0033,FUND-AGE-I-OFF-A,FUND-AGE-I,FUND-AGE-I-FC1,195670000.0,2019-04-27,2019-04-18,USD,0.0,Active,No,No
COMM-0029,OPP-0029,INV-0003,FUND-ACO-IV-DOM-A,FUND-ACO-IV,FUND-ACO-IV-FC2,5840000.0,2021-09-10,2021-08-30,USD,0.0,Active,No,No
COMM-0030,OPP-0030,INV-0028,FUND-AGE-II-DOM-A,FUND-AGE-II,FUND-AGE-II-FC1,474690000.0,2022-03-03,2022-02-07,USD,0.0,Active,No,No
COMM-0031,OPP-0031,INV-0008,FUND-AGE-II-OFF-A,FUND-AGE-II,FUND-AGE-II-FC2,256030000.0,2022-06-24,2022-06-21,USD,0.0,Active,No,No
COMM-0032,OPP-0032,INV-0026,FUND-ABF-X-OFF-A,FUND-ABF-X,FUND-ABF-X-FC2,279430000.0,2023-07-30,2023-06-27,USD,0.0,Active,No,No
COMM-0033,OPP-0033,INV-0025,FUND-AGE-I-DOM-A,FUND-AGE-I,FUND-AGE-I-FC1,309680000.0,2019-04-27,2019-04-01,USD,0.0,Active,No,No
COMM-0034,OPP-0034,INV-0001,FUND-ABF-X-MAIN-B,FUND-ABF-X,FUND-ABF-X-FC2,147020000.0,2023-07-30,2023-07-12,USD,0.0,Active,No,No
COMM-0035,OPP-0035,INV-0029,FUND-ARA-III-OFF-A,FUND-ARA-III,FUND-ARA-III-FC2,339440000.0,2020-10-22,2020-10-09,USD,0.0,Active,No,No
COMM-0036,OPP-0036,INV-0011,FUND-AIP-III-DOM-A,FUND-AIP-III,FUND-AIP-III-FC1,145470000.0,2023-04-25,2023-04-22,USD,0.0,Active,No,Yes
COMM-0037,OPP-0037,INV-0016,FUND-ACO-V-OFF-A,FUND-ACO-V,FUND-ACO-V-FC2,116200000.0,2023-10-30,2023-09-27,USD,0.0,Active,No,Yes
COMM-0038,OPP-0038,INV-0003,FUND-ARA-III-MAIN-B,FUND-ARA-III,FUND-ARA-III-FC1,492050000.0,2020-04-25,2020-04-19,USD,0.0,Active,Yes,No
COMM-0039,OPP-0039,INV-0027,FUND-ARA-III-DOM-A,FUND-ARA-III,FUND-ARA-III-FC1,360580000.0,2020-04-25,2020-04-04,USD,0.0,Active,No,No
COMM-0040,OPP-0040,INV-0016,FUND-AIP-III-OFF-A,FUND-AIP-III,FUND-AIP-III-FC1,329750000.0,2023-04-25,2023-03-11,USD,0.0,Active,Yes,No
COMM-0041,OPP-0041,INV-0015,FUND-ABF-IX-DOM-A,FUND-ABF-IX,FUND-ABF-IX-FC1,403030000.0,2021-03-11,2021-03-10,USD,0.0,Active,No,Yes
COMM-0042,OPP-0042,INV-0036,FUND-ABF-IX-MAIN-B,FUND-ABF-IX,FUND-ABF-IX-FC1,459150000.0,2021-03-11,2021-02-01,USD,0.0,Active,No,Yes
COMM-0043,OPP-0043,INV-0030,FUND-ARA-IV-DOM-A,FUND-ARA-IV,FUND-ARA-IV-FC2,475270000.0,2023-02-08,2023-01-22,USD,0.0,Active,No,No
COMM-0044,OPP-0044,INV-0029,FUND-ABF-X-DOM-A,FUND-ABF-X,FUND-ABF-X-FC1,373110000.0,2023-04-13,2023-03-29,USD,0.0,Active,No,No
COMM-0045,OPP-0045,INV-0016,FUND-ACO-IV-OFF-A,FUND-ACO-IV,FUND-ACO-IV-FC2,384080000.0,2021-09-10,2021-08-29,USD,0.0,Active,No,No
COMM-0046,OPP-0046,INV-0016,FUND-AIP-II-DOM-A,FUND-AIP-II,FUND-AIP-II-FC2,222740000.0,2021-08-09,2021-08-09,USD,0.0,Active,No,Yes
COMM-0047,OPP-0047,INV-0018,FUND-ARA-IV-MAIN-B,FUND-ARA-IV,FUND-ARA-IV-FC2,163260000.0,2023-02-08,2023-01-28,USD,0.0,Active,Yes,Yes
COMM-0048,OPP-0048,INV-0010,FUND-ARA-IV-OFF-A,FUND-ARA-IV,FUND-ARA-IV-FC1,194600000.0,2022-05-27,2022-04-21,USD,0.0,Active,No,Yes
COMM-0049,OPP-0049,INV-0027,FUND-ACO-V-DOM-A,FUND-ACO-V,FUND-ACO-V-FC2,168790000.0,2023-10-30,2023-10-14,USD,0.0,Active,No,Yes
COMM-0050,OPP-0050,INV-0014,FUND-ABF-IX-OFF-A,FUND-ABF-IX,FUND-ABF-IX-FC2,197790000.0,2021-11-17,2021-11-09,USD,0.0,Active,Yes,No
COMM-0051,OPP-0051,INV-0025,FUND-AIP-II-OFF-A,FUND-AIP-II,FUND-AIP-II-FC2,7920000.0,2021-08-09,2021-07-17,USD,0.0,Active,No,No
COMM-0052,OPP-0052,INV-0027,FUND-AGE-I-OFF-A,FUND-AGE-I,FUND-AGE-I-FC1,246670000.0,2019-04-27,2019-03-30,USD,0.0,Active,No,No
COMM-0053,OPP-0053,INV-0002,FUND-ACO-IV-DOM-A,FUND-ACO-IV,FUND-ACO-IV-FC2,171380000.0,2021-09-10,2021-09-08,USD,0.0,Active,No,No
COMM-0054,OPP-0054,INV-0011,FUND-AGE-II-DOM-A,FUND-AGE-II,FUND-AGE-II-FC2,460170000.0,2022-06-24,2022-06-18,USD,0.0,Active,Yes,No
COMM-0055,OPP-0055,INV-0038,FUND-AGE-II-OFF-A,FUND-AGE-II,FUND-AGE-II-FC1,46550000.0,2022-03-03,2022-02-13,USD,0.0,Active,No,No
COMM-0056,OPP-0056,INV-0012,FUND-ABF-X-OFF-A,FUND-ABF-X,FUND-ABF-X-FC1,133780000.0,2023-04-13,2023-03-19,USD,0.0,Active,No,No
COMM-0057,OPP-0057,INV-0021,FUND-AGE-I-DOM-A,FUND-AGE-I,FUND-AGE-I-FC2,381810000.0,2019-12-13,2019-11-22,USD,0.0,Active,No,No
COMM-0058,OPP-0058,INV-0017,FUND-ABF-X-MAIN-B,FUND-ABF-X,FUND-ABF-X-FC1,237800000.0,2023-04-13,2023-04-02,USD,0.0,Active,Yes,No
COMM-0059,OPP-0059,INV-0015,FUND-ARA-III-OFF-A,FUND-ARA-III,FUND-ARA-III-FC1,391710000.0,2020-04-25,2020-04-21,USD,0.0,Active,Yes,Yes
COMM-0060,OPP-0060,INV-0016,FUND-AIP-III-DOM-A,FUND-AIP-III,FUND-AIP-III-FC1,420420000.0,2023-04-25,2023-04-19,USD,0.0,Active,No,Yes
COMM-0061,OPP-0061,INV-0009,FUND-ACO-V-OFF-A,FUND-ACO-V,FUND-ACO-V-FC2,336380000.0,2023-10-30,2023-10-21,USD,0.0,Active,No,No
COMM-0062,OPP-0062,INV-0017,FUND-ARA-III-MAIN-B,FUND-ARA-III,FUND-ARA-III-FC2,88060000.0,2020-10-22,2020-10-15,USD,0.0,Active,Yes,Yes
COMM-0063,OPP-0063,INV-0020,FUND-ARA-III-DOM-A,FUND-ARA-III,FUND-ARA-III-FC1,291450000.0,2020-04-25,2020-03-30,USD,0.0,Active,No,No
COMM-0064,OPP-0064,INV-0013,FUND-AIP-III-OFF-A,FUND-AIP-III,FUND-AIP-III-FC1,298090000.0,2023-04-25,2023-04-20,USD,0.0,Active,No,Yes
COMM-0065,OPP-0065,INV-0020,FUND-ABF-IX-DOM-A,FUND-ABF-IX,FUND-ABF-IX-FC1,399130000.0,2021-03-11,2021-03-02,USD,0.0,Active,Yes,No
COMM-0066,OPP-0066,INV-0035,FUND-ABF-IX-MAIN-B,FUND-ABF-IX,FUND-ABF-IX-FC2,332450000.0,2021-11-17,2021-10-07,USD,0.0,Active,No,Yes
COMM-0067,OPP-0067,INV-0027,FUND-ARA-IV-DOM-A,FUND-ARA-IV,FUND-ARA-IV-FC2,57240000.0,2023-02-08,2023-01-17,USD,0.0,Active,No,No
COMM-0068,OPP-0068,INV-0010,FUND-ABF-X-DOM-A,FUND-ABF-X,FUND-ABF-X-FC2,92190000.0,2023-07-30,2023-07-18,USD,0.0,Active,No,No
COMM-0069,OPP-0069,INV-0035,FUND-ACO-IV-OFF-A,FUND-ACO-IV,FUND-ACO-IV-FC2,235110000.0,2021-09-10,2021-09-02,USD,0.0,Active,No,No
COMM-0070,OPP-0070,INV-0016,FUND-AIP-II-DOM-A,FUND-AIP-II,FUND-AIP-II-FC1,143070000.0,2021-04-14,2021-03-28,USD,0.0,Active,No,No
COMM-0071,OPP-0071,INV-0037,FUND-ARA-IV-MAIN-B,FUND-ARA-IV,FUND-ARA-IV-FC2,171520000.0,2023-02-08,2023-01-25,USD,0.0,Active,No,Yes
COMM-0072,OPP-0072,INV-0032,FUND-ARA-IV-OFF-A,FUND-ARA-IV,FUND-ARA-IV-FC1,180640000.0,2022-05-27,2022-04-28,USD,0.0,Active,No,No
COMM-0073,OPP-0073,INV-0039,FUND-ACO-V-DOM-A,FUND-ACO-V,FUND-ACO-V-FC2,280120000.0,2023-10-30,2023-10-18,USD,0.0,Active,No,Yes
COMM-0074,OPP-0074,INV-0016,FUND-ABF-IX-OFF-A,FUND-ABF-IX,FUND-ABF-IX-FC2,246850000.0,2021-11-17,2021-10-18,USD,0.0,Active,No,No
COMM-0075,OPP-0075,INV-0032,FUND-AIP-II-OFF-A,FUND-AIP-II,FUND-AIP-II-FC2,397500000.0,2021-08-09,2021-06-30,USD,0.0,Active,No,Yes
COMM-0076,OPP-0076,INV-0026,FUND-AGE-I-OFF-A,FUND-AGE-I,FUND-AGE-I-FC1,156570000.0,2019-04-27,2019-04-19,USD,0.0,Active,No,No
COMM-0077,OPP-0077,INV-0036,FUND-ACO-IV-DOM-A,FUND-ACO-IV,FUND-ACO-IV-FC2,215620000.0,2021-09-10,2021-08-31,USD,0.0,Active,No,No
COMM-0078,OPP-0078,INV-0030,FUND-AGE-II-DOM-A,FUND-AGE-II,FUND-AGE-II-FC2,156780000.0,2022-06-24,2022-05-24,USD,0.0,Active,Yes,No
COMM-0079,OPP-0079,INV-0013,FUND-AGE-II-OFF-A,FUND-AGE-II,FUND-AGE-II-FC2,64180000.0,2022-06-24,2022-06-13,USD,0.0,Active,No,Yes
COMM-0080,OPP-0080,INV-0014,FUND-ABF-X-OFF-A,FUND-ABF-X,FUND-ABF-X-FC2,141870000.0,2023-07-30,2023-07-22,USD,0.0,Active,No,Yes
COMM-0081,OPP-0081,INV-0013,FUND-AGE-I-DOM-A,FUND-AGE-I,FUND-AGE-I-FC2,117600000.0,2019-12-13,2019-11-09,USD,0.0,Active,No,Yes
COMM-0082,OPP-0082,INV-0035,FUND-ABF-X-MAIN-B,FUND-ABF-X,FUND-ABF-X-FC1,140780000.0,2023-04-13,2023-03-02,USD,0.0,Active,No,No
COMM-0083,OPP-0083,INV-0009,FUND-ARA-III-OFF-A,FUND-ARA-III,FUND-ARA-III-FC2,55780000.0,2020-10-22,2020-09-07,USD,0.0,Active,No,No
COMM-0084,OPP-0084,INV-0031,FUND-AIP-III-DOM-A,FUND-AIP-III,FUND-AIP-III-FC2,173650000.0,2023-09-08,2023-07-28,USD,0.0,Active,No,No
COMM-0085,OPP-0085,INV-0008,FUND-ACO-V-OFF-A,FUND-ACO-V,FUND-ACO-V-FC1,203350000.0,2023-04-02,2023-02-20,USD,0.0,Active,Yes,Yes
COMM-0086,OPP-0086,INV-0010,FUND-ARA-III-MAIN-B,FUND-ARA-III,FUND-ARA-III-FC2,47160000.0,2020-10-22,2020-09-22,USD,0.0,Active,Yes,No
COMM-0087,OPP-0087,INV-0027,FUND-ARA-III-DOM-A,FUND-ARA-III,FUND-ARA-III-FC1,388970000.0,2020-04-25,2020-04-04,USD,0.0,Active,No,No
COMM-0088,OPP-0088,INV-0020,FUND-AIP-III-OFF-A,FUND-AIP-III,FUND-AIP-III-FC2,156160000.0,2023-09-08,2023-09-02,USD,0.0,Active,Yes,No
COMM-0089,OPP-0089,INV-0007,FUND-ABF-IX-DOM-A,FUND-ABF-IX,FUND-ABF-IX-FC1,314630000.0,2021-03-11,2021-02-10,USD,0.0,Active,Yes,Yes
COMM-0090,OPP-0090,INV-0016,FUND-ABF-IX-MAIN-B,FUND-ABF-IX,FUND-ABF-IX-FC1,278240000.0,2021-03-11,2021-02-04,USD,0.0,Active,Yes,No
COMM-0091,OPP-0091,INV-0029,FUND-ARA-IV-DOM-A,FUND-ARA-IV,FUND-ARA-IV-FC2,149170000.0,2023-02-08,2023-01-08,USD,0.0,Active,No,No
COMM-0092,OPP-0092,INV-0019,FUND-ABF-X-DOM-A,FUND-ABF-X,FUND-ABF-X-FC2,40230000.0,2023-07-30,2023-06-29,USD,0.0,Active,No,No
COMM-0093,OPP-0093,INV-0038,FUND-ACO-IV-OFF-A,FUND-ACO-IV,FUND-ACO-IV-FC1,215440000.0,2021-05-10,2021-04-29,USD,0.0,Active,No,No
COMM-0094,OPP-0094,INV-0010,FUND-AIP-II-DOM-A,FUND-AIP-II,FUND-AIP-II-FC2,414180000.0,2021-08-09,2021-06-29,USD,0.0,Active,Yes,Yes
COMM-0095,OPP-0095,INV-0020,FUND-ARA-IV-MAIN-B,FUND-ARA-IV,FUND-ARA-IV-FC2,222380000.0,2023-02-08,2023-01-23,USD,0.0,Active,No,No
COMM-0096,OPP-0096,INV-0026,FUND-ARA-IV-OFF-A,FUND-ARA-IV,FUND-ARA-IV-FC2,252730000.0,2023-02-08,2023-01-25,USD,0.0,Active,No,Yes
