vehicle_id,vehicle_name,fund_id,vehicle_type,domicile,legal_form,currency,nav_reporting_frequency,auditor,administrator,transfer_agent,inception_date
FUND-ARA-III-MAIN,AMC Real Assets III — Master Fund,FUND-ARA-III,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2020-01-01
FUND-ARA-III-DOM,AMC Real Assets III — Domestic Feeder,FUND-ARA-III,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2020-01-01
FUND-ARA-III-OFF,AMC Real Assets III — Offshore Feeder,FUND-ARA-III,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2020-01-01
FUND-ARA-IV-MAIN,AMC Real Assets IV — Master Fund,FUND-ARA-IV,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2022-01-01
FUND-ARA-IV-DOM,AMC Real Assets IV — Domestic Feeder,FUND-ARA-IV,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2022-01-01
FUND-ARA-IV-OFF,AMC Real Assets IV — Offshore Feeder,FUND-ARA-IV,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2022-01-01
FUND-AIP-II-MAIN,AMC Infra Partners II — Master Fund,FUND-AIP-II,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2021-01-01
FUND-AIP-II-DOM,AMC Infra Partners II — Domestic Feeder,FUND-AIP-II,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2021-01-01
FUND-AIP-II-OFF,AMC Infra Partners II — Offshore Feeder,FUND-AIP-II,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2021-01-01
FUND-AIP-III-MAIN,AMC Infra Partners III — Master Fund,FUND-AIP-III,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2023-01-01
FUND-AIP-III-DOM,AMC Infra Partners III — Domestic Feeder,FUND-AIP-III,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2023-01-01
FUND-AIP-III-OFF,AMC Infra Partners III — Offshore Feeder,FUND-AIP-III,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2023-01-01
FUND-AGE-I-MAIN,AMC Growth Equity I — Master Fund,FUND-AGE-I,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2019-01-01
FUND-AGE-I-DOM,AMC Growth Equity I — Domestic Feeder,FUND-AGE-I,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2019-01-01
FUND-AGE-I-OFF,AMC Growth Equity I — Offshore Feeder,FUND-AGE-I,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2019-01-01
FUND-AGE-II-MAIN,AMC Growth Equity II — Master Fund,FUND-AGE-II,Master Fund,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2022-01-01
FUND-AGE-II-DOM,AMC Growth Equity II — Domestic Feeder,FUND-AGE-II,Domestic Feeder,"Delaware, USA",Delaware Limited Partnership,USD,Quarterly,KPMG LLP,Citco Fund Services,State Street Global Services,2022-01-01
FUND-AGE-II-OFF,AMC Growth Equity II — Offshore Feeder,FUND-AGE-II,Offshore Feeder,Cayman Islands,Exempted Limited Partnership,USD,Quarterly,PricewaterhouseCoopers,Citco Fund Services,State Street Global Services,2022-01-01
