fee_id,fund_id,fund_name,period,accrual_date,payment_date,fee_base_usd,fee_rate_pct,fee_amount_usd,currency,fee_basis,status
FEE-0018,FUND-ABF-IX,AMC Buyout Fund IX,Q2 2025,2025-06-30,2025-07-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0019,FUND-ABF-IX,AMC Buyout Fund IX,Q3 2025,2025-09-30,2025-10-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0020,FUND-ABF-IX,AMC Buyout Fund IX,Q4 2025,2025-12-31,2026-01-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0021,FUND-ABF-IX,AMC Buyout Fund IX,Q1 2026,2026-03-31,2026-04-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0022,FUND-ABF-IX,AMC Buyout Fund IX,Q2 2026,2026-06-30,2026-07-07,17000000000.0,1.5,63750000.0,USD,Committed Capital,Paid
FEE-0023,FUND-ABF-X,AMC Buyout Fund X,Q1 2023,2023-03-31,2023-04-07,21250000000.0,1.5,79687500.0,USD,Committed Capital,Paid
FEE-0024,FUND-ABF-X,AMC Buyout Fund X,Q2 2023,2023-06-30,2023-07-07,21250000000.0,1.5,79687500.0,USD,Committed Capital,Paid
FEE-0025,FUND-ABF-X,AMC Buyout Fund X,Q3 2023,2023-09-30,2023-10-06,21250000000.0,1.5,79687500.0,USD,Committed Capital,Paid
FEE-0026,FUND-ABF-X,AMC Buyout Fund X,Q4 2023,2023-12-31,2024-01-05,21250000000.0,1.5,79687500.0,USD,Committed Capital,Paid
FEE-0027,FUND-ABF-X,AMC Buyout Fund X,Q1 2024,2024-03-31,2024-04-05,21250000000.0,1.5,79687500.0,USD,Committed Capital,Paid
FEE-0028,FUND-ABF-X,AMC Buyout Fund X,Q2 2024,2024-06-30,2024-07-05,21250000000.0,1.5,79687500.0,USD,Committed Capital,Paid
FEE-0029,FUND-ABF-X,AMC Buyout Fund X,Q3 2024,2024-09-30,2024-10-07,21250000000.0,1.5,79687500.0,USD,Committed Capital,Paid
FEE-0030,FUND-ABF-X,AMC Buyout Fund X,Q4 2024,2024-12-31,2025-01-07,21250000000.0,1.5,79687500.0,USD,Committed Capital,Paid
FEE-0031,FUND-ABF-X,AMC Buyout Fund X,Q1 2025,2025-03-31,2025-04-07,21250000000.0,1.5,79687500.0,USD,Committed Capital,Paid
FEE-0032,FUND-ABF-X,AMC Buyout Fund X,Q2 2025,2025-06-30,2025-07-07,21250000000.0,1.5,79687500.0,USD,Committed Capital,Paid
FEE-0033,FUND-ABF-X,AMC Buyout Fund X,Q3 2025,2025-09-30,2025-10-07,21250000000.0,1.5,79687500.0,USD,Committed Capital,Paid
FEE-0034,FUND-ABF-X,AMC Buyout Fund X,Q4 2025,2025-12-31,2026-01-07,21250000000.0,1.5,79687500.0,USD,Committed Capital,Paid
FEE-0035,FUND-ABF-X,AMC Buyout Fund X,Q1 2026,2026-03-31,2026-04-07,21250000000.0,1.5,79687500.0,USD,Committed Capital,Paid
FEE-0036,FUND-ABF-X,AMC Buyout Fund X,Q2 2026,2026-06-30,2026-07-07,21250000000.0,1.5,79687500.0,USD,Committed Capital,Paid
FEE-0037,FUND-ACO-IV,AMC Credit Opps IV,Q1 2021,2021-03-31,2021-04-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0038,FUND-ACO-IV,AMC Credit Opps IV,Q2 2021,2021-06-30,2021-07-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0039,FUND-ACO-IV,AMC Credit Opps IV,Q3 2021,2021-09-30,2021-10-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0040,FUND-ACO-IV,AMC Credit Opps IV,Q4 2021,2021-12-31,2022-01-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0041,FUND-ACO-IV,AMC Credit Opps IV,Q1 2022,2022-03-31,2022-04-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0042,FUND-ACO-IV,AMC Credit Opps IV,Q2 2022,2022-06-30,2022-07-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0043,FUND-ACO-IV,AMC Credit Opps IV,Q3 2022,2022-09-30,2022-10-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0044,FUND-ACO-IV,AMC Credit Opps IV,Q4 2022,2022-12-31,2023-01-06,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0045,FUND-ACO-IV,AMC Credit Opps IV,Q1 2023,2023-03-31,2023-04-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0046,FUND-ACO-IV,AMC Credit Opps IV,Q2 2023,2023-06-30,2023-07-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0047,FUND-ACO-IV,AMC Credit Opps IV,Q3 2023,2023-09-30,2023-10-06,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0048,FUND-ACO-IV,AMC Credit Opps IV,Q4 2023,2023-12-31,2024-01-05,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0049,FUND-ACO-IV,AMC Credit Opps IV,Q1 2024,2024-03-31,2024-04-05,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0050,FUND-ACO-IV,AMC Credit Opps IV,Q2 2024,2024-06-30,2024-07-05,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0051,FUND-ACO-IV,AMC Credit Opps IV,Q3 2024,2024-09-30,2024-10-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0052,FUND-ACO-IV,AMC Credit Opps IV,Q4 2024,2024-12-31,2025-01-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0053,FUND-ACO-IV,AMC Credit Opps IV,Q1 2025,2025-03-31,2025-04-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0054,FUND-ACO-IV,AMC Credit Opps IV,Q2 2025,2025-06-30,2025-07-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0055,FUND-ACO-IV,AMC Credit Opps IV,Q3 2025,2025-09-30,2025-10-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0056,FUND-ACO-IV,AMC Credit Opps IV,Q4 2025,2025-12-31,2026-01-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0057,FUND-ACO-IV,AMC Credit Opps IV,Q1 2026,2026-03-31,2026-04-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0058,FUND-ACO-IV,AMC Credit Opps IV,Q2 2026,2026-06-30,2026-07-07,8500000000.0,1.0,21250000.0,USD,Committed Capital,Paid
FEE-0059,FUND-ACO-V,AMC Credit Opps V,Q1 2023,2023-03-31,2023-04-07,10200000000.0,1.0,25500000.0,USD,Committed Capital,Paid
FEE-0060,FUND-ACO-V,AMC Credit Opps V,Q2 2023,2023-06-30,2023-07-07,10200000000.0,1.0,25500000.0,USD,Committed Capital,Paid
FEE-0061,FUND-ACO-V,AMC Credit Opps V,Q3 2023,2023-09-30,2023-10-06,10200000000.0,1.0,25500000.0,USD,Committed Capital,Paid
FEE-0062,FUND-ACO-V,AMC Credit Opps V,Q4 2023,2023-12-31,2024-01-05,10200000000.0,1.0,25500000.0,USD,Committed Capital,Paid
FEE-0063,FUND-ACO-V,AMC Credit Opps V,Q1 2024,2024-03-31,2024-04-05,10200000000.0,1.0,25500000.0,USD,Committed Capital,Paid
FEE-0064,FUND-ACO-V,AMC Credit Opps V,Q2 2024,2024-06-30,2024-07-05,10200000000.0,1.0,25500000.0,USD,Committed Capital,Paid
FEE-0065,FUND-ACO-V,AMC Credit Opps V,Q3 2024,2024-09-30,2024-10-07,10200000000.0,1.0,25500000.0,USD,Committed Capital,Paid
FEE-0066,FUND-ACO-V,AMC Credit Opps V,Q4 2024,2024-12-31,2025-01-07,10200000000.0,1.0,25500000.0,USD,Committed Capital,Paid
FEE-0067,FUND-ACO-V,AMC Credit Opps V,Q1 2025,2025-03-31,2025-04-07,10200000000.0,1.0,25500000.0,USD,Committed Capital,Paid
FEE-0068,FUND-ACO-V,AMC Credit Opps V,Q2 2025,2025-06-30,2025-07-07,10200000000.0,1.0,25500000.0,USD,Committed Capital,Paid
FEE-0069,FUND-ACO-V,AMC Credit Opps V,Q3 2025,2025-09-30,2025-10-07,10200000000.0,1.0,25500000.0,USD,Committed Capital,Paid
FEE-0070,FUND-ACO-V,AMC Credit Opps V,Q4 2025,2025-12-31,2026-01-07,10200000000.0,1.0,25500000.0,USD,Committed Capital,Paid
FEE-0071,FUND-ACO-V,AMC Credit Opps V,Q1 2026,2026-03-31,2026-04-07,10200000000.0,1.0,25500000.0,USD,Committed Capital,Paid
FEE-0072,FUND-ACO-V,AMC Credit Opps V,Q2 2026,2026-06-30,2026-07-07,10200000000.0,1.0,25500000.0,USD,Committed Capital,Paid
FEE-0073,FUND-ARA-III,AMC Real Assets III,Q1 2020,2020-03-31,2020-04-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0074,FUND-ARA-III,AMC Real Assets III,Q2 2020,2020-06-30,2020-07-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0075,FUND-ARA-III,AMC Real Assets III,Q3 2020,2020-09-30,2020-10-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0076,FUND-ARA-III,AMC Real Assets III,Q4 2020,2020-12-31,2021-01-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0077,FUND-ARA-III,AMC Real Assets III,Q1 2021,2021-03-31,2021-04-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0078,FUND-ARA-III,AMC Real Assets III,Q2 2021,2021-06-30,2021-07-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0079,FUND-ARA-III,AMC Real Assets III,Q3 2021,2021-09-30,2021-10-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0080,FUND-ARA-III,AMC Real Assets III,Q4 2021,2021-12-31,2022-01-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0081,FUND-ARA-III,AMC Real Assets III,Q1 2022,2022-03-31,2022-04-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0082,FUND-ARA-III,AMC Real Assets III,Q2 2022,2022-06-30,2022-07-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0083,FUND-ARA-III,AMC Real Assets III,Q3 2022,2022-09-30,2022-10-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0084,FUND-ARA-III,AMC Real Assets III,Q4 2022,2022-12-31,2023-01-06,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0085,FUND-ARA-III,AMC Real Assets III,Q1 2023,2023-03-31,2023-04-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0086,FUND-ARA-III,AMC Real Assets III,Q2 2023,2023-06-30,2023-07-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0087,FUND-ARA-III,AMC Real Assets III,Q3 2023,2023-09-30,2023-10-06,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0088,FUND-ARA-III,AMC Real Assets III,Q4 2023,2023-12-31,2024-01-05,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0089,FUND-ARA-III,AMC Real Assets III,Q1 2024,2024-03-31,2024-04-05,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0090,FUND-ARA-III,AMC Real Assets III,Q2 2024,2024-06-30,2024-07-05,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0091,FUND-ARA-III,AMC Real Assets III,Q3 2024,2024-09-30,2024-10-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0092,FUND-ARA-III,AMC Real Assets III,Q4 2024,2024-12-31,2025-01-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0093,FUND-ARA-III,AMC Real Assets III,Q1 2025,2025-03-31,2025-04-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0094,FUND-ARA-III,AMC Real Assets III,Q2 2025,2025-06-30,2025-07-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0095,FUND-ARA-III,AMC Real Assets III,Q3 2025,2025-09-30,2025-10-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0096,FUND-ARA-III,AMC Real Assets III,Q4 2025,2025-12-31,2026-01-07,6800000000.0,1.25,21250000.0,USD,Committed Capital,Paid
FEE-0097,FUND-ARA-III,AMC Real Assets III,Q1 2026,2026-03-31,2026-04-07,4420000000.0,1.25,13812500.0,USD,Invested Capital,Paid
FEE-0098,FUND-ARA-III,AMC Real Assets III,Q2 2026,2026-06-30,2026-07-07,4420000000.0,1.25,13812500.0,USD,Invested Capital,Paid
FEE-0099,FUND-ARA-IV,AMC Real Assets IV,Q1 2022,2022-03-31,2022-04-07,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0100,FUND-ARA-IV,AMC Real Assets IV,Q2 2022,2022-06-30,2022-07-07,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0101,FUND-ARA-IV,AMC Real Assets IV,Q3 2022,2022-09-30,2022-10-07,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0102,FUND-ARA-IV,AMC Real Assets IV,Q4 2022,2022-12-31,2023-01-06,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0103,FUND-ARA-IV,AMC Real Assets IV,Q1 2023,2023-03-31,2023-04-07,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0104,FUND-ARA-IV,AMC Real Assets IV,Q2 2023,2023-06-30,2023-07-07,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0105,FUND-ARA-IV,AMC Real Assets IV,Q3 2023,2023-09-30,2023-10-06,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0106,FUND-ARA-IV,AMC Real Assets IV,Q4 2023,2023-12-31,2024-01-05,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0107,FUND-ARA-IV,AMC Real Assets IV,Q1 2024,2024-03-31,2024-04-05,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0108,FUND-ARA-IV,AMC Real Assets IV,Q2 2024,2024-06-30,2024-07-05,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0109,FUND-ARA-IV,AMC Real Assets IV,Q3 2024,2024-09-30,2024-10-07,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0110,FUND-ARA-IV,AMC Real Assets IV,Q4 2024,2024-12-31,2025-01-07,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0111,FUND-ARA-IV,AMC Real Assets IV,Q1 2025,2025-03-31,2025-04-07,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0112,FUND-ARA-IV,AMC Real Assets IV,Q2 2025,2025-06-30,2025-07-07,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0113,FUND-ARA-IV,AMC Real Assets IV,Q3 2025,2025-09-30,2025-10-07,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0114,FUND-ARA-IV,AMC Real Assets IV,Q4 2025,2025-12-31,2026-01-07,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0115,FUND-ARA-IV,AMC Real Assets IV,Q1 2026,2026-03-31,2026-04-07,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0116,FUND-ARA-IV,AMC Real Assets IV,Q2 2026,2026-06-30,2026-07-07,8075000000.0,1.25,25234400.0,USD,Committed Capital,Paid
FEE-0117,FUND-AIP-II,AMC Infra Partners II,Q1 2021,2021-03-31,2021-04-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0118,FUND-AIP-II,AMC Infra Partners II,Q2 2021,2021-06-30,2021-07-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0119,FUND-AIP-II,AMC Infra Partners II,Q3 2021,2021-09-30,2021-10-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0120,FUND-AIP-II,AMC Infra Partners II,Q4 2021,2021-12-31,2022-01-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0121,FUND-AIP-II,AMC Infra Partners II,Q1 2022,2022-03-31,2022-04-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0122,FUND-AIP-II,AMC Infra Partners II,Q2 2022,2022-06-30,2022-07-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0123,FUND-AIP-II,AMC Infra Partners II,Q3 2022,2022-09-30,2022-10-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0124,FUND-AIP-II,AMC Infra Partners II,Q4 2022,2022-12-31,2023-01-06,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0125,FUND-AIP-II,AMC Infra Partners II,Q1 2023,2023-03-31,2023-04-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0126,FUND-AIP-II,AMC Infra Partners II,Q2 2023,2023-06-30,2023-07-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0127,FUND-AIP-II,AMC Infra Partners II,Q3 2023,2023-09-30,2023-10-06,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0128,FUND-AIP-II,AMC Infra Partners II,Q4 2023,2023-12-31,2024-01-05,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0129,FUND-AIP-II,AMC Infra Partners II,Q1 2024,2024-03-31,2024-04-05,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0130,FUND-AIP-II,AMC Infra Partners II,Q2 2024,2024-06-30,2024-07-05,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0131,FUND-AIP-II,AMC Infra Partners II,Q3 2024,2024-09-30,2024-10-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0132,FUND-AIP-II,AMC Infra Partners II,Q4 2024,2024-12-31,2025-01-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0133,FUND-AIP-II,AMC Infra Partners II,Q1 2025,2025-03-31,2025-04-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0134,FUND-AIP-II,AMC Infra Partners II,Q2 2025,2025-06-30,2025-07-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0135,FUND-AIP-II,AMC Infra Partners II,Q3 2025,2025-09-30,2025-10-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0136,FUND-AIP-II,AMC Infra Partners II,Q4 2025,2025-12-31,2026-01-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0137,FUND-AIP-II,AMC Infra Partners II,Q1 2026,2026-03-31,2026-04-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0138,FUND-AIP-II,AMC Infra Partners II,Q2 2026,2026-06-30,2026-07-07,12750000000.0,1.0,31875000.0,USD,Committed Capital,Paid
FEE-0139,FUND-AIP-III,AMC Infra Partners III,Q1 2023,2023-03-31,2023-04-07,15300000000.0,1.0,38250000.0,USD,Committed Capital,Paid
FEE-0140,FUND-AIP-III,AMC Infra Partners III,Q2 2023,2023-06-30,2023-07-07,15300000000.0,1.0,38250000.0,USD,Committed Capital,Paid
FEE-0141,FUND-AIP-III,AMC Infra Partners III,Q3 2023,2023-09-30,2023-10-06,15300000000.0,1.0,38250000.0,USD,Committed Capital,Paid
FEE-0142,FUND-AIP-III,AMC Infra Partners III,Q4 2023,2023-12-31,2024-01-05,15300000000.0,1.0,38250000.0,USD,Committed Capital,Paid
FEE-0143,FUND-AIP-III,AMC Infra Partners III,Q1 2024,2024-03-31,2024-04-05,15300000000.0,1.0,38250000.0,USD,Committed Capital,Paid
FEE-0144,FUND-AIP-III,AMC Infra Partners III,Q2 2024,2024-06-30,2024-07-05,15300000000.0,1.0,38250000.0,USD,Committed Capital,Paid
FEE-0145,FUND-AIP-III,AMC Infra Partners III,Q3 2024,2024-09-30,2024-10-07,15300000000.0,1.0,38250000.0,USD,Committed Capital,Paid
FEE-0146,FUND-AIP-III,AMC Infra Partners III,Q4 2024,2024-12-31,2025-01-07,15300000000.0,1.0,38250000.0,USD,Committed Capital,Paid
FEE-0147,FUND-AIP-III,AMC Infra Partners III,Q1 2025,2025-03-31,2025-04-07,15300000000.0,1.0,38250000.0,USD,Committed Capital,Paid
FEE-0148,FUND-AIP-III,AMC Infra Partners III,Q2 2025,2025-06-30,2025-07-07,15300000000.0,1.0,38250000.0,USD,Committed Capital,Paid
FEE-0149,FUND-AIP-III,AMC Infra Partners III,Q3 2025,2025-09-30,2025-10-07,15300000000.0,1.0,38250000.0,USD,Committed Capital,Paid
FEE-0150,FUND-AIP-III,AMC Infra Partners III,Q4 2025,2025-12-31,2026-01-07,15300000000.0,1.0,38250000.0,USD,Committed Capital,Paid
FEE-0151,FUND-AIP-III,AMC Infra Partners III,Q1 2026,2026-03-31,2026-04-07,15300000000.0,1.0,38250000.0,USD,Committed Capital,Paid
FEE-0152,FUND-AIP-III,AMC Infra Partners III,Q2 2026,2026-06-30,2026-07-07,15300000000.0,1.0,38250000.0,USD,Committed Capital,Paid
FEE-0153,FUND-AGE-I,AMC Growth Equity I,Q1 2019,2019-03-31,2019-04-05,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0154,FUND-AGE-I,AMC Growth Equity I,Q2 2019,2019-06-30,2019-07-05,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0155,FUND-AGE-I,AMC Growth Equity I,Q3 2019,2019-09-30,2019-10-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0156,FUND-AGE-I,AMC Growth Equity I,Q4 2019,2019-12-31,2020-01-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0157,FUND-AGE-I,AMC Growth Equity I,Q1 2020,2020-03-31,2020-04-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0158,FUND-AGE-I,AMC Growth Equity I,Q2 2020,2020-06-30,2020-07-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0159,FUND-AGE-I,AMC Growth Equity I,Q3 2020,2020-09-30,2020-10-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0160,FUND-AGE-I,AMC Growth Equity I,Q4 2020,2020-12-31,2021-01-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0161,FUND-AGE-I,AMC Growth Equity I,Q1 2021,2021-03-31,2021-04-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0162,FUND-AGE-I,AMC Growth Equity I,Q2 2021,2021-06-30,2021-07-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0163,FUND-AGE-I,AMC Growth Equity I,Q3 2021,2021-09-30,2021-10-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0164,FUND-AGE-I,AMC Growth Equity I,Q4 2021,2021-12-31,2022-01-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0165,FUND-AGE-I,AMC Growth Equity I,Q1 2022,2022-03-31,2022-04-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0166,FUND-AGE-I,AMC Growth Equity I,Q2 2022,2022-06-30,2022-07-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0167,FUND-AGE-I,AMC Growth Equity I,Q3 2022,2022-09-30,2022-10-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0168,FUND-AGE-I,AMC Growth Equity I,Q4 2022,2022-12-31,2023-01-06,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0169,FUND-AGE-I,AMC Growth Equity I,Q1 2023,2023-03-31,2023-04-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0170,FUND-AGE-I,AMC Growth Equity I,Q2 2023,2023-06-30,2023-07-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0171,FUND-AGE-I,AMC Growth Equity I,Q3 2023,2023-09-30,2023-10-06,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
