valuation_id,company_id,company_name,fund_id,investment_date,cost_usd,valuation_date,currency,fair_value_usd,unrealized_gain_loss_usd,moic,status,exit_date,exit_proceeds_usd
PI-0013,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2024-09-30,USD,972777000.0,122777000.0,1.144,Active,,
PI-0014,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2024-12-31,USD,960945000.0,110945000.0,1.131,Active,,
PI-0015,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2025-03-31,USD,1009938000.0,159938000.0,1.188,Active,,
PI-0016,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2025-06-30,USD,1046590000.0,196590000.0,1.231,Active,,
PI-0017,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2025-09-30,USD,1037026000.0,187026000.0,1.22,Active,,
PI-0018,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2025-12-31,USD,1081097000.0,231097000.0,1.272,Active,,
PI-0019,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2026-03-31,USD,1160363000.0,310363000.0,1.365,Active,,
PI-0020,PC-001,TechVision Software Inc.,FUND-ABF-IX,2021-09-30,850000000.0,2026-06-30,USD,1115004000.0,265004000.0,1.312,Active,,
PI-0021,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2022-03-31,USD,665145000.0,45145000.0,1.073,Active,,
PI-0022,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2022-06-30,USD,703550000.0,83550000.0,1.135,Active,,
PI-0023,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2022-09-30,USD,708922000.0,88922000.0,1.143,Active,,
PI-0024,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2022-12-31,USD,695996000.0,75996000.0,1.123,Active,,
PI-0025,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2023-03-31,USD,761426000.0,141426000.0,1.228,Active,,
PI-0026,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2023-06-30,USD,766850000.0,146850000.0,1.237,Active,,
PI-0027,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2023-09-30,USD,746133000.0,126133000.0,1.203,Active,,
PI-0028,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2023-12-31,USD,726391000.0,106391000.0,1.172,Active,,
PI-0029,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2024-03-31,USD,783521000.0,163521000.0,1.264,Active,,
PI-0030,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2024-06-30,USD,818405000.0,198405000.0,1.32,Active,,
PI-0031,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2024-09-30,USD,878147000.0,258147000.0,1.416,Active,,
PI-0032,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2024-12-31,USD,932735000.0,312735000.0,1.504,Active,,
PI-0033,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2025-03-31,USD,965448000.0,345448000.0,1.557,Active,,
PI-0034,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2025-06-30,USD,1058359000.0,438359000.0,1.707,Active,,
PI-0035,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2025-09-30,USD,1072112000.0,452112000.0,1.729,Active,,
PI-0036,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2025-12-31,USD,1112086000.0,492086000.0,1.794,Active,,
PI-0037,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2026-03-31,USD,1196734000.0,576734000.0,1.93,Active,,
PI-0038,PC-002,GlobalLogistics Partners LP,FUND-ABF-IX,2022-03-31,620000000.0,2026-06-30,USD,1252493000.0,632493000.0,2.02,Active,,
PI-0039,PC-003,HealthPath Holdings,FUND-ABF-X,2023-06-30,420000000.0,2023-06-30,USD,453868000.0,33868000.0,1.081,Active,,
PI-0040,PC-003,HealthPath Holdings,FUND-ABF-X,2023-06-30,420000000.0,2023-09-30,USD,472399000.0,52399000.0,1.125,Active,,
PI-0041,PC-003,HealthPath Holdings,FUND-ABF-X,2023-06-30,420000000.0,2023-12-31,USD,500101000.0,80101000.0,1.191,Active,,
PI-0042,PC-003,HealthPath Holdings,FUND-ABF-X,2023-06-30,420000000.0,2024-03-31,USD,483305000.0,63305000.0,1.151,Active,,
PI-0043,PC-003,HealthPath Holdings,FUND-ABF-X,2023-06-30,420000000.0,2024-06-30,USD,479393000.0,59393000.0,1.141,Active,,
PI-0044,PC-003,HealthPath Holdings,FUND-ABF-X,2023-06-30,420000000.0,2024-09-30,USD,479640000.0,59640000.0,1.142,Active,,
PI-0045,PC-003,HealthPath Holdings,FUND-ABF-X,2023-06-30,420000000.0,2024-12-31,USD,465812000.0,45812000.0,1.109,Active,,
PI-0046,PC-003,HealthPath Holdings,FUND-ABF-X,2023-06-30,420000000.0,2025-03-31,USD,462361000.0,42361000.0,1.101,Active,,
PI-0047,PC-003,HealthPath Holdings,FUND-ABF-X,2023-06-30,420000000.0,2025-06-30,USD,450404000.0,30404000.0,1.072,Active,,
PI-0048,PC-003,HealthPath Holdings,FUND-ABF-X,2023-06-30,420000000.0,2025-09-30,USD,449916000.0,29916000.0,1.071,Active,,
PI-0049,PC-003,HealthPath Holdings,FUND-ABF-X,2023-06-30,420000000.0,2025-12-31,USD,471960000.0,51960000.0,1.124,Active,,
PI-0050,PC-003,HealthPath Holdings,FUND-ABF-X,2023-06-30,420000000.0,2026-03-31,USD,477188000.0,57188000.0,1.136,Active,,
PI-0051,PC-003,HealthPath Holdings,FUND-ABF-X,2023-06-30,420000000.0,2026-06-30,USD,482831000.0,62831000.0,1.15,Active,,
PI-0052,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2021-10-31,USD,1088264000.0,-11736000.0,0.989,Active,,
PI-0053,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2022-03-31,USD,1085409000.0,-14591000.0,0.987,Active,,
PI-0054,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2022-06-30,USD,1184324000.0,84324000.0,1.077,Active,,
PI-0055,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2022-09-30,USD,1244399000.0,144399000.0,1.131,Active,,
PI-0056,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2022-12-31,USD,1300743000.0,200743000.0,1.182,Active,,
PI-0057,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2023-03-31,USD,1279878000.0,179878000.0,1.164,Active,,
PI-0058,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2023-06-30,USD,1359330000.0,259330000.0,1.236,Active,,
PI-0059,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2023-09-30,USD,1336053000.0,236053000.0,1.215,Active,,
PI-0060,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2023-12-31,USD,1353587000.0,253587000.0,1.231,Active,,
PI-0061,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2024-03-31,USD,1486960000.0,386960000.0,1.352,Active,,
PI-0062,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2024-06-30,USD,1560713000.0,460713000.0,1.419,Active,,
PI-0063,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2024-09-30,USD,1619978000.0,519978000.0,1.473,Active,,
PI-0064,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2024-12-31,USD,1710447000.0,610447000.0,1.555,Active,,
PI-0065,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2025-03-31,USD,1843861000.0,743861000.0,1.676,Active,,
PI-0066,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2025-06-30,USD,1970424000.0,870424000.0,1.791,Active,,
PI-0067,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2025-09-30,USD,1954792000.0,854792000.0,1.777,Active,,
PI-0068,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2025-12-31,USD,1885385000.0,785385000.0,1.714,Active,,
PI-0069,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2026-03-31,USD,1893235000.0,793235000.0,1.721,Active,,
PI-0070,PC-004,BrightEnergy Renewables,FUND-AIP-II,2021-10-31,1100000000.0,2026-06-30,USD,1888471000.0,788471000.0,1.717,Active,,
PI-0071,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2022-06-30,USD,771839000.0,-8161000.0,0.99,Active,,
PI-0072,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2022-09-30,USD,842854000.0,62854000.0,1.081,Active,,
PI-0073,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2022-12-31,USD,912551000.0,132551000.0,1.17,Active,,
PI-0074,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2023-03-31,USD,916251000.0,136251000.0,1.175,Active,,
PI-0075,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2023-06-30,USD,963677000.0,183677000.0,1.235,Active,,
PI-0076,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2023-09-30,USD,978507000.0,198507000.0,1.254,Active,,
PI-0077,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2023-12-31,USD,1064651000.0,284651000.0,1.365,Active,,
PI-0078,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2024-03-31,USD,1090457000.0,310457000.0,1.398,Active,,
PI-0079,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2024-06-30,USD,1087276000.0,307276000.0,1.394,Active,,
PI-0080,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2024-09-30,USD,1081326000.0,301326000.0,1.386,Active,,
PI-0081,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2024-12-31,USD,1123056000.0,343056000.0,1.44,Active,,
PI-0082,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2025-03-31,USD,1119444000.0,339444000.0,1.435,Active,,
PI-0083,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2025-06-30,USD,1166284000.0,386284000.0,1.495,Active,,
PI-0084,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2025-09-30,USD,1266229000.0,486229000.0,1.623,Active,,
PI-0085,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2025-12-31,USD,1286382000.0,506382000.0,1.649,Active,,
PI-0086,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2026-03-31,USD,1274425000.0,494425000.0,1.634,Active,,
PI-0087,PC-005,MidWest Grid Operator LLC,FUND-AIP-II,2022-06-30,780000000.0,2026-06-30,USD,1401428000.0,621428000.0,1.797,Active,,
PI-0088,PC-006,Pacific Ports Authority,FUND-AIP-III,2023-09-30,650000000.0,2023-09-30,USD,670367000.0,20367000.0,1.031,Active,,
PI-0089,PC-006,Pacific Ports Authority,FUND-AIP-III,2023-09-30,650000000.0,2023-12-31,USD,652084000.0,2084000.0,1.003,Active,,
PI-0090,PC-006,Pacific Ports Authority,FUND-AIP-III,2023-09-30,650000000.0,2024-03-31,USD,630302000.0,-19698000.0,0.97,Active,,
PI-0091,PC-006,Pacific Ports Authority,FUND-AIP-III,2023-09-30,650000000.0,2024-06-30,USD,614766000.0,-35234000.0,0.946,Active,,
PI-0092,PC-006,Pacific Ports Authority,FUND-AIP-III,2023-09-30,650000000.0,2024-09-30,USD,644178000.0,-5822000.0,0.991,Active,,
PI-0093,PC-006,Pacific Ports Authority,FUND-AIP-III,2023-09-30,650000000.0,2024-12-31,USD,689844000.0,39844000.0,1.061,Active,,
PI-0094,PC-006,Pacific Ports Authority,FUND-AIP-III,2023-09-30,650000000.0,2025-03-31,USD,703022000.0,53022000.0,1.082,Active,,
PI-0095,PC-006,Pacific Ports Authority,FUND-AIP-III,2023-09-30,650000000.0,2025-06-30,USD,681154000.0,31154000.0,1.048,Active,,
PI-0096,PC-006,Pacific Ports Authority,FUND-AIP-III,2023-09-30,650000000.0,2025-09-30,USD,690300000.0,40300000.0,1.062,Active,,
PI-0097,PC-006,Pacific Ports Authority,FUND-AIP-III,2023-09-30,650000000.0,2025-12-31,USD,758955000.0,108955000.0,1.168,Active,,
PI-0098,PC-006,Pacific Ports Authority,FUND-AIP-III,2023-09-30,650000000.0,2026-03-31,USD,784817000.0,134817000.0,1.207,Active,,
PI-0099,PC-006,Pacific Ports Authority,FUND-AIP-III,2023-09-30,650000000.0,2026-06-30,USD,860121000.0,210121000.0,1.323,Active,,
PI-0100,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2021-08-31,USD,345763000.0,25763000.0,1.081,Active,,
PI-0101,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2021-12-31,USD,332488000.0,12488000.0,1.039,Active,,
PI-0102,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2022-03-31,USD,352737000.0,32737000.0,1.102,Active,,
PI-0103,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2022-06-30,USD,372293000.0,52293000.0,1.163,Active,,
PI-0104,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2022-09-30,USD,385389000.0,65389000.0,1.204,Active,,
PI-0105,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2022-12-31,USD,384370000.0,64370000.0,1.201,Active,,
PI-0106,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2023-03-31,USD,403487000.0,83487000.0,1.261,Active,,
PI-0107,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2023-06-30,USD,393649000.0,73649000.0,1.23,Active,,
PI-0108,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2023-09-30,USD,401863000.0,81863000.0,1.256,Active,,
PI-0109,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2023-12-31,USD,411315000.0,91315000.0,1.285,Active,,
PI-0110,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2024-03-31,USD,449787000.0,129787000.0,1.406,Active,,
PI-0111,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2024-06-30,USD,486948000.0,166948000.0,1.522,Active,,
PI-0112,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2024-09-30,USD,485426000.0,165426000.0,1.517,Active,,
PI-0113,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2024-12-31,USD,500029000.0,180029000.0,1.563,Active,,
PI-0114,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2025-03-31,USD,492534000.0,172534000.0,1.539,Active,,
PI-0115,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2025-06-30,USD,535763000.0,215763000.0,1.674,Active,,
PI-0116,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2025-09-30,USD,579627000.0,259627000.0,1.811,Active,,
PI-0117,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2025-12-31,USD,580660000.0,260660000.0,1.815,Active,,
PI-0118,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2026-03-31,USD,609375000.0,289375000.0,1.904,Active,,
PI-0119,PC-007,Alpine Credit Holdings,FUND-ACO-IV,2021-08-31,320000000.0,2026-06-30,USD,636953000.0,316953000.0,1.99,Active,,
PI-0120,PC-008,Meridian Real Estate Fund III,FUND-ARA-III,2020-06-30,280000000.0,2020-06-30,USD,274791000.0,-5209000.0,0.981,Active,2023-06-30,510000000.0
PI-0121,PC-008,Meridian Real Estate Fund III,FUND-ARA-III,2020-06-30,280000000.0,2020-09-30,USD,293134000.0,13134000.0,1.047,Active,2023-06-30,510000000.0
PI-0122,PC-008,Meridian Real Estate Fund III,FUND-ARA-III,2020-06-30,280000000.0,2020-12-31,USD,303544000.0,23544000.0,1.084,Active,2023-06-30,510000000.0
PI-0123,PC-008,Meridian Real Estate Fund III,FUND-ARA-III,2020-06-30,280000000.0,2021-03-31,USD,324491000.0,44491000.0,1.159,Active,2023-06-30,510000000.0
PI-0124,PC-008,Meridian Real Estate Fund III,FUND-ARA-III,2020-06-30,280000000.0,2021-06-30,USD,335605000.0,55605000.0,1.199,Active,2023-06-30,510000000.0
PI-0125,PC-008,Meridian Real Estate Fund III,FUND-ARA-III,2020-06-30,280000000.0,2021-09-30,USD,322208000.0,42208000.0,1.151,Active,2023-06-30,510000000.0
PI-0126,PC-008,Meridian Real Estate Fund III,FUND-ARA-III,2020-06-30,280000000.0,2021-12-31,USD,323942000.0,43942000.0,1.157,Active,2023-06-30,510000000.0
PI-0127,PC-008,Meridian Real Estate Fund III,FUND-ARA-III,2020-06-30,280000000.0,2022-03-31,USD,311868000.0,31868000.0,1.114,Active,2023-06-30,510000000.0
PI-0128,PC-008,Meridian Real Estate Fund III,FUND-ARA-III,2020-06-30,280000000.0,2022-06-30,USD,339959000.0,59959000.0,1.214,Active,2023-06-30,510000000.0
PI-0129,PC-008,Meridian Real Estate Fund III,FUND-ARA-III,2020-06-30,280000000.0,2022-09-30,USD,368183000.0,88183000.0,1.315,Active,2023-06-30,510000000.0
PI-0130,PC-008,Meridian Real Estate Fund III,FUND-ARA-III,2020-06-30,280000000.0,2022-12-31,USD,396324000.0,116324000.0,1.415,Active,2023-06-30,510000000.0
PI-0131,PC-008,Meridian Real Estate Fund III,FUND-ARA-III,2020-06-30,280000000.0,2023-03-31,USD,397534000.0,117534000.0,1.42,Active,2023-06-30,510000000.0
PI-0132,PC-008,Meridian Real Estate Fund III,FUND-ARA-III,2020-06-30,280000000.0,2023-06-30,USD,510000000.0,230000000.0,1.374,Realized,2023-06-30,510000000.0
PI-0133,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2021-03-31,USD,211170000.0,16170000.0,1.083,Active,,
PI-0134,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2021-06-30,USD,230719000.0,35719000.0,1.183,Active,,
PI-0135,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2021-09-30,USD,224257000.0,29257000.0,1.15,Active,,
PI-0136,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2021-12-31,USD,230545000.0,35545000.0,1.182,Active,,
PI-0137,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2022-03-31,USD,223557000.0,28557000.0,1.146,Active,,
PI-0138,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2022-06-30,USD,238420000.0,43420000.0,1.223,Active,,
PI-0139,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2022-09-30,USD,254446000.0,59446000.0,1.305,Active,,
PI-0140,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2022-12-31,USD,248842000.0,53842000.0,1.276,Active,,
PI-0141,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2023-03-31,USD,255446000.0,60446000.0,1.31,Active,,
PI-0142,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2023-06-30,USD,264890000.0,69890000.0,1.358,Active,,
PI-0143,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2023-09-30,USD,264124000.0,69124000.0,1.354,Active,,
PI-0144,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2023-12-31,USD,285819000.0,90819000.0,1.466,Active,,
PI-0145,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2024-03-31,USD,291318000.0,96318000.0,1.494,Active,,
PI-0146,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2024-06-30,USD,288303000.0,93303000.0,1.478,Active,,
PI-0147,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2024-09-30,USD,298538000.0,103538000.0,1.531,Active,,
PI-0148,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2024-12-31,USD,317104000.0,122104000.0,1.626,Active,,
PI-0149,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2025-03-31,USD,313350000.0,118350000.0,1.607,Active,,
PI-0150,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2025-06-30,USD,314491000.0,119491000.0,1.613,Active,,
PI-0151,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2025-09-30,USD,345727000.0,150727000.0,1.773,Active,,
PI-0152,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2025-12-31,USD,363353000.0,168353000.0,1.863,Active,,
PI-0153,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2026-03-31,USD,371105000.0,176105000.0,1.903,Active,,
PI-0154,PC-009,Desert Sun Industrial REIT,FUND-ARA-III,2021-03-31,195000000.0,2026-06-30,USD,383151000.0,188151000.0,1.965,Active,,
PI-0155,PC-010,Coastal Retail Portfolio,FUND-ARA-IV,2022-09-30,310000000.0,2022-09-30,USD,302852000.0,-7148000.0,0.977,Active,,
PI-0156,PC-010,Coastal Retail Portfolio,FUND-ARA-IV,2022-09-30,310000000.0,2022-12-31,USD,300265000.0,-9735000.0,0.969,Active,,
PI-0157,PC-010,Coastal Retail Portfolio,FUND-ARA-IV,2022-09-30,310000000.0,2023-03-31,USD,302467000.0,-7533000.0,0.976,Active,,
PI-0158,PC-010,Coastal Retail Portfolio,FUND-ARA-IV,2022-09-30,310000000.0,2023-06-30,USD,315280000.0,5280000.0,1.017,Active,,
PI-0159,PC-010,Coastal Retail Portfolio,FUND-ARA-IV,2022-09-30,310000000.0,2023-09-30,USD,312826000.0,2826000.0,1.009,Active,,
PI-0160,PC-010,Coastal Retail Portfolio,FUND-ARA-IV,2022-09-30,310000000.0,2023-12-31,USD,309958000.0,-42000.0,1.0,Active,,
PI-0161,PC-010,Coastal Retail Portfolio,FUND-ARA-IV,2022-09-30,310000000.0,2024-03-31,USD,300640000.0,-9360000.0,0.97,Active,,
PI-0162,PC-010,Coastal Retail Portfolio,FUND-ARA-IV,2022-09-30,310000000.0,2024-06-30,USD,315177000.0,5177000.0,1.017,Active,,
PI-0163,PC-010,Coastal Retail Portfolio,FUND-ARA-IV,2022-09-30,310000000.0,2024-09-30,USD,312672000.0,2672000.0,1.009,Active,,
PI-0164,PC-010,Coastal Retail Portfolio,FUND-ARA-IV,2022-09-30,310000000.0,2024-12-31,USD,339799000.0,29799000.0,1.096,Active,,
PI-0165,PC-010,Coastal Retail Portfolio,FUND-ARA-IV,2022-09-30,310000000.0,2025-03-31,USD,367101000.0,57101000.0,1.184,Active,,
PI-0166,PC-010,Coastal Retail Portfolio,FUND-ARA-IV,2022-09-30,310000000.0,2025-06-30,USD,356059000.0,46059000.0,1.149,Active,,
PI-0167,PC-010,Coastal Retail Portfolio,FUND-ARA-IV,2022-09-30,310000000.0,2025-09-30,USD,353681000.0,43681000.0,1.141,Active,,
PI-0168,PC-010,Coastal Retail Portfolio,FUND-ARA-IV,2022-09-30,310000000.0,2025-12-31,USD,372658000.0,62658000.0,1.202,Active,,
PI-0169,PC-010,Coastal Retail Portfolio,FUND-ARA-IV,2022-09-30,310000000.0,2026-03-31,USD,368929000.0,58929000.0,1.19,Active,,
PI-0170,PC-010,Coastal Retail Portfolio,FUND-ARA-IV,2022-09-30,310000000.0,2026-06-30,USD,361006000.0,51006000.0,1.165,Active,,
PI-0171,PC-011,FastGrowth E-Commerce Ltd,FUND-AGE-I,2019-09-30,85000000.0,2019-09-30,USD,92733000.0,7733000.0,1.091,Active,2022-12-31,210000000.0
PI-0172,PC-011,FastGrowth E-Commerce Ltd,FUND-AGE-I,2019-09-30,85000000.0,2019-12-31,USD,96437000.0,11437000.0,1.135,Active,2022-12-31,210000000.0
PI-0173,PC-011,FastGrowth E-Commerce Ltd,FUND-AGE-I,2019-09-30,85000000.0,2020-03-31,USD,98961000.0,13961000.0,1.164,Active,2022-12-31,210000000.0
