wire_id,wire_date,wire_leg,sender_id,sender_name,platform,receiver_entity_id,receiver_bank_account,amount_usd,currency,notice_id,capital_call_id,status,processed_by,match_status
WIRE-000013,2022-09-07,LP → Feeder,INV-0040,Artivest (iCapital) — Agg Acc,Artivest (iCapital),FUND-AGE-II-OFF,WF-500600700,12378000.0,USD,CCN-00013,FUND-AGE-II-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000014,2023-03-01,LP → Feeder,INV-0040,Artivest (iCapital) — Agg Acc,Artivest (iCapital),FUND-AGE-II-OFF,GS-400500600,10315000.0,USD,CCN-00014,FUND-AGE-II-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000015,2023-09-11,LP → Feeder,INV-0023,HarbourVest Partners,HarbourVest Partners,FUND-ABF-X-OFF,HSBC-600700800,132072000.0,USD,CCN-00015,FUND-ABF-X-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000016,2024-04-09,LP → Feeder,INV-0023,HarbourVest Partners,HarbourVest Partners,FUND-ABF-X-OFF,HSBC-600700800,110060000.0,USD,CCN-00016,FUND-ABF-X-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000017,2019-08-30,LP → Feeder,INV-0029,Soros Family Office,Soros Family Office,FUND-AGE-I-DOM,JPMC-100200300,92334000.0,USD,CCN-00017,FUND-AGE-I-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000018,2020-06-22,LP → Feeder,INV-0029,Soros Family Office,Soros Family Office,FUND-AGE-I-DOM,GS-400500600,76945000.0,USD,CCN-00018,FUND-AGE-I-CC2,Late,AMC Capital — Fund Admin,Matched
WIRE-000019,2023-09-21,LP → Master Fund,INV-0036,Fidelity Institutional — Agg Acc,Fidelity Institutional,FUND-ABF-X-MAIN,GS-400500600,139866000.0,USD,CCN-00019,FUND-ABF-X-CC1,Late,AMC Capital — Fund Admin,Matched
WIRE-000020,2024-04-12,LP → Master Fund,INV-0036,Fidelity Institutional — Agg Acc,Fidelity Institutional,FUND-ABF-X-MAIN,WF-500600700,116555000.0,USD,CCN-00020,FUND-ABF-X-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000021,2020-07-17,LP → Feeder,INV-0008,CPP Investments,CPP Investments,FUND-ARA-III-OFF,GS-400500600,111750000.0,USD,CCN-00021,FUND-ARA-III-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000022,2020-11-23,LP → Feeder,INV-0008,CPP Investments,CPP Investments,FUND-ARA-III-OFF,GS-400500600,93125000.0,USD,CCN-00022,FUND-ARA-III-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000023,2023-08-24,LP → Feeder,INV-0039,CAIS Group — Agg Acc,CAIS Group,FUND-AIP-III-DOM,BOFA-300400500,108066000.0,USD,CCN-00023,FUND-AIP-III-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000024,2023-12-27,LP → Feeder,INV-0039,CAIS Group — Agg Acc,CAIS Group,FUND-AIP-III-DOM,BOFA-300400500,90055000.0,USD,CCN-00024,FUND-AIP-III-CC2,Late,AMC Capital — Fund Admin,Matched
WIRE-000025,2023-08-24,LP → Feeder,INV-0032,Morgan Stanley Wealth Management — Agg Acc,Morgan Stanley Wealth Management,FUND-ACO-V-OFF,JPMC-100200300,135942000.0,USD,CCN-00025,FUND-ACO-V-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000026,2024-02-09,LP → Feeder,INV-0032,Morgan Stanley Wealth Management — Agg Acc,Morgan Stanley Wealth Management,FUND-ACO-V-OFF,WF-500600700,113285000.0,USD,CCN-00026,FUND-ACO-V-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000027,2020-07-20,LP → Master Fund,INV-0028,Koch Industries,Koch Industries,FUND-ARA-III-MAIN,GS-400500600,8046000.0,USD,CCN-00027,FUND-ARA-III-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000028,2020-11-25,LP → Master Fund,INV-0028,Koch Industries,Koch Industries,FUND-ARA-III-MAIN,BOFA-300400500,6705000.0,USD,CCN-00028,FUND-ARA-III-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000029,2020-07-17,LP → Feeder,INV-0017,CDPQ,CDPQ,FUND-ARA-III-DOM,BOFA-300400500,111573000.0,USD,CCN-00029,FUND-ARA-III-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000030,2020-11-25,LP → Feeder,INV-0017,CDPQ,CDPQ,FUND-ARA-III-DOM,WF-500600700,92977500.0,USD,CCN-00030,FUND-ARA-III-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000031,2023-08-24,LP → Feeder,INV-0001,CalPERS,CalPERS,FUND-AIP-III-OFF,HSBC-600700800,12675000.0,USD,CCN-00031,FUND-AIP-III-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000035,2021-08-20,LP → Master Fund,INV-0003,Ford Foundation,Ford Foundation,FUND-ABF-IX-MAIN,WF-500600700,55650000.0,USD,CCN-00035,FUND-ABF-IX-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000036,2021-12-15,LP → Master Fund,INV-0003,Ford Foundation,Ford Foundation,FUND-ABF-IX-MAIN,GS-400500600,46375000.0,USD,CCN-00036,FUND-ABF-IX-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000037,2022-08-01,LP → Feeder,INV-0016,AP4 Sweden,AP4 Sweden,FUND-ARA-IV-DOM,CITI-200300400,54021000.0,USD,CCN-00037,FUND-ARA-IV-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000038,2023-05-03,LP → Feeder,INV-0016,AP4 Sweden,AP4 Sweden,FUND-ARA-IV-DOM,JPMC-100200300,45017500.0,USD,CCN-00038,FUND-ARA-IV-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000039,2023-09-08,LP → Feeder,INV-0010,Stanford Management Company,Stanford Management Company,FUND-ABF-X-DOM,HSBC-600700800,129894000.0,USD,CCN-00039,FUND-ABF-X-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000040,2024-04-12,LP → Feeder,INV-0010,Stanford Management Company,Stanford Management Company,FUND-ABF-X-DOM,BOFA-300400500,108245000.0,USD,CCN-00040,FUND-ABF-X-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000041,2021-09-03,LP → Feeder,INV-0012,Wellcome Trust,Wellcome Trust,FUND-ACO-IV-OFF,HSBC-600700800,117684000.0,USD,CCN-00041,FUND-ACO-IV-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000042,2022-03-04,LP → Feeder,INV-0012,Wellcome Trust,Wellcome Trust,FUND-ACO-IV-OFF,WF-500600700,98070000.0,USD,CCN-00042,FUND-ACO-IV-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000043,2021-09-16,LP → Feeder,INV-0011,MIT Investment Management,MIT Investment Management,FUND-AIP-II-DOM,HSBC-600700800,58308000.0,USD,CCN-00043,FUND-AIP-II-CC1,Late,AMC Capital — Fund Admin,Matched
WIRE-000044,2022-05-13,LP → Feeder,INV-0011,MIT Investment Management,MIT Investment Management,FUND-AIP-II-DOM,HSBC-600700800,48590000.0,USD,CCN-00044,FUND-AIP-II-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000045,2022-08-03,LP → Master Fund,INV-0013,Church Commissioners England,Church Commissioners England,FUND-ARA-IV-MAIN,HSBC-600700800,53424000.0,USD,CCN-00045,FUND-ARA-IV-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000046,2023-05-01,LP → Master Fund,INV-0013,Church Commissioners England,Church Commissioners England,FUND-ARA-IV-MAIN,CITI-200300400,44520000.0,USD,CCN-00046,FUND-ARA-IV-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000047,2022-08-02,LP → Feeder,INV-0013,Church Commissioners England,Church Commissioners England,FUND-ARA-IV-OFF,JPMC-100200300,50247000.0,USD,CCN-00047,FUND-ARA-IV-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000048,2023-05-04,LP → Feeder,INV-0013,Church Commissioners England,Church Commissioners England,FUND-ARA-IV-OFF,GS-400500600,41872500.0,USD,CCN-00048,FUND-ARA-IV-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000049,2023-08-22,LP → Feeder,INV-0033,UBS Financial Services — Agg Acc,UBS Financial Services,FUND-ACO-V-DOM,CITI-200300400,102408000.0,USD,CCN-00049,FUND-ACO-V-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000050,2024-02-07,LP → Feeder,INV-0033,UBS Financial Services — Agg Acc,UBS Financial Services,FUND-ACO-V-DOM,WF-500600700,85340000.0,USD,CCN-00050,FUND-ACO-V-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000051,2021-08-25,LP → Feeder,INV-0008,CPP Investments,CPP Investments,FUND-ABF-IX-OFF,WF-500600700,28017000.0,USD,CCN-00051,FUND-ABF-IX-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000052,2021-12-14,LP → Feeder,INV-0008,CPP Investments,CPP Investments,FUND-ABF-IX-OFF,HSBC-600700800,23347500.0,USD,CCN-00052,FUND-ABF-IX-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000053,2021-09-27,LP → Feeder,INV-0039,CAIS Group — Agg Acc,CAIS Group,FUND-AIP-II-OFF,GS-400500600,52836000.0,USD,CCN-00053,FUND-AIP-II-CC1,Late,AMC Capital — Fund Admin,Matched
WIRE-000054,2022-05-18,LP → Feeder,INV-0039,CAIS Group — Agg Acc,CAIS Group,FUND-AIP-II-OFF,WF-500600700,44030000.0,USD,CCN-00054,FUND-AIP-II-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000055,2019-09-04,LP → Feeder,INV-0033,UBS Financial Services — Agg Acc,UBS Financial Services,FUND-AGE-I-OFF,WF-500600700,58701000.0,USD,CCN-00055,FUND-AGE-I-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000056,2020-06-03,LP → Feeder,INV-0033,UBS Financial Services — Agg Acc,UBS Financial Services,FUND-AGE-I-OFF,HSBC-600700800,48917500.0,USD,CCN-00056,FUND-AGE-I-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000057,2021-08-31,LP → Feeder,INV-0003,Ford Foundation,Ford Foundation,FUND-ACO-IV-DOM,GS-400500600,1752000.0,USD,CCN-00057,FUND-ACO-IV-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000058,2022-03-08,LP → Feeder,INV-0003,Ford Foundation,Ford Foundation,FUND-ACO-IV-DOM,CITI-200300400,1460000.0,USD,CCN-00058,FUND-ACO-IV-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000059,2022-09-08,LP → Feeder,INV-0028,Koch Industries,Koch Industries,FUND-AGE-II-DOM,HSBC-600700800,142407000.0,USD,CCN-00059,FUND-AGE-II-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000060,2023-02-24,LP → Feeder,INV-0028,Koch Industries,Koch Industries,FUND-AGE-II-DOM,BOFA-300400500,118672500.0,USD,CCN-00060,FUND-AGE-II-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000061,2022-09-07,LP → Feeder,INV-0008,CPP Investments,CPP Investments,FUND-AGE-II-OFF,HSBC-600700800,76809000.0,USD,CCN-00061,FUND-AGE-II-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000062,2023-02-28,LP → Feeder,INV-0008,CPP Investments,CPP Investments,FUND-AGE-II-OFF,CITI-200300400,64007500.0,USD,CCN-00062,FUND-AGE-II-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000063,2023-09-11,LP → Feeder,INV-0026,Rockefeller Family Office,Rockefeller Family Office,FUND-ABF-X-OFF,CITI-200300400,83829000.0,USD,CCN-00063,FUND-ABF-X-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000064,2024-04-09,LP → Feeder,INV-0026,Rockefeller Family Office,Rockefeller Family Office,FUND-ABF-X-OFF,HSBC-600700800,69857500.0,USD,CCN-00064,FUND-ABF-X-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000065,2019-09-03,LP → Feeder,INV-0025,Adams Street Partners,Adams Street Partners,FUND-AGE-I-DOM,GS-400500600,92904000.0,USD,CCN-00065,FUND-AGE-I-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000066,2020-06-03,LP → Feeder,INV-0025,Adams Street Partners,Adams Street Partners,FUND-AGE-I-DOM,HSBC-600700800,77420000.0,USD,CCN-00066,FUND-AGE-I-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000067,2023-09-11,LP → Master Fund,INV-0001,CalPERS,CalPERS,FUND-ABF-X-MAIN,GS-400500600,44106000.0,USD,CCN-00067,FUND-ABF-X-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000068,2024-04-11,LP → Master Fund,INV-0001,CalPERS,CalPERS,FUND-ABF-X-MAIN,WF-500600700,36755000.0,USD,CCN-00068,FUND-ABF-X-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000069,2020-07-20,LP → Feeder,INV-0029,Soros Family Office,Soros Family Office,FUND-ARA-III-OFF,BOFA-300400500,101832000.0,USD,CCN-00069,FUND-ARA-III-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000071,2023-08-24,LP → Feeder,INV-0011,MIT Investment Management,MIT Investment Management,FUND-AIP-III-DOM,BOFA-300400500,43641000.0,USD,CCN-00071,FUND-AIP-III-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000072,2023-12-11,LP → Feeder,INV-0011,MIT Investment Management,MIT Investment Management,FUND-AIP-III-DOM,JPMC-100200300,36367500.0,USD,CCN-00072,FUND-AIP-III-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000073,2023-08-25,LP → Feeder,INV-0016,AP4 Sweden,AP4 Sweden,FUND-ACO-V-OFF,HSBC-600700800,34860000.0,USD,CCN-00073,FUND-ACO-V-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000074,2024-02-09,LP → Feeder,INV-0016,AP4 Sweden,AP4 Sweden,FUND-ACO-V-OFF,WF-500600700,29050000.0,USD,CCN-00074,FUND-ACO-V-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000075,2020-07-20,LP → Master Fund,INV-0003,Ford Foundation,Ford Foundation,FUND-ARA-III-MAIN,WF-500600700,147615000.0,USD,CCN-00075,FUND-ARA-III-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000076,2020-11-24,LP → Master Fund,INV-0003,Ford Foundation,Ford Foundation,FUND-ARA-III-MAIN,HSBC-600700800,123012500.0,USD,CCN-00076,FUND-ARA-III-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000077,2020-07-24,LP → Feeder,INV-0027,Pritzker Family Office,Pritzker Family Office,FUND-ARA-III-DOM,HSBC-600700800,108174000.0,USD,CCN-00077,FUND-ARA-III-CC1,Late,AMC Capital — Fund Admin,Matched
WIRE-000078,2020-11-20,LP → Feeder,INV-0027,Pritzker Family Office,Pritzker Family Office,FUND-ARA-III-DOM,HSBC-600700800,90145000.0,USD,CCN-00078,FUND-ARA-III-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000079,2023-08-22,LP → Feeder,INV-0016,AP4 Sweden,AP4 Sweden,FUND-AIP-III-OFF,WF-500600700,98925000.0,USD,CCN-00079,FUND-AIP-III-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000080,2023-12-13,LP → Feeder,INV-0016,AP4 Sweden,AP4 Sweden,FUND-AIP-III-OFF,HSBC-600700800,82437500.0,USD,CCN-00080,FUND-AIP-III-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000081,2021-08-20,LP → Feeder,INV-0015,Norges Bank Investment Management,Norges Bank Investment Management,FUND-ABF-IX-DOM,BOFA-300400500,120909000.0,USD,CCN-00081,FUND-ABF-IX-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000082,2021-12-10,LP → Feeder,INV-0015,Norges Bank Investment Management,Norges Bank Investment Management,FUND-ABF-IX-DOM,CITI-200300400,100757500.0,USD,CCN-00082,FUND-ABF-IX-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000083,2021-08-23,LP → Master Fund,INV-0036,Fidelity Institutional — Agg Acc,Fidelity Institutional,FUND-ABF-IX-MAIN,GS-400500600,137745000.0,USD,CCN-00083,FUND-ABF-IX-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000084,2021-12-15,LP → Master Fund,INV-0036,Fidelity Institutional — Agg Acc,Fidelity Institutional,FUND-ABF-IX-MAIN,WF-500600700,114787500.0,USD,CCN-00084,FUND-ABF-IX-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000085,2022-08-03,LP → Feeder,INV-0030,Bloomberg Family Office,Bloomberg Family Office,FUND-ARA-IV-DOM,HSBC-600700800,142581000.0,USD,CCN-00085,FUND-ARA-IV-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000086,2023-05-02,LP → Feeder,INV-0030,Bloomberg Family Office,Bloomberg Family Office,FUND-ARA-IV-DOM,WF-500600700,118817500.0,USD,CCN-00086,FUND-ARA-IV-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000087,2023-09-13,LP → Feeder,INV-0029,Soros Family Office,Soros Family Office,FUND-ABF-X-DOM,HSBC-600700800,111933000.0,USD,CCN-00087,FUND-ABF-X-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000088,2024-04-11,LP → Feeder,INV-0029,Soros Family Office,Soros Family Office,FUND-ABF-X-DOM,WF-500600700,93277500.0,USD,CCN-00088,FUND-ABF-X-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000089,2021-09-03,LP → Feeder,INV-0016,AP4 Sweden,AP4 Sweden,FUND-ACO-IV-OFF,BOFA-300400500,115224000.0,USD,CCN-00089,FUND-ACO-IV-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000090,2022-03-04,LP → Feeder,INV-0016,AP4 Sweden,AP4 Sweden,FUND-ACO-IV-OFF,CITI-200300400,96020000.0,USD,CCN-00090,FUND-ACO-IV-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000091,2021-09-08,LP → Feeder,INV-0016,AP4 Sweden,AP4 Sweden,FUND-AIP-II-DOM,BOFA-300400500,66822000.0,USD,CCN-00091,FUND-AIP-II-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000092,2022-05-16,LP → Feeder,INV-0016,AP4 Sweden,AP4 Sweden,FUND-AIP-II-DOM,JPMC-100200300,55685000.0,USD,CCN-00092,FUND-AIP-II-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000093,2022-08-01,LP → Master Fund,INV-0018,New York State Common Retirement,New York State Common Retirement,FUND-ARA-IV-MAIN,GS-400500600,48978000.0,USD,CCN-00093,FUND-ARA-IV-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000094,2023-05-01,LP → Master Fund,INV-0018,New York State Common Retirement,New York State Common Retirement,FUND-ARA-IV-MAIN,HSBC-600700800,40815000.0,USD,CCN-00094,FUND-ARA-IV-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000095,2022-08-01,LP → Feeder,INV-0010,Stanford Management Company,Stanford Management Company,FUND-ARA-IV-OFF,BOFA-300400500,58380000.0,USD,CCN-00095,FUND-ARA-IV-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000096,2023-05-02,LP → Feeder,INV-0010,Stanford Management Company,Stanford Management Company,FUND-ARA-IV-OFF,WF-500600700,48650000.0,USD,CCN-00096,FUND-ARA-IV-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000097,2023-08-23,LP → Feeder,INV-0027,Pritzker Family Office,Pritzker Family Office,FUND-ACO-V-DOM,CITI-200300400,50637000.0,USD,CCN-00097,FUND-ACO-V-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000098,2024-02-07,LP → Feeder,INV-0027,Pritzker Family Office,Pritzker Family Office,FUND-ACO-V-DOM,WF-500600700,42197500.0,USD,CCN-00098,FUND-ACO-V-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000099,2021-08-23,LP → Feeder,INV-0014,Future Fund Australia,Future Fund Australia,FUND-ABF-IX-OFF,WF-500600700,59337000.0,USD,CCN-00099,FUND-ABF-IX-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000100,2021-12-10,LP → Feeder,INV-0014,Future Fund Australia,Future Fund Australia,FUND-ABF-IX-OFF,JPMC-100200300,49447500.0,USD,CCN-00100,FUND-ABF-IX-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000101,2021-09-07,LP → Feeder,INV-0025,Adams Street Partners,Adams Street Partners,FUND-AIP-II-OFF,BOFA-300400500,2376000.0,USD,CCN-00101,FUND-AIP-II-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000102,2022-05-16,LP → Feeder,INV-0025,Adams Street Partners,Adams Street Partners,FUND-AIP-II-OFF,WF-500600700,1980000.0,USD,CCN-00102,FUND-AIP-II-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000103,2019-08-30,LP → Feeder,INV-0027,Pritzker Family Office,Pritzker Family Office,FUND-AGE-I-OFF,CITI-200300400,74001000.0,USD,CCN-00103,FUND-AGE-I-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000104,2020-06-04,LP → Feeder,INV-0027,Pritzker Family Office,Pritzker Family Office,FUND-AGE-I-OFF,HSBC-600700800,61667500.0,USD,CCN-00104,FUND-AGE-I-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000105,2021-09-03,LP → Feeder,INV-0002,Yale Endowment,Yale Endowment,FUND-ACO-IV-DOM,WF-500600700,51414000.0,USD,CCN-00105,FUND-ACO-IV-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000106,2022-03-04,LP → Feeder,INV-0002,Yale Endowment,Yale Endowment,FUND-ACO-IV-DOM,WF-500600700,42845000.0,USD,CCN-00106,FUND-ACO-IV-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000107,2022-09-08,LP → Feeder,INV-0011,MIT Investment Management,MIT Investment Management,FUND-AGE-II-DOM,HSBC-600700800,138051000.0,USD,CCN-00107,FUND-AGE-II-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000109,2022-09-08,LP → Feeder,INV-0038,iCapital Network — Agg Acc,iCapital Network,FUND-AGE-II-OFF,GS-400500600,13965000.0,USD,CCN-00109,FUND-AGE-II-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000110,2023-03-01,LP → Feeder,INV-0038,iCapital Network — Agg Acc,iCapital Network,FUND-AGE-II-OFF,HSBC-600700800,11637500.0,USD,CCN-00110,FUND-AGE-II-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000111,2023-09-11,LP → Feeder,INV-0012,Wellcome Trust,Wellcome Trust,FUND-ABF-X-OFF,JPMC-100200300,40134000.0,USD,CCN-00111,FUND-ABF-X-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000112,2024-04-11,LP → Feeder,INV-0012,Wellcome Trust,Wellcome Trust,FUND-ABF-X-OFF,JPMC-100200300,33445000.0,USD,CCN-00112,FUND-ABF-X-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000113,2019-09-04,LP → Feeder,INV-0021,Blackstone Alternative Asset Management,Blackstone Alternative Asset Management,FUND-AGE-I-DOM,WF-500600700,114543000.0,USD,CCN-00113,FUND-AGE-I-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000114,2020-06-01,LP → Feeder,INV-0021,Blackstone Alternative Asset Management,Blackstone Alternative Asset Management,FUND-AGE-I-DOM,WF-500600700,95452500.0,USD,CCN-00114,FUND-AGE-I-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000115,2023-09-11,LP → Master Fund,INV-0017,CDPQ,CDPQ,FUND-ABF-X-MAIN,JPMC-100200300,71340000.0,USD,CCN-00115,FUND-ABF-X-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000116,2024-04-10,LP → Master Fund,INV-0017,CDPQ,CDPQ,FUND-ABF-X-MAIN,GS-400500600,59450000.0,USD,CCN-00116,FUND-ABF-X-CC2,Paid,AMC Capital — Fund Admin,Matched
WIRE-000117,2020-07-16,LP → Feeder,INV-0015,Norges Bank Investment Management,Norges Bank Investment Management,FUND-ARA-III-OFF,GS-400500600,117513000.0,USD,CCN-00117,FUND-ARA-III-CC1,Paid,AMC Capital — Fund Admin,Matched
WIRE-000118,2020-11-24,LP → Feeder,INV-0015,Norges Bank Investment Management,Norges Bank Investment Management,FUND-ARA-III-OFF,BOFA-300400500,97927500.0,USD,CCN-00118,FUND-ARA-III-CC2,Paid,AMC Capital — Fund Admin,Matched
