offering_id,offering_name,vehicle_id,fund_id,share_class,currency,minimum_commitment_usdm,management_fee_pct,carried_interest_pct,preferred_return_pct,subscription_document_type,status
FUND-ACO-V-OFF-B,AMC Credit Opps V — Offshore Feeder — Class B,FUND-ACO-V-OFF,FUND-ACO-V,Class B,USD,10.0,1.27,20,8.0,LP Interest,Open
FUND-ARA-III-MAIN-A,AMC Real Assets III — Master Fund — Class A,FUND-ARA-III-MAIN,FUND-ARA-III,Class A,USD,25.0,1.5,20,8.0,LP Interest,Open
FUND-ARA-III-MAIN-B,AMC Real Assets III — Master Fund — Class B,FUND-ARA-III-MAIN,FUND-ARA-III,Class B,USD,25.0,1.27,20,8.0,LP Interest,Open
FUND-ARA-III-DOM-A,AMC Real Assets III — Domestic Feeder — Class A,FUND-ARA-III-DOM,FUND-ARA-III,Class A,USD,5.0,1.5,20,8.0,LP Interest,Open
FUND-ARA-III-DOM-B,AMC Real Assets III — Domestic Feeder — Class B,FUND-ARA-III-DOM,FUND-ARA-III,Class B,USD,5.0,1.27,20,8.0,LP Interest,Open
FUND-ARA-III-OFF-A,AMC Real Assets III — Offshore Feeder — Class A,FUND-ARA-III-OFF,FUND-ARA-III,Class A,USD,10.0,1.5,20,8.0,LP Interest,Open
FUND-ARA-III-OFF-B,AMC Real Assets III — Offshore Feeder — Class B,FUND-ARA-III-OFF,FUND-ARA-III,Class B,USD,10.0,1.27,20,8.0,LP Interest,Open
FUND-ARA-IV-MAIN-A,AMC Real Assets IV — Master Fund — Class A,FUND-ARA-IV-MAIN,FUND-ARA-IV,Class A,USD,25.0,1.5,20,8.0,LP Interest,Open
FUND-ARA-IV-MAIN-B,AMC Real Assets IV — Master Fund — Class B,FUND-ARA-IV-MAIN,FUND-ARA-IV,Class B,USD,25.0,1.27,20,8.0,LP Interest,Open
FUND-ARA-IV-DOM-A,AMC Real Assets IV — Domestic Feeder — Class A,FUND-ARA-IV-DOM,FUND-ARA-IV,Class A,USD,5.0,1.5,20,8.0,LP Interest,Open
FUND-ARA-IV-DOM-B,AMC Real Assets IV — Domestic Feeder — Class B,FUND-ARA-IV-DOM,FUND-ARA-IV,Class B,USD,5.0,1.27,20,8.0,LP Interest,Open
FUND-ARA-IV-OFF-A,AMC Real Assets IV — Offshore Feeder — Class A,FUND-ARA-IV-OFF,FUND-ARA-IV,Class A,USD,10.0,1.5,20,8.0,LP Interest,Open
FUND-ARA-IV-OFF-B,AMC Real Assets IV — Offshore Feeder — Class B,FUND-ARA-IV-OFF,FUND-ARA-IV,Class B,USD,10.0,1.27,20,8.0,LP Interest,Open
FUND-AIP-II-MAIN-A,AMC Infra Partners II — Master Fund — Class A,FUND-AIP-II-MAIN,FUND-AIP-II,Class A,USD,25.0,1.5,20,8.0,LP Interest,Open
FUND-AIP-II-MAIN-B,AMC Infra Partners II — Master Fund — Class B,FUND-AIP-II-MAIN,FUND-AIP-II,Class B,USD,25.0,1.27,20,8.0,LP Interest,Open
FUND-AIP-II-DOM-A,AMC Infra Partners II — Domestic Feeder — Class A,FUND-AIP-II-DOM,FUND-AIP-II,Class A,USD,5.0,1.5,20,8.0,LP Interest,Open
FUND-AIP-II-DOM-B,AMC Infra Partners II — Domestic Feeder — Class B,FUND-AIP-II-DOM,FUND-AIP-II,Class B,USD,5.0,1.27,20,8.0,LP Interest,Open
FUND-AIP-II-OFF-A,AMC Infra Partners II — Offshore Feeder — Class A,FUND-AIP-II-OFF,FUND-AIP-II,Class A,USD,10.0,1.5,20,8.0,LP Interest,Open
FUND-AIP-II-OFF-B,AMC Infra Partners II — Offshore Feeder — Class B,FUND-AIP-II-OFF,FUND-AIP-II,Class B,USD,10.0,1.27,20,8.0,LP Interest,Open
FUND-AIP-III-MAIN-A,AMC Infra Partners III — Master Fund — Class A,FUND-AIP-III-MAIN,FUND-AIP-III,Class A,USD,25.0,1.5,20,8.0,LP Interest,Open
FUND-AIP-III-MAIN-B,AMC Infra Partners III — Master Fund — Class B,FUND-AIP-III-MAIN,FUND-AIP-III,Class B,USD,25.0,1.27,20,8.0,LP Interest,Open
FUND-AIP-III-DOM-A,AMC Infra Partners III — Domestic Feeder — Class A,FUND-AIP-III-DOM,FUND-AIP-III,Class A,USD,5.0,1.5,20,8.0,LP Interest,Open
FUND-AIP-III-DOM-B,AMC Infra Partners III — Domestic Feeder — Class B,FUND-AIP-III-DOM,FUND-AIP-III,Class B,USD,5.0,1.27,20,8.0,LP Interest,Open
FUND-AIP-III-OFF-A,AMC Infra Partners III — Offshore Feeder — Class A,FUND-AIP-III-OFF,FUND-AIP-III,Class A,USD,10.0,1.5,20,8.0,LP Interest,Open
FUND-AIP-III-OFF-B,AMC Infra Partners III — Offshore Feeder — Class B,FUND-AIP-III-OFF,FUND-AIP-III,Class B,USD,10.0,1.27,20,8.0,LP Interest,Open
FUND-AGE-I-MAIN-A,AMC Growth Equity I — Master Fund — Class A,FUND-AGE-I-MAIN,FUND-AGE-I,Class A,USD,25.0,1.5,20,8.0,LP Interest,Open
FUND-AGE-I-MAIN-B,AMC Growth Equity I — Master Fund — Class B,FUND-AGE-I-MAIN,FUND-AGE-I,Class B,USD,25.0,1.27,20,8.0,LP Interest,Open
FUND-AGE-I-DOM-A,AMC Growth Equity I — Domestic Feeder — Class A,FUND-AGE-I-DOM,FUND-AGE-I,Class A,USD,5.0,1.5,20,8.0,LP Interest,Open
FUND-AGE-I-DOM-B,AMC Growth Equity I — Domestic Feeder — Class B,FUND-AGE-I-DOM,FUND-AGE-I,Class B,USD,5.0,1.27,20,8.0,LP Interest,Open
FUND-AGE-I-OFF-A,AMC Growth Equity I — Offshore Feeder — Class A,FUND-AGE-I-OFF,FUND-AGE-I,Class A,USD,10.0,1.5,20,8.0,LP Interest,Open
FUND-AGE-I-OFF-B,AMC Growth Equity I — Offshore Feeder — Class B,FUND-AGE-I-OFF,FUND-AGE-I,Class B,USD,10.0,1.27,20,8.0,LP Interest,Open
FUND-AGE-II-MAIN-A,AMC Growth Equity II — Master Fund — Class A,FUND-AGE-II-MAIN,FUND-AGE-II,Class A,USD,25.0,1.5,20,8.0,LP Interest,Open
FUND-AGE-II-MAIN-B,AMC Growth Equity II — Master Fund — Class B,FUND-AGE-II-MAIN,FUND-AGE-II,Class B,USD,25.0,1.27,20,8.0,LP Interest,Open
FUND-AGE-II-DOM-A,AMC Growth Equity II — Domestic Feeder — Class A,FUND-AGE-II-DOM,FUND-AGE-II,Class A,USD,5.0,1.5,20,8.0,LP Interest,Open
FUND-AGE-II-DOM-B,AMC Growth Equity II — Domestic Feeder — Class B,FUND-AGE-II-DOM,FUND-AGE-II,Class B,USD,5.0,1.27,20,8.0,LP Interest,Open
FUND-AGE-II-OFF-A,AMC Growth Equity II — Offshore Feeder — Class A,FUND-AGE-II-OFF,FUND-AGE-II,Class A,USD,10.0,1.5,20,8.0,LP Interest,Open
FUND-AGE-II-OFF-B,AMC Growth Equity II — Offshore Feeder — Class B,FUND-AGE-II-OFF,FUND-AGE-II,Class B,USD,10.0,1.27,20,8.0,LP Interest,Open
