office_id,broker_id,firm_id,office_name,office_type,address_street,address_city,address_state,address_zip,phone,manager_name,active
13133,VSR,0000VSR001,701 S Boston Ave — Richmond Branch,Branch,8798 Oak Ave,Richmond,VA,94012,548-314-5808,Susan Garcia,Y
13280,SCHW,0000SCH001,211 Main St — Detroit Branch,Satellite,8202 Market St,Detroit,MI,76542,308-840-5889,Charles Lewis,Y
13515,CETA,0000CET001,200 N Pacific Coast Hwy — Denver Regional HQ,Satellite,2647 Financial Blvd,Denver,CO,79514,200-813-6310,Jessica Smith,Y
14073,LPL,0000LPL001,4707 Executive Dr — San Diego Satellite,Satellite,3924 Main St,San Diego,CA,41571,780-280-2403,Jessica Williams,Y
14138,CAIS,0000CAI001,527 Madison Ave — Raleigh Regional HQ,Regional HQ,7788 Financial Blvd,Raleigh,NC,31643,471-740-7932,Robert Young,Y
14288,CETA,0000CET001,200 N Pacific Coast Hwy — Denver Satellite,Complex,6119 Commerce Dr,Denver,CO,77839,662-323-5061,Jennifer Williams,Y
14541,CNTS,0000CNT001,29 Sawyer Rd — Orlando Branch,Private Wealth Center,9076 Broadway,Orlando,FL,87128,425-207-2163,Sarah Davis,Y
14561,CETA,0000CET001,200 N Pacific Coast Hwy — Phoenix Branch,Satellite,1161 Financial Blvd,Phoenix,AZ,41195,485-885-8953,Robert Young,Y
14635,LPL,0000LPL001,4707 Executive Dr — Dallas Private Wealth Center,Private Wealth Center,7745 Broadway,Dallas,TX,71993,616-394-2545,Patricia White,Y
14888,LPL,0000LPL001,4707 Executive Dr — St Louis Complex,Complex,7652 Center St,St Louis,MO,17100,889-869-2612,Sarah Jackson,Y
14910,CNTS,0000CNT001,29 Sawyer Rd — Orlando Branch,Regional HQ,3140 Broadway,Orlando,FL,80292,659-343-7912,Lisa Wilson,Y
14975,UBS,0000UBS001,1285 Avenue of the Americas — Detroit Regional HQ,Branch,7261 Financial Blvd,Detroit,MI,22833,251-867-9856,James Williams,Y
15014,LPL,0000LPL001,4707 Executive Dr — Atlanta Regional HQ,Complex,7957 Commerce Dr,Atlanta,GA,38016,610-260-3697,Joseph Smith,Y
15130,MER,0000MER001,One Bryant Park — Pittsburgh Satellite,Complex,4674 Maple Dr,Pittsburgh,PA,82845,877-935-8973,David Miller,Y
15720,VSR,0000VSR001,701 S Boston Ave — Portland Regional HQ,Branch,9490 Center St,Portland,OR,81066,262-965-6138,Sarah Johnson,Y
15772,CETA,0000CET001,200 N Pacific Coast Hwy — Jacksonville Complex,Private Wealth Center,8702 Market St,Jacksonville,FL,17455,720-282-4044,Michael Lewis,Y
16019,CAIS,0000CAI001,527 Madison Ave — Phoenix Regional HQ,Complex,1965 Executive Pkwy,Phoenix,AZ,42271,792-808-1651,Nancy Williams,Y
16021,MS,0000MOR001,1585 Broadway — Cleveland Private Wealth Center,Private Wealth Center,8566 Elm St,Cleveland,OH,44179,409-885-6147,Jennifer Wilson,Y
16322,NPC,0000NPC001,3200 E Camelback Rd — Cincinnati Regional HQ,Satellite,7492 Elm St,Cincinnati,OH,19508,209-669-2638,Michael Young,Y
16637,MER,0000MER001,One Bryant Park — Nashville Private Wealth Center,Satellite,2171 Elm St,Nashville,TN,19016,450-578-5669,Lisa Harris,Y
16731,SII,0000SII001,501 N Broadway — Raleigh Satellite,Private Wealth Center,8667 Main St,Raleigh,NC,97538,767-506-2697,David Wilson,Y
16839,MS,0000MOR001,1585 Broadway — San Diego Branch,Private Wealth Center,2547 Oak Ave,San Diego,CA,46930,819-415-6617,Robert Wilson,Y
17019,LPL,0000LPL001,4707 Executive Dr — Sacramento Complex,Satellite,833 Park Ave,Sacramento,CA,93136,633-483-1722,James Anderson,Y
17035,RJ,0000RAJ001,RJ — Dallas Satellite,Regional HQ,7240 Financial Blvd,Dallas,TX,66057,774-209-2832,Michael Jones,Y
17398,VSR,0000VSR001,701 S Boston Ave — Raleigh Branch,Satellite,9544 Financial Blvd,Raleigh,NC,29410,640-330-1685,Mary Thomas,Y
17441,RJ,0000RAJ001,RJ — Chicago Satellite,Regional HQ,4089 Corporate Dr,Chicago,IL,23473,562-998-7658,Nancy Jones,Y
17553,CNTS,0000CNT001,29 Sawyer Rd — Atlanta Regional HQ,Regional HQ,6756 Main St,Atlanta,GA,33509,954-540-7745,Jennifer Wilson,Y
17589,FIDO,0000FID001,900 Salem St — Austin Branch,Complex,635 Commerce Dr,Austin,TX,39154,404-671-6728,Mary Davis,Y
17679,MS,0000MOR001,1585 Broadway — Charlotte Branch,Regional HQ,6529 Elm St,Charlotte,NC,46517,271-991-5573,Barbara Thompson,Y
17816,UBS,0000UBS001,1285 Avenue of the Americas — Cincinnati Private Wealth Center,Satellite,453 Park Ave,Cincinnati,OH,44237,382-794-5349,Sarah Brown,Y
18232,UBS,0000UBS001,1285 Avenue of the Americas — Memphis Complex,Satellite,5140 Maple Dr,Memphis,TN,89457,723-318-7311,Christopher Miller,Y
18270,ICAP,0000ICA001,60 E 42nd St — Miami Branch,Complex,28 Financial Blvd,Miami,FL,80575,903-936-4228,Barbara White,Y
18300,MER,0000MER001,One Bryant Park — Phoenix Satellite,Private Wealth Center,5144 Corporate Dr,Phoenix,AZ,26334,937-507-9308,Mary White,Y
18908,SII,0000SII001,501 N Broadway — Tampa Complex,Satellite,9084 Market St,Tampa,FL,35144,630-880-7211,Lisa Lewis,Y
19038,OSAIC,0000OSA001,2300 Windy Ridge Pkwy — Hartford Satellite,Complex,8978 Main St,Hartford,CT,49829,493-415-8043,Christopher Lewis,Y
19046,MER,0000MER001,One Bryant Park — Tampa Complex,Complex,7245 Corporate Dr,Tampa,FL,38010,723-684-3780,Michael Taylor,Y
19539,CAIS,0000CAI001,527 Madison Ave — Sacramento Private Wealth Center,Satellite,1531 Broadway,Sacramento,CA,98184,517-430-4262,David Smith,Y
19807,LPL,0000LPL001,4707 Executive Dr — Chicago Regional HQ,Complex,1194 Commerce Dr,Chicago,IL,64321,844-789-4185,Joseph Martin,Y
20279,CNTS,0000CNT001,29 Sawyer Rd — Cincinnati Regional HQ,Regional HQ,91 Park Ave,Cincinnati,OH,65724,424-380-9486,Thomas Johnson,Y
20308,SII,0000SII001,501 N Broadway — Richmond Regional HQ,Branch,7479 Market St,Richmond,VA,70901,883-743-6198,Thomas Lewis,Y
20357,UBS,0000UBS001,1285 Avenue of the Americas — Sacramento Complex,Private Wealth Center,7306 Market St,Sacramento,CA,72216,660-465-5050,William Thompson,Y
20458,UBS,0000UBS001,1285 Avenue of the Americas — San Jose Regional HQ,Satellite,7207 Park Ave,San Jose,CA,47450,440-478-6502,Richard Young,Y
20696,SCHW,0000SCH001,211 Main St — Philadelphia Regional HQ,Regional HQ,3789 Maple Dr,Philadelphia,PA,30028,923-419-2052,Susan White,Y
21003,NPC,0000NPC001,3200 E Camelback Rd — Orlando Private Wealth Center,Complex,6813 Main St,Orlando,FL,37110,630-598-1320,Christopher Jackson,Y
21128,CNTS,0000CNT001,29 Sawyer Rd — Indianapolis Branch,Satellite,4893 Maple Dr,Indianapolis,IN,64921,751-965-9947,Nancy Davis,Y
21362,VSR,0000VSR001,701 S Boston Ave — San Jose Regional HQ,Satellite,7141 Commerce Dr,San Jose,CA,13804,598-544-7624,Lisa Harris,Y
21847,CAIS,0000CAI001,527 Madison Ave — Dallas Private Wealth Center,Private Wealth Center,442 Maple Dr,Dallas,TX,87580,777-878-1444,Michael White,Y
21919,MS,0000MOR001,1585 Broadway — Dallas Complex,Regional HQ,824 Oak Ave,Dallas,TX,59689,535-416-8449,Richard Anderson,Y
22015,SCHW,0000SCH001,211 Main St — Pittsburgh Satellite,Complex,4134 Park Ave,Pittsburgh,PA,71644,219-967-9837,Sarah Thomas,Y
22097,CETA,0000CET001,200 N Pacific Coast Hwy — Charlotte Branch,Branch,509 Broadway,Charlotte,NC,36130,220-836-3496,Jennifer Jones,Y
22224,ICAP,0000ICA001,60 E 42nd St — Indianapolis Branch,Private Wealth Center,3572 Commerce Dr,Indianapolis,IN,43586,985-577-3749,Nancy Lewis,Y
22234,SCHW,0000SCH001,211 Main St — San Diego Regional HQ,Satellite,1772 Executive Pkwy,San Diego,CA,13365,519-789-7149,Joseph Miller,Y
22245,UBS,0000UBS001,1285 Avenue of the Americas — Phoenix Private Wealth Center,Regional HQ,1670 Center St,Phoenix,AZ,49529,900-814-2983,Christopher Johnson,Y
22249,CAIS,0000CAI001,527 Madison Ave — St Louis Private Wealth Center,Complex,6072 Park Ave,St Louis,MO,76317,863-549-1207,Susan Martin,Y
22280,VSR,0000VSR001,701 S Boston Ave — San Antonio Complex,Satellite,7533 Center St,San Antonio,TX,30052,645-380-9548,William Lewis,Y
22739,MS,0000MOR001,1585 Broadway — Raleigh Complex,Complex,7137 Center St,Raleigh,NC,87656,474-530-5022,Michael Wilson,Y
22999,FIDO,0000FID001,900 Salem St — Columbus Regional HQ,Complex,9337 Executive Pkwy,Columbus,OH,97580,588-544-1470,Jessica Anderson,Y
23069,CAIS,0000CAI001,527 Madison Ave — Seattle Complex,Regional HQ,5814 Oak Ave,Seattle,WA,54608,486-810-5526,Karen Smith,Y
23399,MER,0000MER001,One Bryant Park — Salt Lake City Regional HQ,Branch,3955 Center St,Salt Lake City,UT,63271,700-768-4937,Jessica Martin,Y
23526,MER,0000MER001,One Bryant Park — Columbus Branch,Branch,4821 Broadway,Columbus,OH,63005,908-449-6016,Christopher Thomas,Y
23538,MS,0000MOR001,1585 Broadway — Indianapolis Private Wealth Center,Private Wealth Center,5633 Maple Dr,Indianapolis,IN,82140,538-560-8434,William Taylor,Y
23726,OSAIC,0000OSA001,2300 Windy Ridge Pkwy — Miami Regional HQ,Branch,3156 Elm St,Miami,FL,25670,960-748-4033,Robert Miller,Y
23947,LPL,0000LPL001,4707 Executive Dr — Indianapolis Satellite,Private Wealth Center,8596 Executive Pkwy,Indianapolis,IN,47093,302-398-5853,Jennifer Thomas,Y
23979,RJ,0000RAJ001,RJ — Seattle Satellite,Branch,8752 Market St,Seattle,WA,45954,246-255-5786,David Martin,Y
24021,VSR,0000VSR001,701 S Boston Ave — San Antonio Branch,Private Wealth Center,4659 Commerce Dr,San Antonio,TX,72746,651-548-4020,Sarah Wilson,Y
24184,MER,0000MER001,One Bryant Park — Indianapolis Branch,Branch,6566 Commerce Dr,Indianapolis,IN,19710,790-844-1878,David Jones,Y
24322,LPL,0000LPL001,4707 Executive Dr — Hartford Satellite,Branch,4067 Park Ave,Hartford,CT,83147,982-626-4697,Charles Jackson,Y
24408,LPL,0000LPL001,4707 Executive Dr — Columbus Complex,Satellite,9643 Maple Dr,Columbus,OH,50026,782-835-1986,Nancy Brown,Y
25084,VSR,0000VSR001,701 S Boston Ave — Nashville Regional HQ,Satellite,1331 Market St,Nashville,TN,41439,377-765-2229,Lisa Smith,Y
25157,SCHW,0000SCH001,211 Main St — Cleveland Complex,Private Wealth Center,7700 Oak Ave,Cleveland,OH,14278,437-495-5632,Thomas Williams,Y
25213,FIDO,0000FID001,900 Salem St — Charlotte Satellite,Private Wealth Center,3242 Maple Dr,Charlotte,NC,25043,757-430-3441,William Jones,Y
25473,OSAIC,0000OSA001,2300 Windy Ridge Pkwy — Phoenix Branch,Regional HQ,5040 Executive Pkwy,Phoenix,AZ,84607,495-649-3037,Thomas Taylor,Y
25670,RJ,0000RAJ001,RJ — Cincinnati Satellite,Private Wealth Center,8848 Commerce Dr,Cincinnati,OH,67377,282-812-1653,Susan Anderson,Y
25915,UBS,0000UBS001,1285 Avenue of the Americas — Memphis Satellite,Branch,1497 Broadway,Memphis,TN,98381,789-801-1339,William Robinson,Y
25919,CAIS,0000CAI001,527 Madison Ave — Chicago Regional HQ,Complex,8503 Corporate Dr,Chicago,IL,67963,484-385-8141,Jessica Williams,Y
26426,VSR,0000VSR001,701 S Boston Ave — Indianapolis Satellite,Complex,5461 Elm St,Indianapolis,IN,97835,307-364-6403,Susan Martin,Y
26505,CETA,0000CET001,200 N Pacific Coast Hwy — Portland Complex,Private Wealth Center,602 Commerce Dr,Portland,OR,21542,522-458-6296,Patricia Jackson,Y
26539,OSAIC,0000OSA001,2300 Windy Ridge Pkwy — Sacramento Branch,Private Wealth Center,7570 Maple Dr,Sacramento,CA,17104,392-730-6927,Nancy Martin,Y
26864,SCHW,0000SCH001,211 Main St — Columbus Branch,Regional HQ,4376 Financial Blvd,Columbus,OH,27172,494-648-8941,Patricia Smith,Y
26901,CETA,0000CET001,200 N Pacific Coast Hwy — Memphis Regional HQ,Regional HQ,5092 Financial Blvd,Memphis,TN,11792,765-617-2527,Jennifer Brown,Y
26932,FIDO,0000FID001,900 Salem St — Detroit Branch,Regional HQ,8166 Center St,Detroit,MI,48254,721-922-5479,Susan Martin,Y
27197,OSAIC,0000OSA001,2300 Windy Ridge Pkwy — Indianapolis Regional HQ,Complex,9032 Market St,Indianapolis,IN,60277,395-813-9327,David Williams,Y
27224,CETA,0000CET001,200 N Pacific Coast Hwy — Minneapolis Complex,Satellite,8319 Oak Ave,Minneapolis,MN,10336,489-943-5891,Christopher Robinson,Y
27361,NPC,0000NPC001,3200 E Camelback Rd — San Jose Regional HQ,Complex,8825 Commerce Dr,San Jose,CA,55236,540-765-9903,Joseph Harris,Y
27392,OSAIC,0000OSA001,2300 Windy Ridge Pkwy — Tampa Regional HQ,Regional HQ,9369 Maple Dr,Tampa,FL,40613,994-620-1715,Richard Martin,Y
27393,MER,0000MER001,One Bryant Park — Pittsburgh Complex,Regional HQ,8116 Main St,Pittsburgh,PA,26547,714-804-6439,Patricia Harris,Y
27987,UBS,0000UBS001,1285 Avenue of the Americas — San Antonio Private Wealth Center,Complex,252 Center St,San Antonio,TX,28894,619-870-3529,Michael Martin,Y
27992,ICAP,0000ICA001,60 E 42nd St — Miami Satellite,Private Wealth Center,6513 Corporate Dr,Miami,FL,20527,536-890-9742,Joseph Anderson,Y
28035,LPL,0000LPL001,4707 Executive Dr — San Jose Private Wealth Center,Branch,1122 Broadway,San Jose,CA,92727,900-494-4727,Michael White,Y
28131,VSR,0000VSR001,701 S Boston Ave — San Antonio Branch,Complex,2726 Center St,San Antonio,TX,49251,229-247-6314,Sarah Taylor,Y
28289,CETA,0000CET001,200 N Pacific Coast Hwy — St Louis Satellite,Complex,2386 Broadway,St Louis,MO,79621,621-779-3950,Lisa Garcia,Y
28327,OSAIC,0000OSA001,2300 Windy Ridge Pkwy — Philadelphia Private Wealth Center,Complex,3946 Commerce Dr,Philadelphia,PA,86435,346-437-8555,William Harris,Y
28434,NPC,0000NPC001,3200 E Camelback Rd — Miami Branch,Complex,4713 Corporate Dr,Miami,FL,81643,361-275-8237,Barbara Robinson,Y
28595,MS,0000MOR001,1585 Broadway — Las Vegas Complex,Satellite,7485 Oak Ave,Las Vegas,NV,36111,593-694-2747,Jennifer Jackson,Y
28772,MS,0000MOR001,1585 Broadway — Hartford Satellite,Private Wealth Center,4848 Center St,Hartford,CT,48696,222-874-7484,William Smith,Y
28818,NPC,0000NPC001,3200 E Camelback Rd — Hartford Branch,Private Wealth Center,8139 Oak Ave,Hartford,CT,40162,821-560-4588,Robert Lewis,Y
29476,SII,0000SII001,501 N Broadway — Miami Regional HQ,Branch,646 Oak Ave,Miami,FL,67779,234-793-6977,David Williams,Y
29484,CETA,0000CET001,200 N Pacific Coast Hwy — Portland Satellite,Complex,2878 Broadway,Portland,OR,27322,752-574-9697,Charles Wilson,Y
29548,LPL,0000LPL001,4707 Executive Dr — Austin Satellite,Complex,4836 Center St,Austin,TX,54396,317-679-2233,David Davis,Y
29773,CNTS,0000CNT001,29 Sawyer Rd — Cincinnati Private Wealth Center,Satellite,1480 Maple Dr,Cincinnati,OH,11824,470-749-3024,Thomas Thomas,Y
30028,FIDO,0000FID001,900 Salem St — Miami Private Wealth Center,Complex,6087 Park Ave,Miami,FL,98452,439-682-1410,Nancy Young,Y
30131,UBS,0000UBS001,1285 Avenue of the Americas — Tampa Private Wealth Center,Regional HQ,1036 Corporate Dr,Tampa,FL,70852,917-509-7689,Patricia Jones,Y
30289,SCHW,0000SCH001,211 Main St — Chicago Branch,Satellite,8072 Park Ave,Chicago,IL,22739,440-750-3222,Joseph Harris,Y
30369,UBS,0000UBS001,1285 Avenue of the Americas — Baltimore Private Wealth Center,Complex,9623 Center St,Baltimore,MD,30253,624-870-2622,Jessica Lewis,Y
30517,CETA,0000CET001,200 N Pacific Coast Hwy — Cleveland Satellite,Branch,6071 Broadway,Cleveland,OH,68115,655-441-6942,Patricia Thomas,Y
30631,VSR,0000VSR001,701 S Boston Ave — Raleigh Satellite,Branch,6524 Oak Ave,Raleigh,NC,34878,325-665-2501,Robert Lewis,Y
31079,ICAP,0000ICA001,60 E 42nd St — Los Angeles Branch,Satellite,3991 Market St,Los Angeles,CA,84000,410-270-4394,Christopher Miller,Y
31178,LPL,0000LPL001,4707 Executive Dr — Charlotte Satellite,Regional HQ,9765 Main St,Charlotte,NC,46342,348-333-9850,William Garcia,Y
31299,MS,0000MOR001,1585 Broadway — San Diego Branch,Regional HQ,244 Elm St,San Diego,CA,41186,802-531-1258,Lisa Wilson,Y
31319,FIDO,0000FID001,900 Salem St — Houston Regional HQ,Complex,8620 Park Ave,Houston,TX,18330,687-659-6931,Charles Robinson,Y
31465,UBS,0000UBS001,1285 Avenue of the Americas — San Antonio Complex,Private Wealth Center,3630 Executive Pkwy,San Antonio,TX,15683,944-874-9543,Mary Harris,Y
31579,SCHW,0000SCH001,211 Main St — Los Angeles Branch,Complex,6581 Maple Dr,Los Angeles,CA,99928,310-702-8267,Michael Williams,Y
31581,SCHW,0000SCH001,211 Main St — Tampa Private Wealth Center,Regional HQ,1077 Market St,Tampa,FL,46046,839-848-9984,Richard Jackson,Y
31632,SCHW,0000SCH001,211 Main St — Memphis Private Wealth Center,Satellite,7434 Financial Blvd,Memphis,TN,89354,640-301-2874,Karen Miller,Y
31755,NPC,0000NPC001,3200 E Camelback Rd — Kansas City Complex,Regional HQ,6780 Elm St,Kansas City,MO,69441,608-625-2557,Richard White,Y
32185,CETA,0000CET001,200 N Pacific Coast Hwy — Tampa Satellite,Satellite,2501 Corporate Dr,Tampa,FL,72163,268-293-2398,Michael White,Y
32280,CAIS,0000CAI001,527 Madison Ave — San Antonio Satellite,Regional HQ,9116 Main St,San Antonio,TX,86869,775-775-6400,Patricia White,Y
32463,SCHW,0000SCH001,211 Main St — St Louis Complex,Branch,4713 Executive Pkwy,St Louis,MO,50953,560-306-9313,Robert Jones,Y
32650,SCHW,0000SCH001,211 Main St — Indianapolis Regional HQ,Branch,5737 Financial Blvd,Indianapolis,IN,58176,317-980-5564,Christopher Davis,Y
32962,MER,0000MER001,One Bryant Park — Kansas City Private Wealth Center,Private Wealth Center,9122 Main St,Kansas City,MO,89822,873-910-5381,James Garcia,Y
33053,CETA,0000CET001,200 N Pacific Coast Hwy — Minneapolis Satellite,Satellite,5752 Main St,Minneapolis,MN,33777,346-779-7566,Michael Jones,Y
33218,RJ,0000RAJ001,RJ — Los Angeles Branch,Private Wealth Center,3525 Maple Dr,Los Angeles,CA,65028,664-549-3578,Barbara Taylor,Y
33276,CETA,0000CET001,200 N Pacific Coast Hwy — Tampa Private Wealth Center,Private Wealth Center,1392 Main St,Tampa,FL,30392,361-972-1815,Michael Wilson,Y
33834,OSAIC,0000OSA001,2300 Windy Ridge Pkwy — Columbus Complex,Complex,9947 Commerce Dr,Columbus,OH,64287,479-420-9394,Patricia Thomas,Y
33969,FIDO,0000FID001,900 Salem St — Kansas City Branch,Satellite,9718 Commerce Dr,Kansas City,MO,79066,883-515-1744,Jennifer Jackson,Y
34164,SII,0000SII001,501 N Broadway — Memphis Branch,Branch,3350 Oak Ave,Memphis,TN,37686,985-340-5186,Mary Anderson,Y
34232,ICAP,0000ICA001,60 E 42nd St — San Diego Branch,Complex,7056 Market St,San Diego,CA,26932,589-745-4770,Charles Young,Y
34356,CNTS,0000CNT001,29 Sawyer Rd — St Louis Branch,Complex,694 Maple Dr,St Louis,MO,12456,670-279-6129,Christopher White,Y
34385,FIDO,0000FID001,900 Salem St — Hartford Complex,Complex,4744 Park Ave,Hartford,CT,63088,221-532-3815,Nancy Harris,Y
34430,CAIS,0000CAI001,527 Madison Ave — Baltimore Branch,Complex,1735 Broadway,Baltimore,MD,67104,803-610-9584,Michael Jackson,Y
34979,CAIS,0000CAI001,527 Madison Ave — Las Vegas Satellite,Regional HQ,5457 Market St,Las Vegas,NV,20011,722-848-2868,Charles Thompson,Y
35144,CETA,0000CET001,200 N Pacific Coast Hwy — Denver Satellite,Satellite,2420 Broadway,Denver,CO,23474,349-462-4232,Lisa Lewis,Y
36090,FIDO,0000FID001,900 Salem St — Boston Branch,Regional HQ,8096 Commerce Dr,Boston,MA,83889,978-793-8354,Christopher Lewis,Y
36171,LPL,0000LPL001,4707 Executive Dr — Tampa Satellite,Regional HQ,7206 Park Ave,Tampa,FL,71462,652-846-5961,William Robinson,Y
36497,VSR,0000VSR001,701 S Boston Ave — Houston Satellite,Private Wealth Center,1216 Oak Ave,Houston,TX,70521,662-238-1932,Barbara Taylor,Y
36633,NPC,0000NPC001,3200 E Camelback Rd — Phoenix Branch,Private Wealth Center,9734 Financial Blvd,Phoenix,AZ,60394,673-794-1672,Thomas Robinson,Y
36934,ICAP,0000ICA001,60 E 42nd St — Denver Satellite,Private Wealth Center,7793 Financial Blvd,Denver,CO,29773,263-661-2695,Richard Williams,Y
37110,SCHW,0000SCH001,211 Main St — Sacramento Regional HQ,Branch,4060 Center St,Sacramento,CA,67377,649-736-9564,Nancy Garcia,Y
37215,ICAP,0000ICA001,60 E 42nd St — Baltimore Satellite,Satellite,6348 Maple Dr,Baltimore,MD,54350,895-812-1857,Richard Williams,Y
37235,NPC,0000NPC001,3200 E Camelback Rd — Orlando Branch,Private Wealth Center,6334 Oak Ave,Orlando,FL,43029,941-872-3463,Richard Williams,Y
37742,SII,0000SII001,501 N Broadway — Jacksonville Regional HQ,Satellite,5083 Corporate Dr,Jacksonville,FL,96787,601-332-2388,Mary Young,Y
37760,CETA,0000CET001,200 N Pacific Coast Hwy — Pittsburgh Satellite,Regional HQ,8625 Park Ave,Pittsburgh,PA,94675,886-633-9331,Barbara Smith,Y
37869,SCHW,0000SCH001,211 Main St — Baltimore Satellite,Regional HQ,3510 Elm St,Baltimore,MD,73736,396-431-3253,David Williams,Y
38124,SCHW,0000SCH001,211 Main St — Portland Branch,Private Wealth Center,8844 Center St,Portland,OR,79013,238-877-6517,Nancy Jones,Y
38893,CAIS,0000CAI001,527 Madison Ave — Memphis Complex,Regional HQ,2659 Market St,Memphis,TN,91885,369-938-8170,Sarah White,Y
38905,VSR,0000VSR001,701 S Boston Ave — Baltimore Regional HQ,Complex,4669 Center St,Baltimore,MD,68841,439-746-4918,Mary Martin,Y
39012,SCHW,0000SCH001,211 Main St — Denver Satellite,Private Wealth Center,7219 Commerce Dr,Denver,CO,46932,996-591-9239,Charles White,Y
39154,MS,0000MOR001,1585 Broadway — Austin Regional HQ,Private Wealth Center,2268 Oak Ave,Austin,TX,16839,856-692-7081,Karen Brown,Y
39579,VSR,0000VSR001,701 S Boston Ave — Salt Lake City Branch,Satellite,1375 Market St,Salt Lake City,UT,45755,660-725-3414,Susan Williams,Y
40021,SCHW,0000SCH001,211 Main St — Charlotte Complex,Satellite,437 Maple Dr,Charlotte,NC,16980,605-714-7126,Jennifer Jackson,Y
40149,CNTS,0000CNT001,29 Sawyer Rd — Philadelphia Satellite,Regional HQ,462 Elm St,Philadelphia,PA,22987,931-865-6493,David Jones,Y
40162,SII,0000SII001,501 N Broadway — Chicago Satellite,Complex,2274 Center St,Chicago,IL,71487,659-830-1086,Michael Smith,Y
40689,MER,0000MER001,One Bryant Park — Miami Regional HQ,Regional HQ,8992 Center St,Miami,FL,89807,740-633-2821,Mary Davis,Y
40735,ICAP,0000ICA001,60 E 42nd St — Las Vegas Branch,Branch,3907 Maple Dr,Las Vegas,NV,93748,837-668-2029,Patricia Martin,Y
40771,FIDO,0000FID001,900 Salem St — Memphis Private Wealth Center,Branch,8444 Executive Pkwy,Memphis,TN,41711,935-347-5772,Susan Smith,Y
40968,CAIS,0000CAI001,527 Madison Ave — Louisville Satellite,Regional HQ,9350 Maple Dr,Louisville,KY,34551,880-884-2402,Charles Thomas,Y
41051,RJ,0000RAJ001,RJ — Phoenix Private Wealth Center,Private Wealth Center,8313 Financial Blvd,Phoenix,AZ,82633,220-599-8702,Sarah Jackson,Y
41056,RJ,0000RAJ001,RJ — Baltimore Satellite,Branch,5851 Park Ave,Baltimore,MD,55193,446-950-2698,Christopher Anderson,Y
41139,SCHW,0000SCH001,211 Main St — Dallas Branch,Satellite,8946 Elm St,Dallas,TX,94252,379-997-8612,Jessica Garcia,Y
41285,MER,0000MER001,One Bryant Park — Dallas Branch,Complex,606 Oak Ave,Dallas,TX,36422,244-404-1686,Richard Taylor,Y
41370,CAIS,0000CAI001,527 Madison Ave — Sacramento Complex,Private Wealth Center,7757 Oak Ave,Sacramento,CA,14799,971-862-4131,Mary Thomas,Y
41584,SCHW,0000SCH001,211 Main St — Houston Satellite,Satellite,2040 Elm St,Houston,TX,67272,609-961-8204,Joseph Anderson,Y
41604,RJ,0000RAJ001,RJ — Seattle Complex,Complex,6019 Financial Blvd,Seattle,WA,44959,284-944-7955,Michael White,Y
41722,MER,0000MER001,One Bryant Park — Memphis Regional HQ,Private Wealth Center,4814 Elm St,Memphis,TN,23447,281-535-5843,Mary Harris,Y
41797,CNTS,0000CNT001,29 Sawyer Rd — Memphis Complex,Regional HQ,7273 Elm St,Memphis,TN,68606,243-944-6776,Nancy White,Y
41850,UBS,0000UBS001,1285 Avenue of the Americas — Minneapolis Branch,Branch,6656 Elm St,Minneapolis,MN,77251,967-895-3621,James Jones,Y
