nav_date,fund_id,fund_name,fund_type,share_class,cusip,isin,nav_per_share,product_code,dist_frequency,tender_pct_limit
2024-01-02,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,W,00827E309,US00827E309,11.7165,ADPE,QUARTERLY,5
2024-01-03,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,A,00827E101,US00827E101,11.7197,ADPE,QUARTERLY,5
2024-01-03,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,I,00827E200,US00827E200,11.7197,ADPE,QUARTERLY,5
2024-01-03,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,W,00827E309,US00827E309,11.7197,ADPE,QUARTERLY,5
2024-01-04,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,A,00827E101,US00827E101,11.7028,ADPE,QUARTERLY,5
2024-01-04,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,I,00827E200,US00827E200,11.7028,ADPE,QUARTERLY,5
2024-01-04,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,W,00827E309,US00827E309,11.7028,ADPE,QUARTERLY,5
2024-01-05,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,A,00827E101,US00827E101,11.6783,ADPE,QUARTERLY,5
2024-01-05,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,I,00827E200,US00827E200,11.6783,ADPE,QUARTERLY,5
2024-01-05,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,W,00827E309,US00827E309,11.6783,ADPE,QUARTERLY,5
2024-01-08,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,A,00827E101,US00827E101,11.644,ADPE,QUARTERLY,5
2024-01-08,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,I,00827E200,US00827E200,11.644,ADPE,QUARTERLY,5
2024-01-08,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,W,00827E309,US00827E309,11.644,ADPE,QUARTERLY,5
2024-01-09,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,A,00827E101,US00827E101,11.7048,ADPE,QUARTERLY,5
2024-01-09,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,I,00827E200,US00827E200,11.7048,ADPE,QUARTERLY,5
2024-01-09,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,W,00827E309,US00827E309,11.7048,ADPE,QUARTERLY,5
2024-01-10,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,A,00827E101,US00827E101,11.6828,ADPE,QUARTERLY,5
2024-01-10,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,I,00827E200,US00827E200,11.6828,ADPE,QUARTERLY,5
2024-01-10,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,W,00827E309,US00827E309,11.6828,ADPE,QUARTERLY,5
2024-01-11,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,A,00827E101,US00827E101,11.74,ADPE,QUARTERLY,5
2024-01-11,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,I,00827E200,US00827E200,11.74,ADPE,QUARTERLY,5
2024-01-11,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,W,00827E309,US00827E309,11.74,ADPE,QUARTERLY,5
2024-01-12,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,A,00827E101,US00827E101,11.7148,ADPE,QUARTERLY,5
2024-01-12,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,I,00827E200,US00827E200,11.7148,ADPE,QUARTERLY,5
2024-01-12,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,W,00827E309,US00827E309,11.7148,ADPE,QUARTERLY,5
2024-01-15,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,A,00827E101,US00827E101,11.7087,ADPE,QUARTERLY,5
2024-01-15,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,I,00827E200,US00827E200,11.7087,ADPE,QUARTERLY,5
2024-01-15,AMCMSA,AMC Multi-Strategy Alts Fund,TENDER_OFFER,W,00827E309,US00827E309,11.7087,ADPE,QUARTERLY,5
