golden_member_id,golden_team_id,src_a_member_id,src_b_member_id,src_c_member_id
GM0000197,GT0000054,,SRB_M0000134,SRC_M0000067
GM0000198,GT0000054,,SRB_M0000135,SRC_M0000068
GM0000199,GT0000054,,SRB_M0000136,
GM0000200,GT0000054,,SRB_M0000137,
GM0000201,GT0000055,SRA_M0000146,SRB_M0000138,
GM0000202,GT0000055,SRA_M0000147,SRB_M0000139,
GM0000203,GT0000055,SRA_M0000148,SRB_M0000140,
GM0000204,GT0000055,SRA_M0000149,SRB_M0000141,
GM0000205,GT0000055,SRA_M0000150,SRB_M0000142,
GM0000206,GT0000056,SRA_M0000151,,SRC_M0000069
GM0000207,GT0000056,SRA_M0000152,,
GM0000208,GT0000056,SRA_M0000153,,SRC_M0000070
GM0000209,GT0000057,SRA_M0000155,SRB_M0000143,SRC_M0000071
GM0000210,GT0000057,SRA_M0000156,SRB_M0000144,
GM0000211,GT0000057,SRA_M0000157,SRB_M0000145,SRC_M0000072
GM0000212,GT0000058,,SRB_M0000147,SRC_M0000073
GM0000213,GT0000058,,,SRC_M0000074
GM0000214,GT0000058,,SRB_M0000148,
GM0000215,GT0000058,,,
GM0000216,GT0000058,,SRB_M0000149,
GM0000217,GT0000059,SRA_M0000158,SRB_M0000150,SRC_M0000075
GM0000218,GT0000059,SRA_M0000159,SRB_M0000151,SRC_M0000076
GM0000219,GT0000060,,SRB_M0000152,SRC_M0000077
GM0000220,GT0000060,SRA_M0000160,SRB_M0000153,
GM0000221,GT0000060,SRA_M0000161,SRB_M0000154,SRC_M0000078
GM0000222,GT0000060,SRA_M0000162,SRB_M0000155,SRC_M0000079
GM0000223,GT0000060,SRA_M0000163,SRB_M0000156,SRC_M0000080
GM0000224,GT0000060,SRA_M0000164,SRB_M0000157,
GM0000225,GT0000061,,SRB_M0000158,
GM0000226,GT0000061,SRA_M0000165,SRB_M0000159,
GM0000227,GT0000061,SRA_M0000166,SRB_M0000160,
GM0000228,GT0000061,SRA_M0000167,SRB_M0000161,
GM0000229,GT0000061,SRA_M0000168,,
GM0000230,GT0000062,SRA_M0000170,,
GM0000231,GT0000062,SRA_M0000171,,
GM0000232,GT0000062,SRA_M0000172,,
GM0000233,GT0000062,SRA_M0000173,,
GM0000234,GT0000062,SRA_M0000174,,
GM0000235,GT0000063,SRA_M0000175,SRB_M0000162,
GM0000236,GT0000063,SRA_M0000176,SRB_M0000163,
GM0000237,GT0000063,SRA_M0000177,SRB_M0000164,
GM0000238,GT0000063,SRA_M0000178,,
GM0000239,GT0000063,,SRB_M0000165,
GM0000240,GT0000064,SRA_M0000179,SRB_M0000166,
GM0000241,GT0000064,SRA_M0000180,SRB_M0000167,SRC_M0000081
GM0000242,GT0000064,SRA_M0000181,SRB_M0000168,SRC_M0000082
GM0000243,GT0000064,SRA_M0000182,SRB_M0000169,SRC_M0000083
GM0000244,GT0000065,SRA_M0000183,SRB_M0000170,
GM0000245,GT0000065,SRA_M0000184,SRB_M0000171,
GM0000246,GT0000066,SRA_M0000185,SRB_M0000172,
GM0000247,GT0000066,SRA_M0000186,SRB_M0000173,
GM0000248,GT0000066,SRA_M0000187,SRB_M0000174,
GM0000249,GT0000067,SRA_M0000188,SRB_M0000175,SRC_M0000084
GM0000250,GT0000067,SRA_M0000189,SRB_M0000176,SRC_M0000085
GM0000251,GT0000067,SRA_M0000190,SRB_M0000177,SRC_M0000086
GM0000252,GT0000067,SRA_M0000191,SRB_M0000178,SRC_M0000087
GM0000253,GT0000067,SRA_M0000192,SRB_M0000179,SRC_M0000088
GM0000254,GT0000068,SRA_M0000193,SRB_M0000180,SRC_M0000089
GM0000255,GT0000068,,SRB_M0000181,SRC_M0000090
GM0000256,GT0000068,SRA_M0000194,SRB_M0000182,SRC_M0000091
GM0000257,GT0000068,,SRB_M0000183,SRC_M0000092
GM0000258,GT0000068,SRA_M0000195,SRB_M0000184,SRC_M0000093
GM0000259,GT0000069,SRA_M0000196,SRB_M0000185,
GM0000260,GT0000069,,SRB_M0000186,
GM0000261,GT0000069,SRA_M0000197,SRB_M0000187,
GM0000262,GT0000069,SRA_M0000198,,
GM0000263,GT0000069,SRA_M0000199,SRB_M0000188,
GM0000264,GT0000070,,SRB_M0000189,
GM0000265,GT0000070,,SRB_M0000190,
GM0000266,GT0000071,SRA_M0000200,SRB_M0000191,
GM0000267,GT0000071,SRA_M0000201,,
GM0000268,GT0000071,SRA_M0000202,SRB_M0000192,
GM0000269,GT0000071,SRA_M0000203,SRB_M0000193,
GM0000270,GT0000071,SRA_M0000204,SRB_M0000194,
GM0000271,GT0000072,SRA_M0000205,SRB_M0000195,
GM0000272,GT0000072,SRA_M0000206,SRB_M0000196,
GM0000273,GT0000073,SRA_M0000207,,SRC_M0000094
GM0000274,GT0000073,SRA_M0000208,SRB_M0000197,
GM0000275,GT0000073,SRA_M0000209,SRB_M0000198,
GM0000276,GT0000074,SRA_M0000210,SRB_M0000199,
GM0000277,GT0000074,SRA_M0000211,SRB_M0000200,
GM0000278,GT0000074,SRA_M0000212,SRB_M0000201,
GM0000279,GT0000074,SRA_M0000213,SRB_M0000202,
GM0000280,GT0000074,SRA_M0000214,SRB_M0000203,
GM0000281,GT0000074,SRA_M0000215,SRB_M0000204,
GM0000282,GT0000075,SRA_M0000216,SRB_M0000205,SRC_M0000095
GM0000283,GT0000075,SRA_M0000217,SRB_M0000206,SRC_M0000096
GM0000284,GT0000075,SRA_M0000218,SRB_M0000207,
GM0000285,GT0000076,,SRB_M0000208,
GM0000286,GT0000076,,SRB_M0000209,SRC_M0000097
GM0000287,GT0000076,,SRB_M0000210,SRC_M0000098
GM0000288,GT0000076,,SRB_M0000211,SRC_M0000099
GM0000289,GT0000076,,SRB_M0000212,SRC_M0000100
GM0000290,GT0000077,,SRB_M0000213,SRC_M0000102
GM0000291,GT0000077,SRA_M0000219,SRB_M0000214,SRC_M0000103
GM0000292,GT0000077,SRA_M0000220,SRB_M0000215,SRC_M0000104
GM0000293,GT0000078,SRA_M0000221,SRB_M0000216,
GM0000294,GT0000078,SRA_M0000222,SRB_M0000217,
GM0000295,GT0000078,SRA_M0000223,SRB_M0000218,
GM0000296,GT0000079,SRA_M0000224,SRB_M0000219,SRC_M0000105
GM0000297,GT0000079,SRA_M0000225,,SRC_M0000106
GM0000298,GT0000079,SRA_M0000226,SRB_M0000220,SRC_M0000107
GM0000299,GT0000079,SRA_M0000227,SRB_M0000221,SRC_M0000108
GM0000300,GT0000079,SRA_M0000228,,SRC_M0000109
GM0000301,GT0000079,SRA_M0000229,,
GM0000302,GT0000080,SRA_M0000230,,
GM0000303,GT0000080,SRA_M0000231,,
GM0000304,GT0000080,SRA_M0000232,,
GM0000305,GT0000080,SRA_M0000233,,
GM0000306,GT0000080,SRA_M0000234,,
GM0000307,GT0000081,,SRB_M0000222,
GM0000308,GT0000081,SRA_M0000235,,
GM0000309,GT0000082,SRA_M0000237,SRB_M0000223,SRC_M0000110
GM0000310,GT0000082,SRA_M0000238,SRB_M0000224,
GM0000311,GT0000082,SRA_M0000239,SRB_M0000225,SRC_M0000111
GM0000312,GT0000082,SRA_M0000240,SRB_M0000226,SRC_M0000112
GM0000313,GT0000083,,,SRC_M0000113
GM0000314,GT0000083,SRA_M0000241,,
GM0000315,GT0000083,SRA_M0000242,,SRC_M0000114
GM0000316,GT0000083,SRA_M0000243,,SRC_M0000115
GM0000317,GT0000083,SRA_M0000244,,
GM0000318,GT0000083,SRA_M0000245,,SRC_M0000116
GM0000319,GT0000084,SRA_M0000246,SRB_M0000227,SRC_M0000117
GM0000320,GT0000084,SRA_M0000247,SRB_M0000228,
GM0000321,GT0000084,SRA_M0000248,SRB_M0000229,SRC_M0000118
GM0000322,GT0000084,SRA_M0000249,SRB_M0000230,SRC_M0000119
GM0000323,GT0000084,SRA_M0000250,SRB_M0000231,
GM0000324,GT0000085,,SRB_M0000233,
GM0000325,GT0000085,,SRB_M0000234,SRC_M0000120
GM0000326,GT0000085,,SRB_M0000235,SRC_M0000121
GM0000327,GT0000085,,SRB_M0000236,
GM0000328,GT0000086,SRA_M0000251,SRB_M0000237,
GM0000329,GT0000086,SRA_M0000252,,SRC_M0000122
GM0000330,GT0000086,SRA_M0000253,,SRC_M0000123
GM0000331,GT0000086,SRA_M0000254,,
GM0000332,GT0000087,,,
GM0000333,GT0000087,SRA_M0000255,,
GM0000334,GT0000087,SRA_M0000256,,
GM0000335,GT0000087,SRA_M0000257,,
GM0000336,GT0000087,SRA_M0000258,,
GM0000337,GT0000088,SRA_M0000259,,SRC_M0000124
GM0000338,GT0000088,SRA_M0000260,,SRC_M0000125
GM0000339,GT0000089,SRA_M0000261,SRB_M0000238,
GM0000340,GT0000089,SRA_M0000262,SRB_M0000239,
GM0000341,GT0000089,SRA_M0000263,SRB_M0000240,
GM0000342,GT0000090,SRA_M0000264,,
GM0000343,GT0000090,SRA_M0000265,SRB_M0000241,
GM0000344,GT0000090,SRA_M0000266,SRB_M0000242,
GM0000345,GT0000090,SRA_M0000267,SRB_M0000243,
GM0000346,GT0000091,SRA_M0000268,SRB_M0000244,SRC_M0000126
GM0000347,GT0000091,SRA_M0000269,SRB_M0000245,SRC_M0000127
GM0000348,GT0000091,SRA_M0000270,SRB_M0000246,
GM0000349,GT0000092,,SRB_M0000247,SRC_M0000128
GM0000350,GT0000092,,SRB_M0000248,
GM0000351,GT0000092,SRA_M0000271,SRB_M0000249,SRC_M0000129
GM0000352,GT0000092,SRA_M0000272,SRB_M0000250,SRC_M0000130
GM0000353,GT0000092,SRA_M0000273,SRB_M0000251,SRC_M0000131
GM0000354,GT0000092,,SRB_M0000252,SRC_M0000132
GM0000355,GT0000093,SRA_M0000274,SRB_M0000253,SRC_M0000133
GM0000356,GT0000093,SRA_M0000275,SRB_M0000254,
GM0000357,GT0000093,SRA_M0000276,SRB_M0000255,
GM0000358,GT0000093,SRA_M0000277,SRB_M0000256,SRC_M0000134
GM0000359,GT0000093,SRA_M0000278,SRB_M0000257,SRC_M0000135
GM0000360,GT0000093,SRA_M0000279,,SRC_M0000136
GM0000361,GT0000094,SRA_M0000280,SRB_M0000258,SRC_M0000138
GM0000362,GT0000094,SRA_M0000281,SRB_M0000259,SRC_M0000139
GM0000363,GT0000094,SRA_M0000282,SRB_M0000260,SRC_M0000140
GM0000364,GT0000094,SRA_M0000283,SRB_M0000261,SRC_M0000141
GM0000365,GT0000094,SRA_M0000284,SRB_M0000262,SRC_M0000142
GM0000366,GT0000094,SRA_M0000285,SRB_M0000263,SRC_M0000143
GM0000367,GT0000095,SRA_M0000286,,
GM0000368,GT0000095,SRA_M0000287,,
GM0000369,GT0000096,SRA_M0000288,,SRC_M0000144
GM0000370,GT0000096,SRA_M0000289,,SRC_M0000145
GM0000371,GT0000097,SRA_M0000290,SRB_M0000264,
GM0000372,GT0000097,SRA_M0000291,SRB_M0000265,
GM0000373,GT0000097,SRA_M0000292,,
GM0000374,GT0000097,SRA_M0000293,SRB_M0000266,
GM0000375,GT0000097,SRA_M0000294,SRB_M0000267,
GM0000376,GT0000098,SRA_M0000295,,
GM0000377,GT0000098,SRA_M0000296,,
GM0000378,GT0000099,,SRB_M0000268,
GM0000379,GT0000099,,,
GM0000380,GT0000099,,SRB_M0000269,
GM0000381,GT0000100,,SRB_M0000270,SRC_M0000146
GM0000382,GT0000100,SRA_M0000297,SRB_M0000271,
GM0000383,GT0000100,SRA_M0000298,SRB_M0000272,SRC_M0000147
GM0000384,GT0000100,SRA_M0000299,SRB_M0000273,
GM0000385,GT0000100,SRA_M0000300,,
GM0000386,GT0000100,SRA_M0000301,SRB_M0000274,SRC_M0000148
GM0000387,GT0000101,SRA_M0000302,,SRC_M0000149
GM0000388,GT0000101,,,
GM0000389,GT0000101,SRA_M0000303,SRB_M0000275,
GM0000390,GT0000101,SRA_M0000304,SRB_M0000276,SRC_M0000150
GM0000391,GT0000101,SRA_M0000305,,SRC_M0000151
GM0000392,GT0000101,SRA_M0000306,SRB_M0000277,SRC_M0000152
GM0000393,GT0000102,SRA_M0000307,SRB_M0000278,
GM0000394,GT0000102,SRA_M0000308,SRB_M0000279,
GM0000395,GT0000102,SRA_M0000309,,
GM0000396,GT0000103,SRA_M0000310,SRB_M0000280,
GM0000397,GT0000103,SRA_M0000311,SRB_M0000281,
GM0000398,GT0000103,SRA_M0000312,SRB_M0000282,
GM0000399,GT0000103,SRA_M0000313,SRB_M0000283,
GM0000400,GT0000103,,SRB_M0000284,
GM0000401,GT0000103,SRA_M0000314,SRB_M0000285,
GM0000402,GT0000104,SRA_M0000315,SRB_M0000286,
GM0000403,GT0000104,,SRB_M0000287,
GM0000404,GT0000104,SRA_M0000316,SRB_M0000288,
GM0000405,GT0000104,SRA_M0000317,SRB_M0000289,
GM0000406,GT0000105,SRA_M0000318,,
GM0000407,GT0000105,,,
GM0000408,GT0000106,,SRB_M0000290,
GM0000409,GT0000106,SRA_M0000319,SRB_M0000291,
GM0000410,GT0000106,,,
GM0000411,GT0000106,SRA_M0000320,SRB_M0000292,
GM0000412,GT0000106,SRA_M0000321,SRB_M0000293,
GM0000413,GT0000106,SRA_M0000322,SRB_M0000294,
GM0000414,GT0000107,,SRB_M0000295,
GM0000415,GT0000107,,SRB_M0000296,
GM0000416,GT0000107,,SRB_M0000297,
GM0000417,GT0000108,SRA_M0000323,SRB_M0000298,
GM0000418,GT0000108,SRA_M0000324,SRB_M0000299,SRC_M0000153
GM0000419,GT0000109,SRA_M0000325,,SRC_M0000154
GM0000420,GT0000109,SRA_M0000326,SRB_M0000300,SRC_M0000155
GM0000421,GT0000109,,,
GM0000422,GT0000110,SRA_M0000327,,
GM0000423,GT0000110,SRA_M0000328,SRB_M0000301,
GM0000424,GT0000111,SRA_M0000329,SRB_M0000302,
GM0000425,GT0000111,SRA_M0000330,,
GM0000426,GT0000111,SRA_M0000331,SRB_M0000303,
GM0000427,GT0000111,SRA_M0000332,SRB_M0000304,
GM0000428,GT0000111,SRA_M0000333,SRB_M0000305,
GM0000429,GT0000112,,,SRC_M0000156
GM0000430,GT0000112,SRA_M0000335,,SRC_M0000157
GM0000431,GT0000113,,SRB_M0000306,SRC_M0000159
GM0000432,GT0000113,,,SRC_M0000160
GM0000433,GT0000113,,SRB_M0000307,SRC_M0000161
GM0000434,GT0000113,,SRB_M0000308,SRC_M0000162
GM0000435,GT0000114,SRA_M0000336,SRB_M0000309,SRC_M0000163
GM0000436,GT0000114,SRA_M0000337,SRB_M0000310,
GM0000437,GT0000114,SRA_M0000338,,
GM0000438,GT0000115,SRA_M0000339,SRB_M0000311,SRC_M0000164
GM0000439,GT0000115,SRA_M0000340,SRB_M0000312,SRC_M0000165
GM0000440,GT0000115,SRA_M0000341,SRB_M0000313,
GM0000441,GT0000115,SRA_M0000342,SRB_M0000314,SRC_M0000166
GM0000442,GT0000116,SRA_M0000343,SRB_M0000315,
GM0000443,GT0000116,SRA_M0000344,SRB_M0000316,
GM0000444,GT0000116,SRA_M0000345,SRB_M0000317,
GM0000445,GT0000116,SRA_M0000346,,
GM0000446,GT0000117,SRA_M0000347,SRB_M0000318,
GM0000447,GT0000117,SRA_M0000348,SRB_M0000319,SRC_M0000167
GM0000448,GT0000117,SRA_M0000349,SRB_M0000320,SRC_M0000168
GM0000449,GT0000117,SRA_M0000350,SRB_M0000321,
GM0000450,GT0000118,SRA_M0000351,SRB_M0000322,
GM0000451,GT0000118,SRA_M0000352,,
GM0000452,GT0000118,SRA_M0000353,,
GM0000453,GT0000118,,SRB_M0000323,
GM0000454,GT0000119,,SRB_M0000324,SRC_M0000169
GM0000455,GT0000119,,SRB_M0000325,SRC_M0000170
GM0000456,GT0000120,SRA_M0000354,SRB_M0000326,
GM0000457,GT0000120,SRA_M0000355,SRB_M0000327,
GM0000458,GT0000120,SRA_M0000356,,
GM0000459,GT0000121,SRA_M0000357,SRB_M0000328,
GM0000460,GT0000121,SRA_M0000358,SRB_M0000329,SRC_M0000171
GM0000461,GT0000121,SRA_M0000359,SRB_M0000330,SRC_M0000172
GM0000462,GT0000121,SRA_M0000360,SRB_M0000331,SRC_M0000173
GM0000463,GT0000121,SRA_M0000361,SRB_M0000332,SRC_M0000174
GM0000464,GT0000121,SRA_M0000362,SRB_M0000333,SRC_M0000175
GM0000465,GT0000122,,,SRC_M0000176
GM0000466,GT0000122,SRA_M0000363,SRB_M0000334,SRC_M0000177
GM0000467,GT0000122,SRA_M0000364,,
GM0000468,GT0000122,SRA_M0000365,SRB_M0000335,SRC_M0000178
